sample	prj	round	cov	signal
Mix26	LASV	3	97.9388	71.28843338
Mix8	LASV	3	97.4382	16.53817556
Mix19	LASV	3	12.2497	2.784657608
Mix35	LASV	3	10.3946	10.06558312
Mix18	LASV	3	98.7026	47.0163436
Mix53	LASV	3	97.4382	71.51454363
Mix34	LASV	3	39.9882	25.3591954
Mix95	LASV	3	96.1131	60.8440235
Mix72	LASV	3	99.7055	86.38227709
Mix11	LASV	3	0	0
Mix83	LASV	3	96.6431	100
Mix5	LASV	3	93.5218	42.56042755
Mix47	LASV	3	92.4912	48.72741156
Mix98	LASV	3	93.5218	44.63125716
Mix6	LASV	3	96.6431	80.41490858
Mix39	LASV	3	98.0565	43.85624538
Mix15	LASV	3	93.9268	73.7395181
Mix14	LASV	3	0	0
Mix38	LASV	3	96.3486	26.97620641
Mix99	LASV	3	98.6455	63.96370583
Mix63	LASV	3	69.9647	88.63970588
Mix42	LASV	3	8.2744	23.25227964
Mix31	LASV	3	20.2002	21.01910828
Mix20	LASV	3	93.9406	79.15650052
Mix91	LASV	3	94.1339	67.12648145
Mix50	LASV	3	24.47	21.92046557
Mix92	LASV	3	0	0
Mix41	LASV	3	99.8233	68.49629484
Mix32	LASV	3	0	0
Mix66	LASV	3	93.5218	40.26552098
Mix74	LASV	3	97.4382	42.94397171
Mix48	LASV	3	0	0
Mix97	LASV	3	67.9329	91.14608952
Mix75	LASV	3	0	0
Mix49	LASV	3	93.5956	40.72484502
Mix80	LASV	3	52.4735	23.84615385
Mix37	LASV	3	20.583	6.560299492
Mix25	LASV	3	0	0
Mix43	LASV	3	97.4087	78.88743835
Mix62	LASV	3	19.3168	11.86900669
Mix36	LASV	3	100	83.17296409
Mix24	LASV	3	89.0459	31.1625696
Mix96	LASV	3	97.4971	36.91752778
Mix10	LASV	3	0	0
Mix4	LASV	3	0	0
Mix67	LASV	3	97.4382	65.38108356
Mix9	LASV	3	0	0
Mix68	LASV	3	4.5411	7.704918033
Mix84	LASV	3	3.285	22.2098834
Mix85	LASV	3	45.9069	15.02852486
Mix3	LASV	3	93.9406	74.62212486
Mix70	LASV	3	95.1413	37.74782694
Mix69	LASV	3	97.2615	92.98657718
Mix93	LASV	3	76.7962	16.69605374
Mix55	LASV	3	10.3946	4.379756266
Mix33	LASV	3	99.7055	63.67430923
Mix54	LASV	3	69.2874	2.110221035
Mix46	LASV	3	98.3216	94.71539002
Mix61	LASV	3	76.2662	27.22239001
Mix64	LASV	3	97.4382	26.58916462
Mix51	LASV	3	41.0188	21.30194711
Mix88	LASV	3	0	0
Mix1	LASV	3	42.609	22.25801503
Mix89	LASV	3	82.7444	34.99126503
Mix22	LASV	3	94.2285	76.92307692
Mix65	LASV	3	99.4065	55.37614125
Mix40	LASV	3	97.4382	29.5506212
Mix59	LASV	3	93.6094	44.70519405
Mix76	LASV	3	97.6148	92.19768665
Mix58	LASV	3	93.9406	66.07506546
Mix81	LASV	3	0	0
Mix13	LASV	3	93.9268	95.53775744
Mix27	LASV	3	100	53.58723623
Mix82	LASV	3	50.6773	2.012171406
Mix29	LASV	3	10.4829	12.64204545
Mix16	LASV	3	60.3946	47.10684618
Mix73	LASV	3	98.4982	80.66602317
Mix57	LASV	3	86.6019	69.27937158
Mix28	LASV	3	23.9694	6.143859039
Mix87	LASV	3	93.9406	48.82820899
Mix30	LASV	3	94.0511	57.19822366
Mix21	LASV	3	97.4971	36.21091552
Mix100	LASV	3	42.8445	24.50057784
Mix7	LASV	3	0	0
Mix90	LASV	3	22.4087	23.74387255
Mix52	LASV	3	7.0671	34.99111901
Mix37	LASV	4	20.583	9.11567996
Mix91	LASV	4	94.1339	71.84445831
Mix88	LASV	4	0	0
Mix85	LASV	4	45.9069	19.71349155
Mix59	LASV	4	93.6094	59.670282
Mix84	LASV	4	3.285	34.72222222
Mix78	LASV	4	28.3494	35.52677942
Mix75	LASV	4	0	0
Mix74	LASV	4	97.4382	65.0921273
Mix83	LASV	4	96.6431	100
Mix11	LASV	4	0	0
Mix7	LASV	4	0	0
Mix100	LASV	4	42.8445	27.8999812
Mix8	LASV	4	97.4382	28.79923675
Mix73	LASV	4	98.4982	87.27481594
Mix61	LASV	4	76.2662	30.66454978
Mix44	LASV	4	99.7055	74.95007918
Mix48	LASV	4	0	0
Mix45	LASV	4	30.0059	40.57724958
Mix92	LASV	4	0	0
Mix90	LASV	4	22.4087	29.43410558
Mix36	LASV	4	100	100
Mix43	LASV	4	97.4087	87.344415
Mix60	LASV	4	97.4382	70.06067001
Mix62	LASV	4	19.3168	15.43166314
Mix12	LASV	4	0	0
Mix4	LASV	4	0	0
Mix10	LASV	4	0	0
Mix29	LASV	4	10.4829	20.55427252
Mix3	LASV	4	93.9406	91.03420631
Mix99	LASV	4	98.6455	68.98079003
Mix51	LASV	4	41.0188	23.75243033
Mix33	LASV	4	99.7055	66.93239402
Mix46	LASV	4	98.3216	94.71539002
Mix77	LASV	4	84.4817	30.36789664
Mix69	LASV	4	97.2615	96.57295539
Mix20	LASV	4	93.9406	100
Mix38	LASV	4	96.3486	37.30853392
Mix19	LASV	4	12.2497	3.26300102
Mix35	LASV	4	10.3946	12.52661462
Mix34	LASV	4	39.9882	25.3591954
Mix87	LASV	4	93.9406	58.21584209
Mix22	LASV	4	94.2285	86.02956932
Mix50	LASV	4	24.47	46.76668391
Mix76	LASV	4	97.6148	92.19768665
Mix52	LASV	4	7.0671	100
Mix86	LASV	4	88.7515	86.09637999
Mix21	LASV	4	97.4971	47.19748559
Mix47	LASV	4	92.4912	50.72866985
Mix72	LASV	4	99.7055	87.58948858
Mix41	LASV	4	99.8233	78.01180073
Mix70	LASV	4	95.1413	51.58836092
Mix56	LASV	4	95.2002	59.1610573
Mix80	LASV	4	52.4735	30.19327347
Mix82	LASV	4	50.6773	3.106566352
Mix27	LASV	4	100	75.19861332
Mix15	LASV	4	93.9268	83.41738713
Mix18	LASV	4	98.7026	58.26202999
Mix39	LASV	4	98.0565	77.20372981
Mix14	LASV	4	0	0
Mix93	LASV	4	76.7962	36.45947928
Mix57	LASV	4	86.6019	100
Mix9	LASV	4	0	0
Mix65	LASV	4	99.4065	61.78649604
Mix68	LASV	4	4.5411	14.15053763
Mix26	LASV	4	97.9388	72.92743204
Mix64	LASV	4	97.4382	28.49385082
Mix6	LASV	4	96.6431	83.04284677
Mix95	LASV	4	96.1131	68.6831777
Mix98	LASV	4	93.5218	56.60743134
Mix94	LASV	4	81.3015	51.45906129
Mix13	LASV	4	93.9268	100
Mix81	LASV	4	0	0
Mix63	LASV	4	69.9647	88.63970588
Mix40	LASV	4	97.4382	73.99391051
Mix71	LASV	4	80.4279	67.69284387
Mix1	LASV	4	42.609	40.70126227
Mix42	LASV	4	8.2744	31.97492163
Mix32	LASV	4	0	0
Mix24	LASV	4	89.0459	36.50465357
Mix66	LASV	4	93.5218	73.71218026
Mix28	LASV	4	23.9694	6.507858546
Mix25	LASV	4	0	0
Mix30	LASV	4	94.0511	58.81766855
Mix16	LASV	4	60.3946	49.88624298
Mix23	LASV	4	99.3522	56.0661097
Mix96	LASV	4	97.4971	45.80309627
Mix2	LASV	4	0	0
Mix49	LASV	4	93.5956	49.06636024
Mix5	LASV	4	93.5218	55.51330798
Mix97	LASV	4	67.9329	91.14608952
Mix53	LASV	4	97.4382	71.51454363
Mix31	LASV	4	20.2002	24.97297297
Mix79	LASV	4	81.861	90.89871612
Mix67	LASV	4	97.4382	77.05627706
Mix17	LASV	4	22.4087	53.13807531
Mix54	LASV	4	69.2874	12.57347417
Mix89	LASV	4	82.7444	36.39375802
Mix55	LASV	4	10.3946	4.859470949
Mix58	LASV	4	93.9406	66.07506546
Mix12	Ebola	1	99.4303	8.646072519
Mix34	Ebola	1	3.0434	0.223584954
Mix71	Ebola	1	0	0
Mix97	Ebola	1	99.4303	12.75781703
Mix18	Ebola	1	99.7046	0.480992333
Mix85	Ebola	1	99.6783	0.511955916
Mix41	Ebola	1	99.5358	0.500081056
Mix72	Ebola	1	99.4145	7.070989797
Mix42	Ebola	1	76.3753	5.062908339
Mix11	Ebola	1	0	0
Mix67	Ebola	1	6.013	0.4729915
Mix48	Ebola	1	99.5358	0.499758632
Mix78	Ebola	1	0	0
Mix13	Ebola	1	76.0905	8.80088592
Mix25	Ebola	1	99.4303	6.749990199
Mix39	Ebola	1	99.4567	0.481954977
Mix46	Ebola	1	0	0
Mix55	Ebola	1	70.6419	4.67224454
Mix40	Ebola	1	16.5304	1.290854929
Mix76	Ebola	1	99.4673	6.175037236
Mix70	Ebola	1	99.4303	0.494289751
Mix73	Ebola	1	99.4409	0.491842884
Mix43	Ebola	1	14.4153	0.726218511
Mix10	Ebola	1	78.1423	4.656642729
Mix16	Ebola	1	99.4673	2.846260388
Mix3	Ebola	1	99.4673	6.738089128
Mix96	Ebola	1	6.013	0.439734948
Mix84	Ebola	1	0	0
Mix90	Ebola	1	99.4673	4.986812259
Mix59	Ebola	1	68.5321	2.896461144
Mix35	Ebola	1	99.4673	5.860193068
Mix29	Ebola	1	99.5358	0.513439855
Mix63	Ebola	1	99.5569	5.94690066
Mix60	Ebola	1	70.8634	3.580915471
Mix66	Ebola	1	99.4673	4.392872329
Mix2	Ebola	1	99.5358	0.484009032
Mix5	Ebola	1	99.5358	0.516628675
Mix93	Ebola	1	14.7529	0.821432833
Mix68	Ebola	1	75.927	11.63955234
Mix89	Ebola	1	99.4673	4.710359912
Mix47	Ebola	1	6.013	0.64064301
Mix54	Ebola	1	6.013	0.602668332
Mix77	Ebola	1	65.1089	3.399243399
Mix91	Ebola	1	8.5764	0.923438215
Mix24	Ebola	1	0	0
Mix62	Ebola	1	0	0
Mix98	Ebola	1	99.4303	0.511220594
Mix17	Ebola	1	99.5358	0.495562648
Mix61	Ebola	1	99.5358	0.498519456
Mix8	Ebola	1	99.4673	4.06017387
Mix100	Ebola	1	99.4145	9.678638748
Mix92	Ebola	1	99.4673	6.329861412
Mix22	Ebola	1	99.4673	4.231673195
Mix64	Ebola	1	99.4673	3.852015763
Mix58	Ebola	1	99.4303	10.31500523
Mix52	Ebola	1	7.7272	0.669544567
Mix83	Ebola	1	19.2046	1.045869544
Mix28	Ebola	1	99.7046	0.491670136
Mix51	Ebola	1	99.7046	0.485534253
Mix80	Ebola	1	3.054	0.161616364
Mix86	Ebola	1	99.4303	6.791938607
Mix94	Ebola	1	99.4673	5.44440413
Mix21	Ebola	1	5.5066	0.384354885
Mix37	Ebola	1	99.7046	0.518453921
Mix88	Ebola	1	99.6783	0.507987771
Mix23	Ebola	1	7.7272	0.625722093
Mix69	Ebola	1	99.7046	0.500616077
Mix15	Ebola	1	99.4673	3.338955064
Mix9	Ebola	1	99.4303	10.03837266
Mix53	Ebola	1	99.4831	0.507538574
Mix82	Ebola	1	99.6783	0.49027599
Mix75	Ebola	1	70.2199	6.471184861
Mix99	Ebola	1	99.4673	5.493678463
Mix81	Ebola	1	70.0248	3.161419241
Mix50	Ebola	1	1.0866	0.208124929
Mix45	Ebola	1	71.0375	5.372281124
Mix56	Ebola	1	7.7272	0.405194044
Mix6	Ebola	1	0	0
Mix26	Ebola	1	99.5622	0.50128718
Mix20	Ebola	1	99.4673	4.732537572
Mix4	Ebola	1	99.4673	4.78407915
Mix7	Ebola	1	99.5358	0.499058939
Mix33	Ebola	1	99.4673	5.389160177
Mix65	Ebola	1	99.7046	0.489258963
Mix19	Ebola	1	0	0
Mix30	Ebola	1	4.1247	0.362413624
Mix36	Ebola	1	1.0866	0.071964658
Mix1	Ebola	1	99.4303	8.013405041
Mix87	Ebola	1	6.013	0.299396878
Mix49	Ebola	1	99.4673	5.532356943
Mix95	Ebola	1	99.4673	4.192007431
Mix79	Ebola	1	0	0
Mix38	Ebola	1	99.4303	6.617796071
Mix32	Ebola	1	99.6783	0.510112872
Mix14	Ebola	1	99.4303	6.436440995
Mix31	Ebola	1	99.4673	5.107830476
Mix27	Ebola	1	99.5358	0.500171393
Mix44	Ebola	1	65.8368	4.192839346
Mix57	Ebola	1	99.4673	6.898695972
Mix74	Ebola	1	77.5938	8.794797622
Mix28	Ebola	2	99.7046	2.7456362
Mix24	Ebola	2	0	0
Mix99	Ebola	2	99.4673	11.31330297
Mix16	Ebola	2	99.4673	4.704085035
Mix64	Ebola	2	0	0
Mix71	Ebola	2	0	0
Mix32	Ebola	2	99.6783	5.423283821
Mix68	Ebola	2	18.7563	6.393200296
Mix56	Ebola	2	1.0866	0.12511553
Mix82	Ebola	2	99.6783	3.9040669
Mix46	Ebola	2	0	0
Mix26	Ebola	2	99.5622	3.240758981
Mix92	Ebola	2	99.4673	10.85604426
Mix39	Ebola	2	99.4567	2.675343968
Mix7	Ebola	2	99.5358	3.21712035
Mix89	Ebola	2	99.4673	7.4701556
Mix44	Ebola	2	10.0111	0.985437105
Mix18	Ebola	2	99.7046	2.880463137
Mix54	Ebola	2	0	0
Mix66	Ebola	2	0	0
Mix58	Ebola	2	99.4303	17.4377388
Mix77	Ebola	2	3.65	0.348513121
Mix14	Ebola	2	99.4303	9.570635229
Mix48	Ebola	2	5.4222	0.269434662
Mix52	Ebola	2	0	0
Mix86	Ebola	2	99.4303	10.5343953
Mix42	Ebola	2	71.3962	6.996940932
Mix29	Ebola	2	99.5358	5.258259009
Mix12	Ebola	2	99.4303	13.91910165
Mix75	Ebola	2	16.5515	2.875068888
Mix36	Ebola	2	1.0866	0.13890507
Mix69	Ebola	2	99.7046	3.158251678
Mix94	Ebola	2	99.4673	10.94947155
Mix98	Ebola	2	99.4303	3.680521705
Mix73	Ebola	2	99.4409	2.84998226
Mix70	Ebola	2	99.4303	3.619956297
Mix34	Ebola	2	0	0
Mix62	Ebola	2	0	0
Mix88	Ebola	2	99.6783	4.673668399
Mix84	Ebola	2	0	0
Mix38	Ebola	2	99.4303	13.45094029
Mix59	Ebola	2	15.9238	1.118695758
Mix49	Ebola	2	99.4673	8.595355435
Mix22	Ebola	2	99.4673	6.315708592
Mix96	Ebola	2	0	0
Mix19	Ebola	2	0	0
Mix30	Ebola	2	0	0
Mix61	Ebola	2	0	0
Mix74	Ebola	2	26.763	5.747278271
Mix17	Ebola	2	99.5358	4.544886912
Mix47	Ebola	2	0	0
Mix100	Ebola	2	99.4145	14.40978956
Mix80	Ebola	2	0	0
Mix93	Ebola	2	2.2311	0.251696469
Mix78	Ebola	2	0	0
Mix57	Ebola	2	99.4673	13.45833245
Mix5	Ebola	2	99.5358	4.107852564
Mix4	Ebola	2	99.4673	9.496921204
Mix21	Ebola	2	1.7459	0.171267276
Mix1	Ebola	2	99.4303	11.18421053
Mix95	Ebola	2	99.4673	7.071415514
Mix51	Ebola	2	99.7046	2.872365315
Mix85	Ebola	2	99.6783	5.015975712
Mix41	Ebola	2	99.5358	3.686195949
Mix2	Ebola	2	0	0
Mix35	Ebola	2	99.4673	10.37146695
Mix11	Ebola	2	0	0
Mix67	Ebola	2	0	0
Mix76	Ebola	2	99.4673	11.00727802
Mix6	Ebola	2	0	0
Mix90	Ebola	2	99.4673	8.41998851
Mix83	Ebola	2	2.1837	0.208301379
Mix27	Ebola	2	99.5358	4.321792568
Mix33	Ebola	2	99.4673	12.03318711
Mix25	Ebola	2	99.4303	12.69709321
Mix91	Ebola	2	2.3472	0.404531454
Mix3	Ebola	2	99.4673	9.55548255
Mix79	Ebola	2	0	0
Mix63	Ebola	2	21.0718	2.214662976
Mix8	Ebola	2	99.4673	7.078652105
Mix40	Ebola	2	2.1151	0.453854698
Mix23	Ebola	2	1.0866	0.247857234
Mix87	Ebola	2	0	0
Mix50	Ebola	2	0	0
Mix37	Ebola	2	99.7046	4.748816307
Mix65	Ebola	2	99.7046	2.685948682
Mix10	Ebola	2	48.2462	4.257932536
Mix13	Ebola	2	13.276	3.709954275
Mix53	Ebola	2	99.4831	5.013516835
Mix97	Ebola	2	99.4303	20.58829924
Mix20	Ebola	2	99.4673	8.445698569
Mix43	Ebola	2	0	0
Mix9	Ebola	2	99.4303	14.73838205
Mix72	Ebola	2	99.4145	14.71794553
Mix15	Ebola	2	99.4673	5.634058835
Mix31	Ebola	2	99.4673	9.506496902
Mix60	Ebola	2	16.5093	1.278091681
Mix55	Ebola	2	41.5897	4.712327196
Mix81	Ebola	2	44.3642	3.397862396
Mix45	Ebola	2	7.2683	0.949739027
Mix98	Ebola	3	99.4303	83.95871174
Mix65	Ebola	3	99.7046	47.17739958
Mix76	Ebola	3	99.4673	93.94722457
Mix22	Ebola	3	99.4673	91.16994599
Mix80	Ebola	3	0	0
Mix61	Ebola	3	0	0
Mix26	Ebola	3	99.5622	70.62754321
Mix72	Ebola	3	99.4145	92.79557253
Mix2	Ebola	3	0	0
Mix34	Ebola	3	0	0
Mix48	Ebola	3	0	0
Mix73	Ebola	3	99.4409	38.66177856
Mix81	Ebola	3	37.08	91.98369565
Mix18	Ebola	3	99.7046	64.82387978
Mix79	Ebola	3	0	0
Mix37	Ebola	3	99.7046	88.38273046
Mix29	Ebola	3	99.5358	84.679404
Mix57	Ebola	3	99.4673	93.76266495
Mix85	Ebola	3	99.6783	93.38500272
Mix100	Ebola	3	99.4145	90.5255614
Mix54	Ebola	3	0	0
Mix23	Ebola	3	1.0866	14.54716096
Mix7	Ebola	3	99.5358	68.16871983
Mix60	Ebola	3	9.241	41.07854631
Mix31	Ebola	3	99.4673	95.84283904
Mix49	Ebola	3	99.4673	94.02695579
Mix84	Ebola	3	0	0
Mix96	Ebola	3	0	0
Mix13	Ebola	3	13.276	100
Mix78	Ebola	3	0	0
Mix87	Ebola	3	0	0
Mix43	Ebola	3	0	0
Mix55	Ebola	3	41.5897	79.51025939
Mix19	Ebola	3	0	0
Mix35	Ebola	3	99.4673	93.94119984
Mix4	Ebola	3	99.4673	98.0042397
Mix28	Ebola	3	99.7046	52.67160686
Mix1	Ebola	3	99.4303	95.1037011
Mix92	Ebola	3	99.4673	94.95045541
Mix51	Ebola	3	99.7046	41.97451381
Mix99	Ebola	3	99.4673	86.59765482
Mix46	Ebola	3	0	0
Mix30	Ebola	3	0	0
Mix16	Ebola	3	99.4673	73.92375367
Mix93	Ebola	3	2.2311	54.07779172
Mix64	Ebola	3	0	0
Mix12	Ebola	3	99.4303	92.25074278
Mix50	Ebola	3	0	0
Mix9	Ebola	3	99.4303	100
Mix67	Ebola	3	0	0
Mix42	Ebola	3	71.3962	90.96381684
Mix89	Ebola	3	99.4673	89.0667543
Mix38	Ebola	3	99.4303	93.56782927
Mix44	Ebola	3	10.0111	63.67346939
Mix17	Ebola	3	99.5358	92.08349552
Mix25	Ebola	3	99.4303	98.22632507
Mix47	Ebola	3	0	0
Mix62	Ebola	3	0	0
Mix83	Ebola	3	2.1837	11.74993023
Mix71	Ebola	3	0	0
Mix14	Ebola	3	99.4303	96.07872977
Mix21	Ebola	3	0	0
Mix66	Ebola	3	0	0
Mix8	Ebola	3	99.4673	87.76369356
Mix75	Ebola	3	14.505	89.65293545
Mix58	Ebola	3	99.4303	96.27897519
Mix94	Ebola	3	99.4673	88.54908205
Mix70	Ebola	3	99.4303	91.39790146
Mix6	Ebola	3	0	0
Mix86	Ebola	3	99.4303	98.39983375
Mix97	Ebola	3	99.4303	100
Mix69	Ebola	3	99.7046	71.78601261
Mix63	Ebola	3	21.0718	60.88208548
Mix82	Ebola	3	99.6783	91.57670523
Mix20	Ebola	3	99.4673	93.9318701
Mix52	Ebola	3	0	0
Mix10	Ebola	3	47.4128	81.2749696
Mix36	Ebola	3	1.0866	29.38388626
Mix91	Ebola	3	2.3472	100
Mix40	Ebola	3	1.0866	22.11126961
Mix95	Ebola	3	99.4673	92.22049236
Mix68	Ebola	3	18.7563	73.30508475
Mix32	Ebola	3	94.3088	84.81744903
Mix56	Ebola	3	1.0866	100
Mix88	Ebola	3	99.6783	81.43349118
Mix77	Ebola	3	3.65	19.01061901
Mix41	Ebola	3	99.5358	71.25764324
Mix39	Ebola	3	99.4567	49.06081362
Mix11	Ebola	3	0	0
Mix5	Ebola	3	99.5358	76.39982237
Mix33	Ebola	3	99.4673	96.69459487
Mix74	Ebola	3	26.763	90.07936508
Mix90	Ebola	3	99.4673	89.96050816
Mix3	Ebola	3	99.4673	96.18926482
Mix53	Ebola	3	94.2297	88.77905822
Mix24	Ebola	3	0	0
Mix45	Ebola	3	0	0
Mix59	Ebola	3	15.9238	47.20384847
Mix27	Ebola	3	99.5358	82.2969212
Mix15	Ebola	3	99.4673	83.53731277
Mix39	Ebola	4	99.4567	98.36150845
Mix35	Ebola	4	99.4673	97.99513029
Mix48	Ebola	4	0	0
Mix11	Ebola	4	0	0
Mix83	Ebola	4	2.1837	58.31024931
Mix20	Ebola	4	99.4673	98.43367851
Mix16	Ebola	4	99.4673	96.09148666
Mix55	Ebola	4	41.5897	91.99328108
Mix59	Ebola	4	15.9238	82.11297071
Mix30	Ebola	4	0	0
Mix76	Ebola	4	99.4673	98.43278142
Mix29	Ebola	4	99.5358	87.9046867
Mix93	Ebola	4	2.2311	100
Mix25	Ebola	4	99.4303	100
Mix58	Ebola	4	99.4303	100
Mix92	Ebola	4	99.4673	100
Mix87	Ebola	4	0	0
Mix40	Ebola	4	1.0866	46.26865672
Mix28	Ebola	4	99.7046	98.1620892
Mix97	Ebola	4	99.4303	100
Mix49	Ebola	4	99.4673	100
Mix45	Ebola	4	0	0
Mix82	Ebola	4	99.6783	100
Mix38	Ebola	4	99.4303	100
Mix64	Ebola	4	0	0
Mix77	Ebola	4	3.65	70.64485082
Mix3	Ebola	4	99.4673	100
Mix60	Ebola	4	9.241	61.28016789
Mix12	Ebola	4	99.4303	97.72457562
Mix5	Ebola	4	99.5358	88.49247171
Mix72	Ebola	4	99.4145	100
Mix69	Ebola	4	99.7046	87.87005623
Mix65	Ebola	4	99.7046	94.14898914
Mix17	Ebola	4	99.5358	94.27617814
Mix2	Ebola	4	0	0
Mix44	Ebola	4	10.0111	75.92661924
Mix91	Ebola	4	2.3472	100
Mix96	Ebola	4	0	0
Mix68	Ebola	4	18.7563	73.30508475
Mix73	Ebola	4	99.4409	86.08628238
Mix34	Ebola	4	0	0
Mix86	Ebola	4	99.4303	100
Mix13	Ebola	4	13.276	100
Mix81	Ebola	4	37.08	100
Mix4	Ebola	4	99.4673	98.0042397
Mix54	Ebola	4	0	0
Mix78	Ebola	4	0	0
Mix9	Ebola	4	99.4303	100
Mix63	Ebola	4	21.0718	100
Mix41	Ebola	4	99.5358	96.64687212
Mix8	Ebola	4	99.4673	93.46241009
Mix46	Ebola	4	0	0
Mix18	Ebola	4	99.7046	97.52291688
Mix31	Ebola	4	99.4673	100
Mix67	Ebola	4	0	0
Mix70	Ebola	4	99.4303	100
Mix36	Ebola	4	1.0866	49.75922953
Mix19	Ebola	4	0	0
Mix15	Ebola	4	99.4673	95.7655878
Mix94	Ebola	4	99.4673	98.42269651
Mix62	Ebola	4	0	0
Mix79	Ebola	4	0	0
Mix56	Ebola	4	1.0866	100
Mix75	Ebola	4	14.505	89.65293545
Mix51	Ebola	4	99.7046	98.37148803
Mix21	Ebola	4	0	0
Mix26	Ebola	4	99.5622	98.12759336
Mix10	Ebola	4	47.4128	88.46662885
Mix80	Ebola	4	0	0
Mix23	Ebola	4	1.0866	31.66496425
Mix47	Ebola	4	0	0
Mix100	Ebola	4	99.4145	98.44131553
Mix99	Ebola	4	99.4673	96.57250856
Mix14	Ebola	4	99.4303	98.29769566
Mix95	Ebola	4	99.4673	96.38952454
Mix53	Ebola	4	94.2297	100
Mix42	Ebola	4	71.3962	95.3352574
Mix85	Ebola	4	99.6783	98.12230925
Mix90	Ebola	4	99.4673	100
Mix89	Ebola	4	99.4673	95.70722357
Mix33	Ebola	4	99.4673	98.43457458
Mix74	Ebola	4	26.763	100
Mix88	Ebola	4	99.6783	82.53490401
Mix32	Ebola	4	94.3088	90.66396351
Mix57	Ebola	4	99.4673	95.3125
Mix27	Ebola	4	99.5358	98.26574589
Mix43	Ebola	4	0	0
Mix1	Ebola	4	99.4303	100
Mix61	Ebola	4	0	0
Mix37	Ebola	4	99.7046	98.43530696
Mix7	Ebola	4	99.5358	98.37301175
Mix98	Ebola	4	99.4303	91.87957531
Mix66	Ebola	4	0	0
Mix22	Ebola	4	99.4673	100
Mix24	Ebola	4	0	0
Mix50	Ebola	4	0	0
Mix52	Ebola	4	0	0
Mix6	Ebola	4	0	0
Mix71	Ebola	4	0	0
Mix84	Ebola	4	0	0
