Test	specy	round	bestRef	totalNumberContigs	numberContigs	coverage	signalRatio
Mix90	IVA	Third	NA	NA	NA	NA	NA
Mix76	IVA	First	GCF_000865085	1491	27	97.7911	4.27795986792736
Mix76	IVA	Second	NA	NA	NA	NA	NA
Mix76	IVA	Third	NA	NA	NA	NA	NA
Mix11	IVA	First	GCF_001343785	1138	23	98.0012	6.41056396277627
Mix11	IVA	Second	GCF_000866645	18	1	7.4889	2.8832
Mix11	IVA	Third	NA	NA	NA	NA	NA
Mix19	IVA	First	GCF_000865085	104	30	99.4423	22.4119636189211
Mix19	IVA	Second	GCF_000865725	33	5	58.8240	17.8516390591768
Mix19	IVA	Third	NA	NA	NA	NA	NA
Mix6	COVID	First	COVID	1858	1	99.6957	3.6991
Mix6	COVID	Second	COVID	60	1	99.6957	57.2140
Mix6	COVID	Third	COVID	1	1	99.6957	100.0000
Mix16	IVA	First	GCF_001343785	474	34	95.1360	11.5503477073015
Mix16	IVA	Second	GCF_000928555	187	4	36.1231	5.90491806925498
Mix16	IVA	Third	NA	NA	NA	NA	NA
Mix28	IVA	First	GCF_000865085	1446	12	97.7471	2.62387720720721
Mix28	IVA	Second	GCF_001343785	59	1	13.2619	3.70316103151863
Mix28	IVA	Third	NA	NA	NA	NA	NA
Mix93	IVA	First	GCF_001343785	305	10	94.3760	10.1168470607183
Mix93	IVA	Second	GCF_000866645	62	1	8.3878	2.3433
Mix93	IVA	Third	NA	NA	NA	NA	NA
