sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.35	AF086833	47	1	221	2	1.1657	2	0	0.9032	24468	1	334	1.3650482262547	1.76169629199852	24468	1	334	1.3650482262547	1.25470001634788	97.3802517573974
rand.30	AF086833	102	3	18850	6	99.4251	363	0	26.2468	72386	3	19148	26.4526289614014	100	72386	3	19148	26.4526289614014	1.48233083745476	72.0650402011439
rand.99	AF086833	36	2	632	4	3.3335	12	0	2.9868	21160	2	725	3.42627599243856	3.824041352392	21160	2	725	3.42627599243856	1.70132325141777	94.8724007561437
rand.56	AF086833	105	2	18858	6	99.4673	368	0	26.1003	73095	2	19731	26.9936384157603	100	73095	2	19731	26.9936384157603	13.8956152951638	59.1107462890759
rand.13	AF086833	30	1	18858	2	99.4673	367	0	55.4354	34018	1	18908	55.582338761832	99.7309984703835	34018	1	18908	55.582338761832	1.59915338938209	42.8185078487859
rand.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.48	AF086833	53	1	18858	4	99.4673	367	0	39.4597	48006	1	18974	39.5242261383994	100	48006	1	18974	39.5242261383994	0.704078656834562	59.7716952047661
rand.16	AF086833	157	2	18873	4	99.5464	367	0	18.9654	100272	2	19617	19.563786500718	100	100272	2	19617	19.563786500718	13.0245731610021	67.4116403382799
rand.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.81	AF086833	23	1	18853	2	99.4409	367	0	62.9630	29943	1	18917	63.176702401229	99.7784693285511	29626	1	18917	63.852696955377	0	36.147303044623
rand.83	AF086833	58	1	18850	2	99.4251	367	0	38.1950	49352	1	18936	38.369265683255	99.8786855846827	49352	1	18936	38.369265683255	1.97155130491166	59.6591830118334
rand.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.45	AF086833	26	1	18858	2	99.4673	367	0	56.5423	33352	1	18908	56.6922523386903	99.7309984703835	33352	1	18908	56.6922523386903	4.11369633005517	39.1940513312545
rand.46	AF086833	66	18	11701	40	61.7174	225	1	32.1715	36896	18	12579	34.0931266261925	66.3484360989504	36234	18	12579	34.716012584865	0.932825522989457	64.3511618921455
rand.58	AF086833	29	2	18853	4	99.4409	369	2	54.3439	34727	2	18971	54.6289630546837	100	34727	2	18971	54.6289630546837	0	45.3710369453163
