sample	cohort	sequencer
X22JS033016.rna.1	Control	Next550_2
M117RN0124.R.rna.1	Case	BGI500_1
MDL001.09C2214025L.RNA.B26.20220330.rna.1	Control	Next550_1
MDL001.09C2235053L.RNA.D04.20220824.rna.1	Control	Next550_1
N218YJ0223.R.rna.1	Case	BGI500_1
MBX126147.rna.1	Control	BGI500_1
E217RT0460.R.rna.1	Case	BGI500_1
RNA.1233184390.rna.1	Case	Next550_2
CF226L0254.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
N218HM0251.R.rna.1	Case	BGI500_1
MDL001.09C2231012L.RNA.D25.20220725.rna.1	Control	Next550_1
CF234H0370.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.09C2232008L.RNA.A02.20220801.rna.1	Control	Next550_1
E218YJ0464.R.rna.1	Case	BGI500_1
M117RN0125.R.rna.1	Case	BGI500_1
M118YJ0314.R.rna.1	Control	BGI500_1
M117HM0556.R.rna.1	Control	BGI500_1
M118YJ0141.R.rna.1	Control	BGI500_1
CF233G0313.8D6AXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
M118YJ0385.R.rna.1	Control	BGI500_1
X22JS022630.rna.1	Control	Next550_2
M117LJ0287.R.rna.1	Control	BGI500_1
N117RE0115.R.rna.1	Case	BGI500_1
ZDH23061600041R.rna.1	Case	Next550_2
ZZ22JS062796.AD.1R.1L.UDB.183.rna.1	Case	BGI500_1
X22JS032990.rna.1	Control	Next550_2
CF221R0146.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
CF236N0107.8D6BXX1NXF1.N002KX2P.rna.1	Case	BGI500_1
ZDH23100700051R.rna.1	Control	Next550_2
CF230N0262.8D6BXX1MXF1.N002L001.rna.1	Control	BGI500_1
MDL001.09C2204035L.RNA.C06.20220119.rna.1	Control	Next550_1
MDL001.Q09C23080021L.RNA.C02.20230214.rna.1	Control	Next550_1
MDL001.18C2240119L.RNA.D35.20221003.rna.1	Control	Next550_1
M118HM0325.R.rna.1	Case	BGI500_1
ZZ22JS023191.1R.1L.UDB.176.rna.1	Case	BGI500_1
MDL001.09C2205029L.RNA.B02.20220126.rna.1	Control	Next550_1
MDL001.09C2147023L.RNA.C03.20211117.rna.1	Control	Next550_1
CF23770271.8B6BXX1MXF1.N002J019.rna.1	Control	BGI500_1
M118LA0189.1.R.rna.1	Control	BGI500_1
CF236E0427.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M117EJ0381.R.rna.1	Control	BGI500_1
E218YF0175.R.rna.1	Case	BGI500_1
M117LJ0361.R.rna.1	Control	BGI500_1
MBX110446.rna.1	Control	BGI500_1
MDL001.Q09C23030009L.RNA.B09.20230110.rna.1	Control	Next550_1
X22JS047789.rna.1	Control	Next550_2
MDL001.24C2215042L.RNA.C34.20220411.rna.1	Control	Next550_1
ZDH24022400111R.rna.1	Control	Next550_2
M117HM0671.R.rna.1	Control	BGI500_1
M117RE0167.R.rna.1	Control	BGI500_1
MDL001.24C2238015L.RNA.D08.20220916.rna.1	Control	Next550_1
M117RS0131.R.rna.1	Control	BGI500_1
E218YF0385.R.rna.1	Case	BGI500_1
ZZMAX120304.1R.1L.UDB.104.rna.1	Case	BGI500_1
M117RE0224.R.rna.1	Control	BGI500_1
CF23660379.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS055871.rna.1	Control	Next550_2
MDL001.09C2128042L.RNA.A03.20210709.rna.1	Control	Next550_1
E218YF0257.R.rna.1	Case	BGI500_1
CF24380175.8F6AXXXX1FX.N008JQ84.rna.1	Control	BGI500_1
N218YF0176.R.rna.1	Case	BGI500_1
CF231C0481.8B6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M118HM0231.R.rna.1	Control	BGI500_1
MDL001.24C2240009L.RNA.A28.20220930.rna.1	Control	Next550_1
CF23650243.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MAX134640.rna.1	Control	BGI500_1
MBX153178.rna.1	Control	BGI500_1
CF224J0140.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
X22JS062879.rna.1	Control	Next550_2
MDL001.Q24C23020032L.RNA.D33.20230107.rna.1	Control	Next550_1
CF233P0168.8D6AXX1LXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.Q09C23030037T.RNA.A08.20230110.rna.1	Case	Next550_1
X22JS062832.rna.1	Control	Next550_2
CF236G0177.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M117RT0313.R.rna.1	Case	BGI500_1
X22JS033012.rna.1	Control	Next550_2
CF230K0227.8D6BXX1PXF1.N002JQ84.rna.1	Case	BGI500_1
ZZ22JS047632.1R.1L.UDB.142.rna.1	Case	BGI500_1
MDL001.Q18C23050052L.RNA.A44.20230126.rna.1	Case	Next550_1
X22JS062408.rna.1	Control	Next550_2
ZZ22JS022634.1R.1L.UDB.106.rna.1	Case	BGI500_1
CF231D0159.8B6AXX1LXF1.N002L001.rna.1	Case	BGI500_1
MDL001.Q09C23030014L.RNA.B10.20230110.rna.1	Control	Next550_1
CF23030059.8D6BXX1NXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.1C2030116L.RNA.A22.20200723.rna.1	Control	Next550_1
MDL001.24C2221026L.RNA.C16.20220522.rna.1	Control	Next550_1
M118YJ0245.R.rna.1	Control	BGI500_1
ZDH23100300081R.rna.1	Control	Next550_2
MDL001.09C2234016L.RNA.A24.20220815.rna.1	Control	Next550_1
ZZMAX127430.1R.1L.UDB.179.rna.1	Case	BGI500_1
ZDH23051800051R.rna.1	Case	Next550_2
MDL001.Q24C23070030L.RNA.A38.20230211.rna.1	Control	Next550_1
ZZ22JS047639.1R.1L.UDB.166.rna.1	Case	BGI500_1
CF24560047.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
M117YM0601.R.rna.1	Control	BGI500_1
MDL001.24C2230002L.RNA.C02.20220720.rna.1	Control	Next550_1
X22JS052032.rna.1	Control	Next550_2
ZDH221200141R.rna.1	Case	Next550_2
MDL001.09C2203004L.RNA.B02.20220110.rna.1	Control	Next550_1
M117RE0260.R.rna.1	Control	BGI500_1
MAX119905.rna.1	Control	BGI500_1
MDL001.24C2215007L.RNA.B13.20220407.rna.1	Control	Next550_1
CF22100114.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
ZZ22JS052116.1R.1L.UDB.110.rna.1	Case	BGI500_1
CF224K0174.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
CF23630127.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
E218YF0411.R.rna.1	Case	BGI500_1
MDL001.09D2126030L.RNA.C36.20210630.rna.1	Control	Next550_1
X22JS047637.rna.1	Control	Next550_2
E218YF0474.R.rna.1	Case	BGI500_1
ZDH221200431R.rna.1	Case	Next550_2
WHMAX12180001.1R.1L.UDB.170.rna.1	Case	BGI500_1
S218YF0405.R.rna.1	Case	BGI500_1
X22JS062791.rna.1	Control	Next550_2
CF23560018.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.1C2041175L.RNA.C04.20201011.rna.1	Control	Next550_1
CF236V0277.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
A210627PARN004.rna.1	Control	Next550_2
CF243S0112.8F6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
MDL001.09C2207060L.RNA.D01.20220211.rna.1	Control	Next550_1
M117HM0395.R.rna.1	Control	BGI500_1
X22JS052082.rna.1	Control	Next550_2
MDL001.09C2150087L.RNA.B43.20211211.rna.1	Control	Next550_1
MDL001.18C2142049L.RNA.B35.20211017.rna.1	Control	Next550_1
CF23BT0253.8D6BXX1NXF1.N002JQ84.rna.1	Control	BGI500_1
CF23620301.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.05C2123054L.RNA.C27.20210605.rna.1	Control	Next550_1
MBX129267.rna.1	Control	BGI500_1
CF223M0030.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
CF227A0110.8A6AXX1LXF1.N002L001.rna.1	Control	BGI500_1
CF21AC0088.8A2AXX1AXF1.N002J019.rna.1	Control	BGI500_1
CF22390274.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
ZZ22JS022631.1R.1L.UDB.189.rna.1	Case	BGI500_1
CF22660081.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
CF23750371.8B6BXX1LXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.24C2230010L.RNA.C20.20220722.rna.1	Control	Next550_1
ZDH23092200021R.rna.1	Control	Next550_2
MDL001.09C2225022L.RNA.D20.20220614.rna.1	Control	Next550_1
X22JS055893.rna.1	Control	Next550_2
MDL001.09C2202036L.RNA.A02.20220105.rna.1	Control	Next550_1
ZDH23100900081R.rna.1	Control	Next550_2
CF235U0226.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.Q18C22530029L.RNA.D28.20221229.rna.1	Case	Next550_1
CF221R0228.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q18C23050019L.RNA.D22.20230124.rna.1	Control	Next550_1
CF237Q0499.8B6BXX2IXF1.N002KX2P.rna.1	Case	BGI500_1
M117YF0550.R.rna.1	Control	BGI500_1
MDL001.24C2230006L.RNA.C09.20220721.rna.1	Control	Next550_1
A210612PARN031.rna.1	Control	Next550_2
M117HM0693.R.rna.1	Control	BGI500_1
MDL001.09C2150074L.RNA.B02.20211210.rna.1	Control	Next550_1
ZDH24022800101R.rna.1	Control	Next550_2
MDL001.Q09C23060048L.RNA.B05.20230201.rna.1	Control	Next550_1
MDL001.18C2142050L.RNA.B36.20211017.rna.1	Control	Next550_1
MDL001.24C2223041L.RNA.A02.20220605.rna.1	Control	Next550_1
MDL001.Q09C23030058L.RNA.A42.20230111.rna.1	Control	Next550_1
CF23750112.8B6BXX1WXF1.N004J019.rna.1	Control	BGI500_1
CF237T0195.8D6BXX1VXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2153048L.RNA.C37.20211228.rna.1	Control	Next550_1
M117RE0450.R.rna.1	Control	BGI500_1
X22JS052034.rna.1	Control	Next550_2
ZDH23092100121R.rna.1	Control	Next550_2
CF224M0152.8A6AXX1KXF4.N002J019.rna.1	Control	BGI500_1
CF230A0037.8D6BXX1MXF1.N002JQ84.rna.1	Control	BGI500_1
M117RN0356.R.rna.1	Control	BGI500_1
MDL001.09C2229038L.RNA.B37.20220712.rna.1	Control	Next550_1
MDL001.05C2142072L.RNA.C15.20211018.rna.1	Control	Next550_1
E218YF0563.R.rna.1	Case	BGI500_1
ZZMAX83650.1R.1L.UDB.169.rna.1	Case	BGI500_1
ZDH23070300062R.rna.1	Control	Next550_2
MDL001.Q11C23060113L.RNA.C05.20230203.rna.1	Control	Next550_1
M117RE0180.R.rna.1	Control	BGI500_1
MDL001.09C2151077L.RNA.A32.20211217.rna.1	Control	Next550_1
MDL001.09C2147016L.RNA.D22.20211116.rna.1	Control	Next550_1
S118YF0150.R.rna.1	Case	BGI500_1
CF24560049.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
CF238H0204.8D6BXX1QXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.01C2121269L.RNA.C21.20210523.rna.1	Control	Next550_1
M118YF0197.R.rna.1	Case	BGI500_1
M117HM0756.R.rna.1	Control	BGI500_1
MDL001.24C2239060L.RNA.A13.20220925.rna.1	Control	Next550_1
MDL001.09C2145033L.RNA.A28.20211104.rna.1	Control	Next550_1
X22JS062812.rna.1	Control	Next550_2
CF234D0113.8D6AXX1MXF1.N002J019.rna.1	Case	BGI500_1
M117LA0637.R.rna.1	Control	BGI500_1
CF243S0165.8F6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
ZZ22JS021585.1R.1L.UDB.181.rna.1	Case	BGI500_1
MDL001.09C2127017L.RNA.C34.20210630.rna.1	Control	Next550_1
MDL001.09C2150089L.RNA.B42.20211211.rna.1	Control	Next550_1
CF244P0079.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
ZDH23062100091R.rna.1	Case	Next550_2
MAX138984.rna.1	Case	BGI500_1
MBX104936.rna.1	Control	BGI500_1
MAX114587.rna.1	Control	BGI500_1
ZDH230500481R.rna.1	Case	Next550_2
X21JS943037.rna.1	Control	Next550_2
MBX166288.rna.1	Control	BGI500_1
MDL001.09C2208059L.RNA.A02.20220219.rna.1	Control	Next550_1
CF236C0325.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M117HM0143.R.rna.1	Control	BGI500_1
MDL001.09C2241041L.RNA.D36.20221005.rna.1	Control	Next550_1
MDL001.09C2123002L.RNA.A01.20210531.rna.1	Control	Next550_1
E218YF0623.R.rna.1	Case	BGI500_1
MDL001.09C2240046L.RNA.B37.20220928.rna.1	Control	Next550_1
N218HM0219.R.rna.1	Case	BGI500_1
MDL001.09C2219004L.RNA.C02.20220502.rna.1	Control	Next550_1
M118HM0322.R.rna.1	Case	BGI500_1
CF221D0190.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
MDL001.24C2210011L.RNA.B17.20220303.rna.1	Control	Next550_1
CF224Q0140.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
M117LA0183.R.rna.1	Control	BGI500_1
M117RE0118.R.rna.1	Control	BGI500_1
ZDH230401471R.rna.1	Control	Next550_2
CF23210291.8B6AXX1NXF1.N002J019.rna.1	Control	BGI500_1
ZZ22JS062906.AD.1R.1L.UDB.157.rna.1	Case	BGI500_1
MDL001.09C2202087L.RNA.D39.20220108.rna.1	Control	Next550_1
M117HM0554.R.rna.1	Control	BGI500_1
MDL001.24C2217021L.RNA.C14.20220422.rna.1	Control	Next550_1
CF23220195.8B6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
CF234S0121.8D6AXX1VXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2125006L.RNA.B03.20210615.rna.1	Control	Next550_1
MDL001.05C2138105L.RNA.D12.20210919.rna.1	Control	Next550_1
X22JS068196.rna.1	Control	Next550_2
MAX127745.rna.1	Control	BGI500_1
MDL001.09C2129015L.RNA.A47.20210713.rna.1	Control	Next550_1
CF217A0024.8A2AXXPXXF1.N002J019.rna.1	Control	BGI500_1
M117LA0118.R.rna.1	Control	BGI500_1
CF236R0321.8D6BXX1NXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2242020L.RNA.D04.20221011.rna.1	Control	Next550_1
ZDH23061400122R.rna.1	Control	Next550_2
MDL001.09C2208051L.RNA.C03.20220218.rna.1	Control	Next550_1
E218YF0152.R.rna.1	Case	BGI500_1
CF21BP0135.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
CF235H0138.8D6AXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
CF23630148.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M117RS0228.R.rna.1	Control	BGI500_1
MDL001.24C2226040L.RNA.A14.20220623.rna.1	Control	Next550_1
X22JS028193.rna.1	Control	Next550_2
CF23090197.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
M117RE0359.R.rna.1	Control	BGI500_1
MDL001.24C2241013L.RNA.C35.20221007.rna.1	Control	Next550_1
MDL001.09C2250006L.RNA.C18.20221205.rna.1	Control	Next550_1
MDL001.24C2209046L.RNA.D34.20220227.rna.1	Control	Next550_1
X22JS062903.rna.1	Control	Next550_2
MAX153516.rna.1	Control	BGI500_1
MBX151801.rna.1	Control	BGI500_1
MAX135098.rna.1	Control	BGI500_1
M117RT0327.R.rna.1	Case	BGI500_1
CF24370082.8F6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
M117RE0243.R.rna.1	Control	BGI500_1
MDL001.09C2208007L.RNA.A16.20220215.rna.1	Control	Next550_1
CF23AS0029.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
X22JS055844.rna.1	Control	Next550_2
CF23600154.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
X22JS063897.rna.1	Control	Next550_2
MDL001.09C2220002L.RNA.B26.20220509.rna.1	Control	Next550_1
CF236K0249.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2140058L.RNA.B38.20210930.rna.1	Control	Next550_1
