sample	cohort	sequencer
CF22680253.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
E217RT0353.R.rna.1	Case	BGI500_1
MDL001.Q18C23090091L.RNA.A29.20230227.rna.1	Control	Next550_1
CF231J0001.8B6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
CF238P0421.8D6BXX1ZXF1.N002JQ84.rna.1	Case	BGI500_1
CF235W0065.8D6AXX1MXF1.N002J019.rna.1	Control	BGI500_1
ZDH23060600052R.rna.1	Case	Next550_2
X22JS062974.rna.1	Case	Next550_2
MDL001.Q24C22520013L.RNA.D20.20221224.rna.1	Case	Next550_1
M117RT0249.R.rna.1	Control	BGI500_1
X21JS942845.rna.1	Control	Next550_2
MDL001.09C2228063L.RNA.C03.20220708.rna.1	Control	Next550_1
MBX112038.rna.1	Case	BGI500_1
M118LA0189.R.rna.1	Control	BGI500_1
CF23760412.8D6BXX1MXF1.N002J019.rna.1	Control	BGI500_1
ZDH23101700091R.rna.1	Control	Next550_2
M117HM0352.R.rna.1	Control	BGI500_1
CF222M0156.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
MDL001.01C2231236L.RNA.D19.20220731.rna.1	Control	Next550_1
E217RE0715.R.rna.1	Case	BGI500_1
A210530PARN012.rna.1	Control	Next550_2
MAX122794.rna.1	Control	BGI500_1
MDL001.09C2237020L.RNA.D02.20220907.rna.1	Control	Next550_1
CF230C0039.8D6BXX1NXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.24C2231019L.RNA.A19.20220729.rna.1	Control	Next550_1
M117LJ0597.R.rna.1	Control	BGI500_1
MDL001.1C2021197L.RNA.C05.20200523.rna.1	Control	Next550_1
MAX139632.rna.1	Control	BGI500_1
X22JS062809.rna.1	Control	Next550_2
CF23AA0101.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
M117LA0176.R.rna.1	Control	BGI500_1
CF237P0385.8B6BXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.09C2205004L.RNA.A24.20220124.rna.1	Control	Next550_1
CF23840230.8D6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C23030052L.RNA.A36.20230111.rna.1	Control	Next550_1
CF235S0111.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q24C23090060L.RNA.D04.20230224.rna.1	Control	Next550_1
M117HM0684.R.rna.1	Control	BGI500_1
MAX143318.rna.1	Case	BGI500_1
MDL001.09C2225014L.RNA.B30.20220613.rna.1	Control	Next550_1
ZDH230400081R.rna.1	Control	Next550_2
X22JS062954.rna.1	Control	Next550_2
MDL001.09C2122032L.RNA.C31.20210527.rna.1	Control	Next550_1
MDL001.09D2226017L.RNA.A41.20220621.rna.1	Control	Next550_1
MDL001.Q09C23060060L.RNA.C02.20230203.rna.1	Control	Next550_1
MDL001.01C2132256L.RNA.A19.20210808.rna.1	Control	Next550_1
MDL001.09C2233032L.RNA.B05.20220809.rna.1	Control	Next550_1
ZZ24JS11864.AD.1R.1L.UDB.164.rna.1	Case	BGI500_1
MDL001.09C2152028L.RNA.D05.20211223.rna.1	Control	Next550_1
M117LA0269.R.rna.1	Control	BGI500_1
CF239K0230.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.24C2235016L.RNA.C16.20220826.rna.1	Control	Next550_1
MAX136265.rna.1	Control	BGI500_1
M118HM0181.R.rna.1	Case	BGI500_1
X22JS068154.rna.1	Control	Next550_2
MBX114907.rna.1	Control	BGI500_1
MDL001.09C2147069L.RNA.C22.20211120.rna.1	Control	Next550_1
M117HM0712.R.rna.1	Control	BGI500_1
MAX94344.rna.1	Control	BGI500_1
MDL001.18C2141021L.RNA.B12.20211011.rna.1	Control	Next550_1
MDL001.18C2206042L.RNA.C02.20220205.rna.1	Control	Next550_1
MDL001.Q18C23080078L.RNA.D01.20230217.rna.1	Control	Next550_1
M117YF0615.R.rna.1	Control	BGI500_1
M118HM0342.R.rna.1	Case	BGI500_1
M117HM0812.R.rna.1	Control	BGI500_1
MDL001.09C2142040L.RNA.D04.20211013.rna.1	Control	Next550_1
MDL001.Q09C23030018L.RNA.B13.20230110.rna.1	Control	Next550_1
MDL001.24C2228040L.RNA.C09.20220710.rna.1	Control	Next550_1
CF241A0423.8D6BXX1M1F1.N002JQ84.rna.1	Control	BGI500_1
ZDH23052200112R.rna.1	Case	Next550_2
ZDH23110400181R.rna.1	Control	Next550_2
M117RT0258.R.rna.1	Control	BGI500_1
MDL001.24C2214017L.RNA.B04.20220401.rna.1	Control	Next550_1
M117LA0276.R.rna.1	Control	BGI500_1
ZDH23090800021R.rna.1	Control	Next550_2
ZDH230401551R.rna.1	Case	Next550_2
ZDH230100891R.rna.1	Control	Next550_2
MDL001.24C2237008L.RNA.D23.20220906.rna.1	Control	Next550_1
MDL001.09C2240030L.RNA.A30.20220927.rna.1	Control	Next550_1
MDL001.09C2137043L.RNA.A06.20210910.rna.1	Control	Next550_1
CF23780181.8D6BXX1VXF1.N002J019.rna.1	Control	BGI500_1
X21JS942701.rna.1	Control	Next550_2
N217RE0120.R.rna.1	Case	BGI500_1
ZDH23061100011R.rna.1	Case	Next550_2
MDL001.24C2233016L.RNA.B11.20220813.rna.1	Control	Next550_1
MAX122800.rna.1	Control	BGI500_1
MDL001.Q09C22520017N.RNA.A04.20221221.rna.1	Case	Next550_1
CF237M0317.8B6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
X22JS117002.rna.1	Control	Next550_2
M117LA0145.R.rna.1	Control	BGI500_1
M117HM0828.R.rna.1	Control	BGI500_1
MDL001.Q18C23090048L.RNA.C34.20230223.rna.1	Control	Next550_1
MAX114646.rna.1	Control	BGI500_1
X22JS032150.rna.1	Control	Next550_2
MAX128049.rna.1	Control	BGI500_1
MDL001.09C2226008L.RNA.C04.20220620.rna.1	Control	Next550_1
MDL001.09C2148066L.RNA.A39.20211126.rna.1	Control	Next550_1
MDL001.09C2147068L.RNA.D12.20211119.rna.1	Control	Next550_1
MDL001.09C2242054L.RNA.A04.20221014.rna.1	Control	Next550_1
ZDH23070400132R.rna.1	Control	Next550_2
MDL001.24C2213003L.RNA.A42.20220323.rna.1	Control	Next550_1
MDL001.09C2225012L.RNA.B29.20220613.rna.1	Control	Next550_1
MDL001.09C2231028L.RNA.A37.20220726.rna.1	Control	Next550_1
MDL001.24C2239007L.RNA.B21.20220924.rna.1	Control	Next550_1
MDL001.09C2220004L.RNA.B36.20220510.rna.1	Control	Next550_1
MDL001.09C2247016L.RNA.A11.20221118.rna.1	Control	Next550_1
S217RT0481.R.rna.1	Case	BGI500_1
CF237K0491.8D6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
ZZ22JS117088.AD.1R.1L.UDB.189.rna.1	Case	BGI500_1
MDL001.Q24C23020037L.RNA.D34.20230107.rna.1	Control	Next550_1
ZDH23090700031R.rna.1	Control	Next550_2
CF230B0225.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
ZDH230300961R.rna.1	Control	Next550_2
X23JSA04124.rna.1	Control	Next550_2
MAX122793.rna.1	Control	BGI500_1
MDL001.09C2149044L.RNA.A27.20211201.rna.1	Control	Next550_1
MDL001.09C2202016L.RNA.C20.20220104.rna.1	Control	Next550_1
MAX114566.rna.1	Control	BGI500_1
MDL001.Q24C23070024L.RNA.A36.20230211.rna.1	Control	Next550_1
ZDH221000401R.rna.1	Control	Next550_2
M117HM0764.R.rna.1	Control	BGI500_1
ZDH230100411R.rna.1	Case	Next550_2
ZZ22JS022632.1R.1L.UDB.107.rna.1	Case	BGI500_1
A210508PARN021.C1.rna.1	Control	Next550_2
MDL001.01C2152128L.RNA.A14.20211222.rna.1	Control	Next550_1
M118LA0126.R.rna.1	Case	BGI500_1
MDL001.09C2204011L.RNA.B20.20220118.rna.1	Control	Next550_1
CF235C0066.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
X22JS032973.rna.1	Control	Next550_2
X22JS055900.rna.1	Control	Next550_2
X22JS062742.rna.1	Control	Next550_2
MDL001.09C2225004L.RNA.B27.20220613.rna.1	Control	Next550_1
MDL001.24C2240006L.RNA.A27.20220930.rna.1	Control	Next550_1
MBX129362.rna.1	Control	BGI500_1
CF231H0277.8B6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
CF237F0021.8D6BXX1PXF1.N002J019.rna.1	Control	BGI500_1
MDL001.2C2026020L.RNA.C30.20200625.rna.1	Control	Next550_1
CF23400312.8D6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
X22JS032996.rna.1	Case	Next550_2
ZDH230401821R.rna.1	Control	Next550_2
CF235B0344.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C22520009L.RNA.D34.20221220.rna.1	Case	Next550_1
X22JS032953.rna.1	Control	Next550_2
CF233L0307.8D6AXX1MXF1.N002J019.rna.1	Control	BGI500_1
ZDH230100551R.rna.1	Control	Next550_2
CF23BA0335.8D6BXX1PXF3.N002JQ84.rna.1	Control	BGI500_1
MDL001.09C2152070L.RNA.C02.20211227.rna.1	Control	Next550_1
MDL001.24C2233013L.RNA.A20.20220812.rna.1	Control	Next550_1
ZDH23062500022R.rna.1	Control	Next550_2
CF22490102.8A6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C23070023L.RNA.D04.20230207.rna.1	Control	Next550_1
MDL001.24C2212005L.RNA.A02.20220316.rna.1	Control	Next550_1
CF24570040.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
CF23A70115.8D6BXX1PXF1.N002JQ84.rna.1	Control	BGI500_1
CF22530040.8A6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2224025L.RNA.B02.20220608.rna.1	Control	Next550_1
CF225S0245.8A6AXX1LXF6.N002J019.rna.1	Control	BGI500_1
M117HM0580.R.rna.1	Control	BGI500_1
M117RE0475.R.rna.1	Control	BGI500_1
ZZMAX119816.1R.1L.UDB.178.rna.1	Case	BGI500_1
MDL001.Q24C23080029L.RNA.B07.20230218.rna.1	Control	Next550_1
MDL001.09C2202056L.RNA.A28.20220106.rna.1	Control	Next550_1
CF230N0257.8D6BXX1MXF1.N002JQ84.rna.1	Control	BGI500_1
CF239L0348.8D6BXX1NXF1.N002KX2P.rna.1	Control	BGI500_1
MBX110942.rna.1	Control	BGI500_1
CF238L0173.8D6BXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.09C2141032L.RNA.D15.20211007.rna.1	Control	Next550_1
MDL001.09C2205040L.RNA.B28.20220127.rna.1	Control	Next550_1
CF231K0254.8B6AXX1PXF1.N002J019.rna.1	Case	BGI500_1
CF234R0252.8D6AXX1ZXF1.N002J019.rna.1	Case	BGI500_1
ZDH230400751R.rna.1	Control	Next550_2
A210317PARN036.rna.1	Control	Next550_2
CF23680281.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MBX134736.rna.1	Control	BGI500_1
N218HM0187.R.rna.1	Case	BGI500_1
E218HM0175.R.rna.1	Case	BGI500_1
MDL001.Q24C23090080L.RNA.D27.20230225.rna.1	Case	Next550_1
CF239E0322.8D6BXX1LXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.2C2025016L.RNA.A01.20200619.rna.1	Control	Next550_1
M118HM0273.R.rna.1	Case	BGI500_1
M117LA0344.R.rna.1	Control	BGI500_1
ZDH24022400121R.rna.1	Control	Next550_2
MDL001.09C2222005L.RNA.B02.20220523.rna.1	Control	Next550_1
MDL001.09C2213014L.RNA.C12.20220321.rna.1	Control	Next550_1
CF236N0089.8D6BXX1NXF1.N002KX2P.rna.1	Control	BGI500_1
X22JS062868.rna.1	Control	Next550_2
CF23820397.8D6BXX1LXF1.N002J019.rna.1	Control	BGI500_1
M118YM0182.R.rna.1	Control	BGI500_1
MDL001.09C2127006L.RNA.C11.20210628.rna.1	Control	Next550_1
MDL001.24C2215014L.RNA.B22.20220407.rna.1	Control	Next550_1
ZZ22JS021652.1R.1L.UDB.184.rna.1	Case	BGI500_1
M118YJ0170.R.rna.1	Case	BGI500_1
M118YJ0420.R.rna.1	Control	BGI500_1
CF23100190.8B6AXX1ZXF1.N002L001.rna.1	Case	BGI500_1
MDL001.09C2209025L.RNA.B03.20220222.rna.1	Control	Next550_1
ZDH23101700131R.rna.1	Control	Next550_2
M117RT0292.R.rna.1	Case	BGI500_1
MDL001.24C2212041L.RNA.B10.20220319.rna.1	Control	Next550_1
MDL001.24C2210054L.RNA.C02.20220305.rna.1	Control	Next550_1
X22JS055863.rna.1	Case	Next550_2
CF23410219.8B6AXX1NXF1.N002KX2P.rna.1	Control	BGI500_1
CF24100275.8D6BXX1L1F1.N002JQ84.rna.1	Control	BGI500_1
ZDH23063000082R.rna.1	Case	Next550_2
CF235G0086.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
CF23680279.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS062998.rna.1	Control	Next550_2
CF23760265.8B6BXX1WXF1.N004J019.rna.1	Control	BGI500_1
MDL001.09C2145026L.RNA.A05.20211103.rna.1	Control	Next550_1
CF238R0115.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.09C2151029L.RNA.D12.20211214.rna.1	Control	Next550_1
MDL001.09C2204077L.RNA.A06.20220122.rna.1	Control	Next550_1
CF227N0165.8A6AXX1QXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09C23030043L.RNA.A11.20230110.rna.1	Control	Next550_1
CF23A20030.8D6BXX1NXF1.N002JQ84.rna.1	Control	BGI500_1
M118LA0263.R.rna.1	Control	BGI500_1
CF243Q0048.8F6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
CF239E0315.8D6BXX1LXF1.N002JQ84.rna.1	Case	BGI500_1
CF243D0124.8F6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
S218HM0124.R.rna.1	Case	BGI500_1
E218YF0627.R.rna.1	Case	BGI500_1
M117HM0334.R.rna.1	Control	BGI500_1
CF23BK0409.8D6BXX1LXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.Q24C23090031L.RNA.C01.20230222.rna.1	Control	Next550_1
MDL001.09C2150082L.RNA.B41.20211211.rna.1	Control	Next550_1
MDL001.Q24C23090061L.RNA.D05.20230224.rna.1	Control	Next550_1
ZDH23081800041R.rna.1	Control	Next550_2
A210313PARN021.rna.1	Control	Next550_2
MDL001.Q09C23040039L.RNA.C48.20230117.rna.1	Case	Next550_1
CF237H0187.8D6BXX1ZXF1.N002J019.rna.1	Case	BGI500_1
M117RN0379.R.rna.1	Control	BGI500_1
CF24220285.8D6BXX1P1F1.N002JQ84.rna.1	Case	BGI500_1
X22JS117103.rna.1	Control	Next550_2
MDL001.Q18C23070069L.RNA.C09.20230210.rna.1	Control	Next550_1
CF22630194.8A6AXX1PXF3.N002J019.rna.1	Control	BGI500_1
MAX119704.rna.1	Control	BGI500_1
MAX120783.rna.1	Control	BGI500_1
CF232E0115.8B6AXX1QXF1.N002J019.rna.1	Control	BGI500_1
M117HM0815.R.rna.1	Control	BGI500_1
M118YJ0349.R.rna.1	Control	BGI500_1
MDL001.09C2204030L.RNA.C04.20220119.rna.1	Control	Next550_1
MAX119648.rna.1	Control	BGI500_1
X22JS055843.rna.1	Control	Next550_2
X22JS116395.rna.1	Control	Next550_2
X22JS032979.rna.1	Control	Next550_2
MDL001.24C2228028L.RNA.D04.20220709.rna.1	Control	Next550_1
CF244E0078.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
CF23440339.8B6AXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
M117RE0134.R.rna.1	Case	BGI500_1
MDL001.Q11C23030029L.RNA.B19.20230110.rna.1	Case	Next550_1
MDL001.1C2033278L.RNA.D31.20200816.rna.1	Control	Next550_1
ZDH230101961R.rna.1	Control	Next550_2
M117LA0575.R.rna.1	Control	BGI500_1
M117LJ0336.R.rna.1	Control	BGI500_1
X22JS032975.rna.1	Control	Next550_2
MAX90689.rna.1	Control	BGI500_1
S118HM0188.R.rna.1	Case	BGI500_1
CF23850143.8D6BXX1NXF1.N002J019.rna.1	Control	BGI500_1
CF244S0032.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
MDL001.09C2151033L.RNA.D26.20211215.rna.1	Control	Next550_1
CF231V0236.8B6AXX1NXF1.N002J019.rna.1	Control	BGI500_1
MDL001.12C2152011L.RNA.A24.20211221.rna.1	Control	Next550_1
M117LA0433.R.rna.1	Control	BGI500_1
MDL001.Q18C23050114L.RNA.D26.20230129.rna.1	Control	Next550_1
CF22670181.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
CF23B40191.8D6BXX1LXF1.N002JQ84.rna.1	Control	BGI500_1
CF230K0037.8D6BXX1PXF1.N002JQ84.rna.1	Case	BGI500_1
X22JS117044.rna.1	Control	Next550_2
MDL001.24C2213053L.RNA.B03.20220327.rna.1	Control	Next550_1
ZZ22JS062828.AD.1R.1L.UDB.158.rna.1	Case	BGI500_1
MDL001.Q24C23020015L.RNA.C43.20230106.rna.1	Control	Next550_1
MDL001.09C2141028L.RNA.D13.20211007.rna.1	Control	Next550_1
M118HM0208.R.rna.1	Case	BGI500_1
ZZMAX173346.AD.1R.1L.UDB.134.rna.1	Case	BGI500_1
MDL001.09C2219090L.RNA.B11.20220508.rna.1	Control	Next550_1
CF23A00223.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
A210425PARN027.rna.1	Control	Next550_2
MDL001.Q09C23080047L.RNA.D05.20230215.rna.1	Control	Next550_1
ZDH23062100051R.rna.1	Control	Next550_2
X21JS942679.rna.1	Control	Next550_2
MDL001.Q24C23080026L.RNA.B05.20230218.rna.1	Control	Next550_1
X22JS047772.rna.1	Control	Next550_2
MDL001.09C2149079L.RNA.D03.20211203.rna.1	Control	Next550_1
ZDH230401031R.rna.1	Case	Next550_2
X22JS062715.rna.1	Case	Next550_2
MDL001.18C2144040L.RNA.B30.20211031.rna.1	Control	Next550_1
X22JS023195.rna.1	Case	Next550_2
CF225H0089.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M117RE0443.R.rna.1	Case	BGI500_1
M217RT0158.R.rna.1	Case	BGI500_1
ZDH23062200101R.rna.1	Case	Next550_2
MBX56871.rna.1	Control	BGI500_1
MAX135100.rna.1	Control	BGI500_1
M117LJ0594.R.rna.1	Control	BGI500_1
ZDH230101391R.rna.1	Case	Next550_2
CF23BM0232.8D6BXX2CXF1.N002JQ84.rna.1	Control	BGI500_1
CF235K0129.8D6AXX1ZXF1.N002J019.rna.1	Case	BGI500_1
CF235B0070.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
ZDH22060087R.rna.1	Control	Next550_2
CF236R0317.8D6BXX1NXF1.N002KX2P.rna.1	Control	BGI500_1
ZDH24022200011R.rna.1	Control	Next550_2
CF244S0042.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
X22JS033011.rna.1	Control	Next550_2
M118YJ0295.R.rna.1	Control	BGI500_1
CF237C0478.8D6BXX1LXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2205046L.RNA.A30.20220128.rna.1	Control	Next550_1
MDL001.09C2147061L.RNA.D11.20211119.rna.1	Control	Next550_1
CF243F0058.8F6AXXJ41F1.N008JQ84.rna.1	Case	BGI500_1
M117TA0361.R.rna.1	Control	BGI500_1
MDL001.09C2126034L.RNA.B17.20210624.rna.1	Control	Next550_1
MAX120701.rna.1	Case	BGI500_1
CF23AA0112.8D6BXX1QXF1.N002L001.rna.1	Control	BGI500_1
M117LA0452.R.rna.1	Control	BGI500_1
MDL001.09C2209001L.RNA.A23.20220221.rna.1	Control	Next550_1
X22JS032142.rna.1	Control	Next550_2
ZZ22JS109657.AD.1R.1L.UDB.133.rna.1	Case	BGI500_1
MDL001.Q09C23070006L.RNA.C01.20230206.rna.1	Control	Next550_1
MDL001.09C2152027L.RNA.D04.20211223.rna.1	Control	Next550_1
MAX134059.rna.1	Control	BGI500_1
MDL001.24C2213006L.RNA.C06.20220324.rna.1	Control	Next550_1
CF235U0224.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
CF234M0121.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
X22JS021678.rna.1	Control	Next550_2
X22JS05585101.rna.1	Control	Next550_2
CF22530042.8A6AXX1PXF1.N002J019.rna.1	Control	BGI500_1
X22JS068176.rna.1	Control	Next550_2
CF234B0372.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q24C23070025L.RNA.A37.20230211.rna.1	Control	Next550_1
ZDH23071000101R.rna.1	Control	Next550_2
M117LA0728.R.rna.1	Control	BGI500_1
CF23AQ0083.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
ZZ22JS055866.AD.1R.1L.UDB.153.rna.1	Case	BGI500_1
CF23BS0175.8D6BXX1NXF1.N002JQ84.rna.1	Case	BGI500_1
M118HM0160.R.rna.1	Case	BGI500_1
ZDH23090700091R.rna.1	Control	Next550_2
M117YF0458.R.rna.1	Control	BGI500_1
M118LA0226.R.rna.1	Control	BGI500_1
MDL001.2C2047023L.RNA.C04.20201117.rna.1	Control	Next550_1
M117RT0207.R.rna.1	Control	BGI500_1
MDL001.09C2227010L.RNA.B03.20220627.rna.1	Control	Next550_1
MDL001.09C2138035L.RNA.A38.20210917.rna.1	Control	Next550_1
MDL001.Q09C23030053L.RNA.A37.20230111.rna.1	Control	Next550_1
MDL001.24C2214012L.RNA.B02.20220401.rna.1	Control	Next550_1
MDL001.1C2031129L.RNA.A12.20200730.rna.1	Control	Next550_1
CF23470098.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
ZDH230301881R.rna.1	Control	Next550_2
M117HM0780.R.rna.1	Control	BGI500_1
MDL001.24C2214026L.RNA.B17.20220402.rna.1	Control	Next550_1
MDL001.24C2226013L.RNA.A46.20220621.rna.1	Control	Next550_1
M117RN0271.R.rna.1	Control	BGI500_1
MDL001.18C2249019L.RNA.A11.20221130.rna.1	Control	Next550_1
CF234J0227.8D6AXX2EXF1.N002KX2P.rna.1	Control	BGI500_1
X22JS062829.rna.1	Case	Next550_2
X22JS062723.rna.1	Control	Next550_2
X22JS021545.rna.1	Control	Next550_2
MDL001.24C2239034L.RNA.B03.20220924.rna.1	Control	Next550_1
X22JS028183.rna.1	Control	Next550_2
X22JS021655.rna.1	Control	Next550_2
M117RN0352.R.rna.1	Control	BGI500_1
MDL001.09C2129003L.RNA.A16.20210712.rna.1	Control	Next550_1
CF22430060.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M117LA0450.R.rna.1	Control	BGI500_1
CF237K0387.8D6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
ZDH230101721R.rna.1	Case	Next550_2
MBX167181.rna.1	Control	BGI500_1
CF22690245.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS033140.rna.1	Control	Next550_2
ZZ22JS062765.AD.1R.1L.UDB.191.rna.1	Case	BGI500_1
MDL001.18C2238114L.RNA.D47.20220919.rna.1	Control	Next550_1
CF24570045.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
CF22250097.8A6AXX1MXF1.N002J019.rna.1	Control	BGI500_1
N117RN0130.R.rna.1	Case	BGI500_1
CF236T0473.8D6BXX1ZXF1.N002J019.rna.1	Control	BGI500_1
X22JS033023.rna.1	Control	Next550_2
CF223K0011.8A6AXX1UXF1.N003J019.rna.1	Control	BGI500_1
CF231F0191.8B6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
M117HM0191.R.rna.1	Control	BGI500_1
M117RE0225.R.rna.1	Control	BGI500_1
ZDH23053100102R.rna.1	Case	Next550_2
ZZMAX136576.AD.1R.1L.UDB.106.rna.1	Case	BGI500_1
M217RT0156.R.rna.1	Case	BGI500_1
MDL001.09C2153008L.RNA.C04.20211227.rna.1	Control	Next550_1
X22JS062848.rna.1	Control	Next550_2
MDL001.09C2149061L.RNA.B16.20211202.rna.1	Control	Next550_1
M118YJ0259.R.rna.1	Control	BGI500_1
MDL001.09C2152015L.RNA.C08.20211222.rna.1	Control	Next550_1
M117HM0533.R.rna.1	Control	BGI500_1
CF234U0105.8D6AXX1ZXF1.N002J019.rna.1	Case	BGI500_1
M117TA0317.R.rna.1	Case	BGI500_1
M117EJ0578.R.rna.1	Control	BGI500_1
CF224N0113.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
X22JS062980.rna.1	Case	Next550_2
X22JS062440.rna.1	Control	Next550_2
ZZ22JS06247101.AD.1R.1L.UDB.133.rna.1	Case	BGI500_1
ZDH230402311R.rna.1	Control	Next550_2
S117RN0150.R.rna.1	Case	BGI500_1
S217RN0396.R.rna.1	Case	BGI500_1
MDL001.05C2115035L.RNA.C28.20210409.rna.1	Control	Next550_1
X22JS062899.rna.1	Control	Next550_2
ZDH230100321R.rna.1	Case	Next550_2
ZDH221200131R.rna.1	Case	Next550_2
X22JS06294501.rna.1	Control	Next550_2
A210525PARN012.rna.1	Control	Next550_2
X22JS116933.rna.1	Control	Next550_2
M117HM0800.R.rna.1	Control	BGI500_1
MDL001.09C2235044L.RNA.D02.20220824.rna.1	Control	Next550_1
M117LA0287.R.rna.1	Control	BGI500_1
M117LA0148.R.rna.1	Control	BGI500_1
CF235M0214.8D6AXX1ZXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q24C22520012L.RNA.D19.20221224.rna.1	Case	Next550_1
ZZ22JS062855.AD.1R.1L.UDB.191.rna.1	Case	BGI500_1
M117RT0430.R.rna.1	Control	BGI500_1
ZZ22JS052085.AD.1R.1L.UDB.164.rna.1	Case	BGI500_1
CF23060050.8D6BXX1NXF1.N002JQ84.rna.1	Control	BGI500_1
ZDH23061900112R.rna.1	Control	Next550_2
ZZMAX91082.1R.1L.UDB.110.rna.1	Case	BGI500_1
M117RE0259.R.rna.1	Control	BGI500_1
MDL001.09C2148029L.RNA.D03.20211124.rna.1	Control	Next550_1
X22JS034543.rna.1	Control	Next550_2
MDL001.05C2125093L.RNA.A11.20210620.rna.1	Control	Next550_1
CF23550199.8D6AXX1ZXF1.N002KX2P.rna.1	Case	BGI500_1
ZDH230402671R.rna.1	Control	Next550_2
MDL001.09C2126001L.RNA.A11.20210621.rna.1	Control	Next550_1
M117HM0547.R.rna.1	Control	BGI500_1
ZZMAX127746.1R.1L.UDB.125.rna.1	Case	BGI500_1
CF225N0098.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
CF24360382.8D6BXX2C1F1.N002JQ84.rna.1	Control	BGI500_1
MDL001.1C2031279L.RNA.A24.20200802.rna.1	Control	Next550_1
ZDH23062600152R.rna.1	Control	Next550_2
MDL001.09C2207094L.RNA.D12.20220213.rna.1	Control	Next550_1
ZDH23100500131R.rna.1	Control	Next550_2
CF23AS0217.8D6BXX1QXF1.N002JQ84.rna.1	Control	BGI500_1
CF227S0280.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS117003.rna.1	Control	Next550_2
CF221M0044.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
CF236V0321.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.24C2210032L.RNA.B09.20220304.rna.1	Control	Next550_1
CF217M0006.8A2AXX1BXF1.N002J019.rna.1	Control	BGI500_1
MDL001.09C2204080L.RNA.B06.20220123.rna.1	Control	Next550_1
X22JS117106.rna.1	Control	Next550_2
N217RE0285.R.rna.1	Case	BGI500_1
MDL001.09C2150062L.RNA.A03.20211209.rna.1	Control	Next550_1
CF235M0129.8D6AXX1ZXF1.N002J019.rna.1	Case	BGI500_1
ZDH23101600021R.rna.1	Control	Next550_2
