	SRR9869767.rna.1	SRR9869791.rna.1	SRR9869809.rna.1	SRR9869761.rna.1	SRR9869792.rna.1	SRR9869774.rna.1	SRR9869759.rna.1	SRR9869806.rna.1	SRR9869763.rna.1	SRR9869822.rna.1	SRR9869766.rna.1	SRR9869786.rna.1	SRR9869823.rna.1	SRR9869764.rna.1	SRR9869816.rna.1	SRR9869787.rna.1	SRR9869810.rna.1	SRR9869807.rna.1	SRR9869800.rna.1	SRR9869780.rna.1	SRR9869796.rna.1	SRR9869811.rna.1	SRR9869818.rna.1	SRR9869826.rna.1	SRR9869799.rna.1	SRR9869795.rna.1	SRR9869785.rna.1	SRR9869789.rna.1	SRR9869776.rna.1	SRR9869771.rna.1	SRR9869825.rna.1	SRR9869817.rna.1	SRR9869782.rna.1	SRR9869821.rna.1	SRR9869804.rna.1	SRR9869757.rna.1	SRR9869802.rna.1	SRR9869772.rna.1	SRR9869794.rna.1	SRR9869783.rna.1	SRR9869775.rna.1	SRR9869812.rna.1	SRR9869808.rna.1	SRR9869801.rna.1	SRR9869784.rna.1	SRR9869790.rna.1	SRR9869793.rna.1	SRR9869762.rna.1	SRR9869769.rna.1	SRR9869815.rna.1	SRR9869760.rna.1	SRR9869803.rna.1	SRR9869781.rna.1	SRR9869778.rna.1	SRR9869798.rna.1	SRR9869765.rna.1	SRR9869819.rna.1	SRR9869813.rna.1	SRR9869788.rna.1	SRR9869779.rna.1	SRR9869797.rna.1	SRR9869820.rna.1	SRR9869814.rna.1	SRR9869773.rna.1	SRR9869770.rna.1	SRR9869777.rna.1	SRR9869768.rna.1	SRR9869805.rna.1	SRR9869824.rna.1	SRR9869758.rna.1
SRR9869766.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4425783048	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869786.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4398856380	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869823.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4906065553	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4988286569	0.5000000000	0.5000000000	0.4954532871	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4998587194	0.5000000000	0.5000000000
SRR9869764.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869816.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4799548306	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869787.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4999771241	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4936172578	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869810.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869807.rna.1	0.5000000000	0.5000000000	0.4467568649	0.3938440001	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4264703839	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4720511867	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4999128025	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869800.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4975426197	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4972114278	0.5000000000	0.5000000000	0.5000000000	0.5000000000
SRR9869780.rna.1	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.2304751206	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.4997634036	0.5000000000
