Mix1	Mix2	MixNum	Common	Prj
100	13	5	1	P1_COVID
100	74	5	1	P1_COVID
100	41	5	0	P1_COVID
100	47	5	0	P1_COVID
100	98	5	0	P1_COVID
100	88	5	1	P1_COVID
100	15	5	1	P1_COVID
100	27	5	1	P1_COVID
100	21	5	0	P1_COVID
100	58	5	1	P1_COVID
100	30	5	0	P1_COVID
100	19	5	2	P1_COVID
100	73	5	0	P1_COVID
100	28	5	1	P1_COVID
100	51	5	1	P1_COVID
100	14	5	0	P1_COVID
100	62	5	0	P1_COVID
100	57	5	1	P1_COVID
100	22	5	0	P1_COVID
100	68	5	1	P1_COVID
100	33	5	1	P1_COVID
100	61	5	0	P1_COVID
100	70	5	1	P1_COVID
100	1	5	0	P1_COVID
100	16	5	3	P1_COVID
100	52	5	1	P1_COVID
100	67	5	1	P1_COVID
100	34	5	0	P1_COVID
100	82	5	1	P1_COVID
100	92	5	1	P1_COVID
100	39	5	1	P1_COVID
100	10	5	0	P1_COVID
100	7	5	2	P1_COVID
100	76	5	0	P1_COVID
100	35	5	0	P1_COVID
100	42	5	1	P1_COVID
100	89	5	2	P1_COVID
100	99	5	1	P1_COVID
100	77	5	1	P1_COVID
100	71	5	2	P1_COVID
100	60	5	1	P1_COVID
100	95	5	2	P1_COVID
100	44	5	1	P1_COVID
100	23	5	0	P1_COVID
100	85	5	2	P1_COVID
100	49	5	0	P1_COVID
100	78	5	1	P1_COVID
100	53	5	1	P1_COVID
100	32	5	0	P1_COVID
100	84	5	0	P1_COVID
100	94	5	0	P1_COVID
100	45	5	0	P1_COVID
100	25	5	0	P1_COVID
100	83	5	1	P1_COVID
100	93	5	0	P1_COVID
100	17	5	0	P1_COVID
100	66	5	0	P1_COVID
100	6	5	1	P1_COVID
100	11	5	1	P1_COVID
100	54	5	1	P1_COVID
100	29	5	1	P1_COVID
100	43	5	0	P1_COVID
100	18	5	1	P1_COVID
100	24	5	1	P1_COVID
100	59	5	1	P1_COVID
100	55	5	0	P1_COVID
40	64	5	1	P1_COVID
40	69	5	0	P1_COVID
40	80	5	0	P1_COVID
40	2	5	0	P1_COVID
40	26	5	0	P1_COVID
40	90	5	1	P1_COVID
40	65	5	2	P1_COVID
40	72	5	1	P1_COVID
40	46	5	0	P1_COVID
40	4	5	0	P1_COVID
40	38	5	0	P1_COVID
40	50	5	1	P1_COVID
40	63	5	1	P1_COVID
40	31	5	1	P1_COVID
40	86	5	1	P1_COVID
40	9	5	2	P1_COVID
40	8	5	0	P1_COVID
40	20	5	0	P1_COVID
40	96	5	0	P1_COVID
40	37	5	1	P1_COVID
40	36	5	0	P1_COVID
40	75	5	0	P1_COVID
40	3	5	2	P1_COVID
40	91	5	0	P1_COVID
40	81	5	0	P1_COVID
40	97	5	0	P1_COVID
40	87	5	0	P1_COVID
40	79	5	0	P1_COVID
40	48	5	0	P1_COVID
40	13	5	0	P1_COVID
40	74	5	0	P1_COVID
40	41	5	1	P1_COVID
40	47	5	1	P1_COVID
40	98	5	0	P1_COVID
40	88	5	2	P1_COVID
40	15	5	1	P1_COVID
40	27	5	2	P1_COVID
40	21	5	1	P1_COVID
40	58	5	2	P1_COVID
40	30	5	0	P1_COVID
40	19	5	1	P1_COVID
40	73	5	1	P1_COVID
40	28	5	2	P1_COVID
40	51	5	0	P1_COVID
40	14	5	0	P1_COVID
40	62	5	0	P1_COVID
40	57	5	0	P1_COVID
40	22	5	1	P1_COVID
40	68	5	0	P1_COVID
40	33	5	1	P1_COVID
40	61	5	0	P1_COVID
40	70	5	0	P1_COVID
40	1	5	0	P1_COVID
40	16	5	1	P1_COVID
40	52	5	1	P1_COVID
40	67	5	3	P1_COVID
40	34	5	0	P1_COVID
40	82	5	1	P1_COVID
40	92	5	0	P1_COVID
40	39	5	0	P1_COVID
40	10	5	1	P1_COVID
40	7	5	2	P1_COVID
40	76	5	1	P1_COVID
40	35	5	0	P1_COVID
40	42	5	1	P1_COVID
40	89	5	1	P1_COVID
40	99	5	1	P1_COVID
40	77	5	0	P1_COVID
40	71	5	1	P1_COVID
40	60	5	0	P1_COVID
40	95	5	1	P1_COVID
40	44	5	1	P1_COVID
40	23	5	0	P1_COVID
40	85	5	2	P1_COVID
40	49	5	1	P1_COVID
40	78	5	0	P1_COVID
40	53	5	0	P1_COVID
40	32	5	1	P1_COVID
40	84	5	0	P1_COVID
40	94	5	1	P1_COVID
40	45	5	0	P1_COVID
40	25	5	1	P1_COVID
40	83	5	1	P1_COVID
40	93	5	0	P1_COVID
40	17	5	2	P1_COVID
40	66	5	1	P1_COVID
40	6	5	0	P1_COVID
40	11	5	2	P1_COVID
40	54	5	0	P1_COVID
40	29	5	0	P1_COVID
40	43	5	0	P1_COVID
40	18	5	1	P1_COVID
40	24	5	1	P1_COVID
40	59	5	0	P1_COVID
40	55	5	0	P1_COVID
64	69	5	0	P1_COVID
64	80	5	1	P1_COVID
64	2	5	1	P1_COVID
64	26	5	0	P1_COVID
64	90	5	0	P1_COVID
64	65	5	0	P1_COVID
64	72	5	0	P1_COVID
64	46	5	0	P1_COVID
64	4	5	1	P1_COVID
64	38	5	0	P1_COVID
64	50	5	0	P1_COVID
64	63	5	2	P1_COVID
64	31	5	0	P1_COVID
64	86	5	0	P1_COVID
64	9	5	1	P1_COVID
64	8	5	0	P1_COVID
64	20	5	0	P1_COVID
64	96	5	0	P1_COVID
64	37	5	0	P1_COVID
64	36	5	0	P1_COVID
64	75	5	1	P1_COVID
64	3	5	0	P1_COVID
64	91	5	0	P1_COVID
64	81	5	1	P1_COVID
64	97	5	1	P1_COVID
64	87	5	1	P1_COVID
64	79	5	0	P1_COVID
64	48	5	0	P1_COVID
64	13	5	1	P1_COVID
64	74	5	0	P1_COVID
64	41	5	0	P1_COVID
64	47	5	1	P1_COVID
64	98	5	1	P1_COVID
64	88	5	1	P1_COVID
64	15	5	0	P1_COVID
64	27	5	0	P1_COVID
64	21	5	1	P1_COVID
64	58	5	1	P1_COVID
64	30	5	1	P1_COVID
64	19	5	0	P1_COVID
64	73	5	1	P1_COVID
64	28	5	2	P1_COVID
64	51	5	0	P1_COVID
64	14	5	1	P1_COVID
64	62	5	0	P1_COVID
64	57	5	1	P1_COVID
64	22	5	1	P1_COVID
64	68	5	0	P1_COVID
64	33	5	0	P1_COVID
64	61	5	0	P1_COVID
64	70	5	1	P1_COVID
64	1	5	0	P1_COVID
64	16	5	0	P1_COVID
64	52	5	0	P1_COVID
64	67	5	2	P1_COVID
64	34	5	1	P1_COVID
64	82	5	0	P1_COVID
64	92	5	0	P1_COVID
64	39	5	1	P1_COVID
64	10	5	1	P1_COVID
64	7	5	1	P1_COVID
64	76	5	0	P1_COVID
64	35	5	2	P1_COVID
64	42	5	2	P1_COVID
64	89	5	1	P1_COVID
64	99	5	0	P1_COVID
64	77	5	0	P1_COVID
64	71	5	0	P1_COVID
64	60	5	1	P1_COVID
64	95	5	1	P1_COVID
64	44	5	1	P1_COVID
64	23	5	1	P1_COVID
64	85	5	0	P1_COVID
64	49	5	0	P1_COVID
64	78	5	0	P1_COVID
64	53	5	0	P1_COVID
64	32	5	0	P1_COVID
64	84	5	1	P1_COVID
64	94	5	0	P1_COVID
64	45	5	0	P1_COVID
64	25	5	1	P1_COVID
64	83	5	1	P1_COVID
64	93	5	1	P1_COVID
64	17	5	0	P1_COVID
64	66	5	1	P1_COVID
64	6	5	0	P1_COVID
64	11	5	1	P1_COVID
64	54	5	0	P1_COVID
64	29	5	1	P1_COVID
64	43	5	0	P1_COVID
64	18	5	0	P1_COVID
64	24	5	1	P1_COVID
64	59	5	0	P1_COVID
64	55	5	0	P1_COVID
69	80	5	0	P1_COVID
69	2	5	0	P1_COVID
69	26	5	0	P1_COVID
69	90	5	0	P1_COVID
69	65	5	1	P1_COVID
69	72	5	0	P1_COVID
69	46	5	1	P1_COVID
69	4	5	1	P1_COVID
69	38	5	0	P1_COVID
69	50	5	1	P1_COVID
69	63	5	0	P1_COVID
69	31	5	0	P1_COVID
69	86	5	1	P1_COVID
69	9	5	0	P1_COVID
69	8	5	0	P1_COVID
69	20	5	0	P1_COVID
69	96	5	1	P1_COVID
69	37	5	0	P1_COVID
69	36	5	0	P1_COVID
69	75	5	0	P1_COVID
69	3	5	0	P1_COVID
69	91	5	0	P1_COVID
69	81	5	0	P1_COVID
69	97	5	0	P1_COVID
69	87	5	0	P1_COVID
69	79	5	2	P1_COVID
69	48	5	0	P1_COVID
69	13	5	0	P1_COVID
69	74	5	2	P1_COVID
69	41	5	0	P1_COVID
69	47	5	0	P1_COVID
69	98	5	1	P1_COVID
69	88	5	0	P1_COVID
69	15	5	3	P1_COVID
69	27	5	1	P1_COVID
69	21	5	0	P1_COVID
69	58	5	0	P1_COVID
69	30	5	1	P1_COVID
69	19	5	1	P1_COVID
69	73	5	1	P1_COVID
69	28	5	0	P1_COVID
69	51	5	1	P1_COVID
69	14	5	2	P1_COVID
69	62	5	1	P1_COVID
69	57	5	1	P1_COVID
69	22	5	0	P1_COVID
69	68	5	1	P1_COVID
69	33	5	0	P1_COVID
69	61	5	1	P1_COVID
69	70	5	0	P1_COVID
69	1	5	0	P1_COVID
69	16	5	0	P1_COVID
69	52	5	2	P1_COVID
69	67	5	0	P1_COVID
69	34	5	1	P1_COVID
69	82	5	1	P1_COVID
69	92	5	1	P1_COVID
69	39	5	3	P1_COVID
69	10	5	0	P1_COVID
69	7	5	1	P1_COVID
69	76	5	0	P1_COVID
69	35	5	2	P1_COVID
69	42	5	0	P1_COVID
69	89	5	1	P1_COVID
69	99	5	0	P1_COVID
69	77	5	3	P1_COVID
69	71	5	0	P1_COVID
69	60	5	1	P1_COVID
69	95	5	0	P1_COVID
69	44	5	1	P1_COVID
69	23	5	1	P1_COVID
69	85	5	1	P1_COVID
69	49	5	0	P1_COVID
69	78	5	1	P1_COVID
69	53	5	1	P1_COVID
69	32	5	0	P1_COVID
69	84	5	0	P1_COVID
69	94	5	1	P1_COVID
69	45	5	2	P1_COVID
69	25	5	0	P1_COVID
69	83	5	0	P1_COVID
69	93	5	0	P1_COVID
69	17	5	1	P1_COVID
69	66	5	1	P1_COVID
69	6	5	1	P1_COVID
69	11	5	1	P1_COVID
69	54	5	0	P1_COVID
69	29	5	1	P1_COVID
69	43	5	0	P1_COVID
69	18	5	0	P1_COVID
69	24	5	0	P1_COVID
69	59	5	0	P1_COVID
69	55	5	0	P1_COVID
80	2	5	1	P1_COVID
80	26	5	2	P1_COVID
80	90	5	0	P1_COVID
80	65	5	1	P1_COVID
80	72	5	0	P1_COVID
80	46	5	0	P1_COVID
80	4	5	1	P1_COVID
80	38	5	2	P1_COVID
80	50	5	0	P1_COVID
80	63	5	0	P1_COVID
80	31	5	1	P1_COVID
80	86	5	0	P1_COVID
80	9	5	0	P1_COVID
80	8	5	0	P1_COVID
80	20	5	0	P1_COVID
80	96	5	0	P1_COVID
80	37	5	0	P1_COVID
80	36	5	1	P1_COVID
80	75	5	0	P1_COVID
80	3	5	1	P1_COVID
80	91	5	1	P1_COVID
80	81	5	0	P1_COVID
80	97	5	1	P1_COVID
80	87	5	2	P1_COVID
80	79	5	0	P1_COVID
80	48	5	2	P1_COVID
80	13	5	2	P1_COVID
80	74	5	1	P1_COVID
80	41	5	1	P1_COVID
80	47	5	0	P1_COVID
80	98	5	2	P1_COVID
80	88	5	0	P1_COVID
80	15	5	0	P1_COVID
80	27	5	0	P1_COVID
80	21	5	0	P1_COVID
80	58	5	0	P1_COVID
80	30	5	0	P1_COVID
80	19	5	0	P1_COVID
80	73	5	1	P1_COVID
80	28	5	0	P1_COVID
80	51	5	2	P1_COVID
80	14	5	0	P1_COVID
80	62	5	1	P1_COVID
80	57	5	1	P1_COVID
80	22	5	1	P1_COVID
80	68	5	1	P1_COVID
80	33	5	0	P1_COVID
80	61	5	2	P1_COVID
80	70	5	0	P1_COVID
80	1	5	0	P1_COVID
80	16	5	0	P1_COVID
80	52	5	0	P1_COVID
80	67	5	0	P1_COVID
80	34	5	0	P1_COVID
80	82	5	1	P1_COVID
80	92	5	0	P1_COVID
80	39	5	0	P1_COVID
80	10	5	2	P1_COVID
80	7	5	0	P1_COVID
80	76	5	0	P1_COVID
80	35	5	1	P1_COVID
80	42	5	0	P1_COVID
80	89	5	0	P1_COVID
80	99	5	1	P1_COVID
80	77	5	1	P1_COVID
80	71	5	1	P1_COVID
80	60	5	0	P1_COVID
80	95	5	1	P1_COVID
80	44	5	0	P1_COVID
80	23	5	1	P1_COVID
80	85	5	1	P1_COVID
80	49	5	1	P1_COVID
80	78	5	1	P1_COVID
80	53	5	1	P1_COVID
80	32	5	0	P1_COVID
80	84	5	2	P1_COVID
80	94	5	0	P1_COVID
80	45	5	1	P1_COVID
80	25	5	2	P1_COVID
80	83	5	0	P1_COVID
80	93	5	2	P1_COVID
80	17	5	0	P1_COVID
80	66	5	0	P1_COVID
80	6	5	1	P1_COVID
80	11	5	1	P1_COVID
80	54	5	0	P1_COVID
80	29	5	0	P1_COVID
80	43	5	0	P1_COVID
80	18	5	0	P1_COVID
80	24	5	1	P1_COVID
80	59	5	1	P1_COVID
80	55	5	1	P1_COVID
2	26	5	0	P1_COVID
2	90	5	0	P1_COVID
2	65	5	1	P1_COVID
2	72	5	0	P1_COVID
2	46	5	0	P1_COVID
2	4	5	1	P1_COVID
2	38	5	0	P1_COVID
2	50	5	1	P1_COVID
2	63	5	0	P1_COVID
2	31	5	1	P1_COVID
2	86	5	0	P1_COVID
2	9	5	1	P1_COVID
2	8	5	2	P1_COVID
2	20	5	0	P1_COVID
2	96	5	1	P1_COVID
2	37	5	1	P1_COVID
2	36	5	1	P1_COVID
2	75	5	0	P1_COVID
2	3	5	0	P1_COVID
2	91	5	1	P1_COVID
2	81	5	0	P1_COVID
2	97	5	2	P1_COVID
2	87	5	1	P1_COVID
2	79	5	0	P1_COVID
2	48	5	1	P1_COVID
2	13	5	3	P1_COVID
2	74	5	0	P1_COVID
2	41	5	0	P1_COVID
2	47	5	0	P1_COVID
2	98	5	0	P1_COVID
2	88	5	0	P1_COVID
2	15	5	0	P1_COVID
2	27	5	0	P1_COVID
2	21	5	2	P1_COVID
2	58	5	0	P1_COVID
2	30	5	1	P1_COVID
2	19	5	1	P1_COVID
2	73	5	0	P1_COVID
2	28	5	0	P1_COVID
2	51	5	0	P1_COVID
2	14	5	1	P1_COVID
2	62	5	1	P1_COVID
2	57	5	2	P1_COVID
2	22	5	1	P1_COVID
2	68	5	0	P1_COVID
2	33	5	0	P1_COVID
2	61	5	0	P1_COVID
2	70	5	0	P1_COVID
2	1	5	1	P1_COVID
2	16	5	0	P1_COVID
2	52	5	1	P1_COVID
2	67	5	0	P1_COVID
2	34	5	1	P1_COVID
2	82	5	0	P1_COVID
2	92	5	0	P1_COVID
2	39	5	0	P1_COVID
2	10	5	0	P1_COVID
2	7	5	0	P1_COVID
2	76	5	0	P1_COVID
2	35	5	1	P1_COVID
2	42	5	0	P1_COVID
2	89	5	1	P1_COVID
2	99	5	0	P1_COVID
2	77	5	0	P1_COVID
2	71	5	0	P1_COVID
2	60	5	0	P1_COVID
2	95	5	2	P1_COVID
2	44	5	1	P1_COVID
2	23	5	0	P1_COVID
2	85	5	0	P1_COVID
2	49	5	0	P1_COVID
2	78	5	1	P1_COVID
2	53	5	0	P1_COVID
2	32	5	2	P1_COVID
2	84	5	1	P1_COVID
2	94	5	0	P1_COVID
2	45	5	1	P1_COVID
2	25	5	1	P1_COVID
2	83	5	0	P1_COVID
2	93	5	2	P1_COVID
2	17	5	0	P1_COVID
2	66	5	0	P1_COVID
2	6	5	1	P1_COVID
2	11	5	1	P1_COVID
2	54	5	1	P1_COVID
2	29	5	1	P1_COVID
2	43	5	3	P1_COVID
2	18	5	0	P1_COVID
2	24	5	1	P1_COVID
2	59	5	0	P1_COVID
2	55	5	0	P1_COVID
26	90	5	0	P1_COVID
26	65	5	0	P1_COVID
26	72	5	1	P1_COVID
26	46	5	0	P1_COVID
26	4	5	0	P1_COVID
26	38	5	1	P1_COVID
26	50	5	0	P1_COVID
26	63	5	1	P1_COVID
26	31	5	1	P1_COVID
26	86	5	0	P1_COVID
26	9	5	1	P1_COVID
26	8	5	1	P1_COVID
26	20	5	1	P1_COVID
26	96	5	0	P1_COVID
26	37	5	0	P1_COVID
26	36	5	2	P1_COVID
26	75	5	0	P1_COVID
26	3	5	0	P1_COVID
26	91	5	1	P1_COVID
26	81	5	1	P1_COVID
26	97	5	0	P1_COVID
26	87	5	1	P1_COVID
26	79	5	0	P1_COVID
26	48	5	2	P1_COVID
26	13	5	0	P1_COVID
26	74	5	1	P1_COVID
26	41	5	1	P1_COVID
26	47	5	0	P1_COVID
26	98	5	1	P1_COVID
26	88	5	2	P1_COVID
26	15	5	0	P1_COVID
26	27	5	0	P1_COVID
26	21	5	0	P1_COVID
26	58	5	2	P1_COVID
26	30	5	0	P1_COVID
26	19	5	0	P1_COVID
26	73	5	0	P1_COVID
26	28	5	0	P1_COVID
26	51	5	2	P1_COVID
26	14	5	1	P1_COVID
26	62	5	1	P1_COVID
26	57	5	1	P1_COVID
26	22	5	0	P1_COVID
26	68	5	1	P1_COVID
26	33	5	2	P1_COVID
26	61	5	1	P1_COVID
26	70	5	0	P1_COVID
26	1	5	1	P1_COVID
26	16	5	1	P1_COVID
26	52	5	0	P1_COVID
26	67	5	0	P1_COVID
26	34	5	0	P1_COVID
26	82	5	0	P1_COVID
26	92	5	1	P1_COVID
26	39	5	1	P1_COVID
26	10	5	1	P1_COVID
26	7	5	1	P1_COVID
26	76	5	0	P1_COVID
26	35	5	0	P1_COVID
26	42	5	0	P1_COVID
26	89	5	0	P1_COVID
26	99	5	2	P1_COVID
26	77	5	1	P1_COVID
26	71	5	1	P1_COVID
26	60	5	1	P1_COVID
26	95	5	0	P1_COVID
26	44	5	0	P1_COVID
26	23	5	2	P1_COVID
26	85	5	0	P1_COVID
26	49	5	0	P1_COVID
26	78	5	0	P1_COVID
26	53	5	1	P1_COVID
