sample	project	Mixnumber	frag	cov	signal
ERR6913221	SARS-Cov-2 study 2	1	1	99.8729	97.8194
ERR6913220	SARS-Cov-2 study 2	1	27	85.3593	85.5250
ERR6913219	SARS-Cov-2 study 2	1	1	99.8562	5.8211
ERR6913218	SARS-Cov-2 study 2	1	18	94.0039	6.8277
ERR6913217	SARS-Cov-2 study 2	1	2	99.8595	67.2183
ERR6913216	SARS-Cov-2 study 2	1	1	99.8462	90.0575
ERR6913215	SARS-Cov-2 study 2	1	5	99.4750	34.9736
ERR6913214	SARS-Cov-2 study 2	1	8	99.5385	58.7336
ERR6913213	SARS-Cov-2 study 2	1	7	8.8386	73.5807
ERR6913212	SARS-Cov-2 study 2	1	1	0.7993	5.0927
ERR6913211	SARS-Cov-2 study 2	1	22	93.7130	84.1815
ERR6913210	SARS-Cov-2 study 2	1	2	99.8529	80.2509
ERR6913209	SARS-Cov-2 study 2	1	2	1.5517	5.0916
ERR6913208	SARS-Cov-2 study 2	1	21	91.9573	86.7422
ERR6913207	SARS-Cov-2 study 2	1	0	0	0
ERR6913206	SARS-Cov-2 study 2	1	1	99.8595	41.1116
ERR6913205	SARS-Cov-2 study 2	1	2	2.7723	0.9698
ERR6913204	SARS-Cov-2 study 2	1	6	98.4918	75.0318
ERR6913203	SARS-Cov-2 study 2	1	16	95.0841	79.2853
ERR6913202	SARS-Cov-2 study 2	1	1	1.0300	0.0054
ERR6913201	SARS-Cov-2 study 2	1	1	99.8729	65.2316
ERR6913200	SARS-Cov-2 study 2	1	1	99.8495	6.1921
ERR6913199	SARS-Cov-2 study 2	1	1	99.8495	61.9949
ERR6913198	SARS-Cov-2 study 2	1	2	1.4346	14.6767
ERR6913197	SARS-Cov-2 study 2	1	1	99.8629	0.8304
ERR6913153	SARS-Cov-2 study 2	1	0	0	0
ERR6913152	SARS-Cov-2 study 2	1	0	0	0
ERR6913151	SARS-Cov-2 study 2	1	0	0	0
ERR6913150	SARS-Cov-2 study 2	1	0	0	0
ERR6913149	SARS-Cov-2 study 2	1	0	0	0
ERR6913148	SARS-Cov-2 study 2	1	0	0	0
ERR6913147	SARS-Cov-2 study 2	1	0	0	0
ERR6913146	SARS-Cov-2 study 2	1	0	0	0
ERR6913145	SARS-Cov-2 study 2	1	0	0	0
ERR6913144	SARS-Cov-2 study 2	1	0	0	0
ERR6913143	SARS-Cov-2 study 2	1	0	0	0
ERR6913142	SARS-Cov-2 study 2	1	0	0	0
ERR6913141	SARS-Cov-2 study 2	1	0	0	0
ERR6913140	SARS-Cov-2 study 2	1	0	0	0
ERR6913139	SARS-Cov-2 study 2	1	0	0	0
ERR6913138	SARS-Cov-2 study 2	1	0	0	0
ERR6913137	SARS-Cov-2 study 2	1	0	0	0
ERR6913136	SARS-Cov-2 study 2	1	0	0	0
ERR6913135	SARS-Cov-2 study 2	1	0	0	0
ERR6913134	SARS-Cov-2 study 2	1	0	0	0
ERR6913133	SARS-Cov-2 study 2	1	0	0	0
ERR6913132	SARS-Cov-2 study 2	1	0	0	0
ERR6913131	SARS-Cov-2 study 2	1	0	0	0
ERR6913130	SARS-Cov-2 study 2	1	0	0	0
ERR6913129	SARS-Cov-2 study 2	1	0	0	0
ERR6913128	SARS-Cov-2 study 2	1	0	0	0
ERR6913127	SARS-Cov-2 study 2	1	0	0	0
ERR6913126	SARS-Cov-2 study 2	1	2	2.8392	1.0938
ERR6913125	SARS-Cov-2 study 2	1	0	0	0
ERR6913124	SARS-Cov-2 study 2	1	0	0	0
ERR6913123	SARS-Cov-2 study 2	1	0	0	0
ERR6913122	SARS-Cov-2 study 2	1	2	3.0833	0.0553
ERR6913121	SARS-Cov-2 study 2	1	5	4.2939	1.6013
ERR6913120	SARS-Cov-2 study 2	1	0	0	0
ERR6913119	SARS-Cov-2 study 2	1	0	0	0
ERR6913118	SARS-Cov-2 study 2	1	0	0	0
ERR6913117	SARS-Cov-2 study 2	1	0	0	0
ERR6913116	SARS-Cov-2 study 2	1	0	0	0
ERR6913115	SARS-Cov-2 study 2	1	0	0	0
ERR6913114	SARS-Cov-2 study 2	1	0	0	0
ERR6913113	SARS-Cov-2 study 2	1	0	0	0
ERR6913112	SARS-Cov-2 study 2	1	0	0	0
ERR6913111	SARS-Cov-2 study 2	1	0	0	0
ERR6913110	SARS-Cov-2 study 2	1	0	0	0
ERR6913109	SARS-Cov-2 study 2	1	0	0	0
ERR6913108	SARS-Cov-2 study 2	1	0	0	0
ERR6913107	SARS-Cov-2 study 2	1	0	0	0
ERR6913106	SARS-Cov-2 study 2	1	0	0	0
