sample	project	Mixnumber	frag	cov	signal
SRR22212076	HIV	1	471	95.7328	17.1530406442278
SRR22211921	HIV	1	0	0	0
SRR22211902	HIV	1	0	0	0
SRR22212007	HIV	1	13	38.0022	0.102046489101378
SRR22211838	HIV	1	5	82.5490	0.329486679503063
SRR22211879	HIV	1	28	98.7486	1.48259326871159
SRR22211962	HIV	1	1	3.9322	0.0312515272979337
SRR22212067	HIV	1	2	3.7641	0.0629194816212371
SRR22211819	HIV	1	0	0	0
SRR22212052	HIV	1	293	99.9777	20.9633065706135
SRR22212010	HIV	1	7	28.9526	0.0608190499046748
SRR22212075	HIV	1	45	98.9288	1.6398183987576
SRR22212073	HIV	1	153	100.0000	10.7918390508958
SRR22211957	HIV	1	64	96.6587	4.04265260338712
SRR22212015	HIV	1	5	15.4658	0.0979439643508723
SRR22211842	HIV	1	80	94.4311	1.76770679349573
SRR22212070	HIV	1	0	0	0
SRR22211834	HIV	1	3	17.8668	0.0289349987002748
SRR22212013	HIV	1	13	63.0180	0.170720298873476
SRR22211916	HIV	1	40	85.9657	0.467898691595807
SRR22211976	HIV	1	208	98.9774	12.7251973485161
SRR22211903	HIV	1	12	45.7440	0.141253653499709
SRR22211828	HIV	1	9	61.5882	0.121226054645283
SRR22211905	HIV	1	0	0	0
SRR22212066	HIV	1	11	29.7922	0.198286085530726
SRR22211900	HIV	1	0	0	0
SRR22212049	HIV	1	27	95.4535	6.92751343557478
SRR22211963	HIV	1	0	0	0
SRR22211965	HIV	1	47	95.5117	0.936174585521813
SRR22211931	HIV	1	8	19.1031	0.207885632571964
SRR22211859	HIV	1	93	99.1263	0.403492023308506
SRR22212006	HIV	1	0	0	0
SRR22211960	HIV	1	0	0	0
SRR22211917	HIV	1	1	4.5839	0.0118207331045685
SRR22211843	HIV	1	1	6.4813	0.0682795153913757
SRR22212012	HIV	1	39	99.7110	2.39586272717937
SRR22211845	HIV	1	0	0	0
SRR22212050	HIV	1	422	99.9546	14.4175997427516
SRR22212053	HIV	1	0	0	0
SRR22211977	HIV	1	4	11.3965	0.157286814566359
SRR22212055	HIV	1	0	0	0
SRR22212072	HIV	1	318	99.9111	22.9538300104932
SRR22211840	HIV	1	0	0	0
SRR22211956	HIV	1	38	95.8627	13.869968481039
SRR22211824	HIV	1	9	70.7059	0.207713710064281
SRR22212003	HIV	1	12	26.9937	0.122452689237508
SRR22212005	HIV	1	0	0	0
SRR22211966	HIV	1	47	98.5363	2.92377921675572
SRR22212000	HIV	1	1	3.6739	0.0232819208499097
SRR22211881	HIV	1	0	0	0
SRR22211949	HIV	1	0	0	0
SRR22212063	HIV	1	0	0	0
SRR22212065	HIV	1	0	0	0
SRR22212031	HIV	1	30	100.0000	1.99050356480894
SRR22211906	HIV	1	15	89.7013	0.365958454928228
SRR22212060	HIV	1	68	98.4807	17.6884166322018
SRR22211869	HIV	1	80	99.5616	5.58977185351913
SRR22212017	HIV	1	0	0	0
SRR22211891	HIV	1	7	26.7775	0.247010646481753
SRR22211912	HIV	1	0	0	0
SRR22211950	HIV	1	950	100.0000	9.01315188314501
SRR22212077	HIV	1	0	0	0
SRR22211953	HIV	1	339	99.1111	8.33228089799797
SRR22211955	HIV	1	0	0	0
SRR22211972	HIV	1	166	99.5759	25.2480999261486
SRR22212056	HIV	1	83	96.8022	1.38880098014321
SRR22211846	HIV	1	0	0	0
SRR22212058	HIV	1	0	0	0
SRR22211964	HIV	1	1	3.6495	0.0128286474098267
SRR22211997	HIV	1	24	64.6077	0.718778816568502
SRR22211848	HIV	1	24	80.8665	0.52393687287712
SRR22211904	HIV	1	17	51.9700	0.0697801806172553
SRR22212029	HIV	1	0	0	0
SRR22211820	HIV	1	0	0	0
SRR22211823	HIV	1	43	94.6406	0.691131349704123
SRR22211908	HIV	1	14	74.9216	0.637816482786172
SRR22211825	HIV	1	0	0	0
SRR22211844	HIV	1	0	0	0
SRR22211832	HIV	1	0	0	0
SRR22211987	HIV	1	17	91.7967	0.745918318646656
SRR22211968	HIV	1	79	90.8050	4.00915886545244
SRR22212054	HIV	1	351	100.0000	22.0683019625749
SRR22211992	HIV	1	0	0	0
SRR22211958	HIV	1	31	99.9665	5.99832169554941
SRR22212064	HIV	1	0	0	0
SRR22211871	HIV	1	399	99.9887	1.58497244433294
SRR22212004	HIV	1	10	66.2009	0.236857689889025
SRR22211929	HIV	1	2	99.7255	0.896850592088687
SRR22212008	HIV	1	1	0.7253	0.00465258782104148
SRR22211837	HIV	1	2	10.1373	0.0176671927199688
SRR22211826	HIV	1	0	0	0
SRR22211982	HIV	1	213	96.8019	16.184711553613
SRR22212068	HIV	1	0	0	0
SRR22211954	HIV	1	13	38.3398	0.155159301332849
SRR22211851	HIV	1	36	95.6285	0.758334450807689
SRR22211918	HIV	1	13	38.3936	0.173609429802858
SRR22211990	HIV	1	36	92.1582	0.899647544426532
SRR22211978	HIV	1	0	0	0
SRR22212041	HIV	1	21	61.4192	0.40063109723358
SRR22211993	HIV	1	2	9.5294	0.0100158067641296
SRR22211995	HIV	1	0	0	0
SRR22211939	HIV	1	38	83.6786	0.554331648992917
SRR22211836	HIV	1	5	21.4847	0.0520973356091754
SRR22211827	HIV	1	20	81.2593	0.0922338463473198
SRR22211974	HIV	1	6	12.1917	0.158130261434089
SRR22211980	HIV	1	856	99.3116	25.1314715397139
SRR22211914	HIV	1	6	58.2941	0.241886793227404
SRR22211983	HIV	1	233	98.4822	14.3425264411605
SRR22211985	HIV	1	0	0	0
SRR22212018	HIV	1	0	0	0
SRR22211889	HIV	1	137	100.0000	2.148262650207
SRR22211941	HIV	1	45	88.8235	2.81019374439601
SRR22212039	HIV	1	16	55.2402	0.681172647950057
SRR22211996	HIV	1	0	0	0
SRR22211986	HIV	1	0	0	0
SRR22211822	HIV	1	0	0	0
SRR22211830	HIV	1	71	96.6958	0.582045257245088
SRR22212074	HIV	1	0	0	0
SRR22212014	HIV	1	1	5.5882	0.010693154770532
SRR22211835	HIV	1	0	0	0
SRR22211861	HIV	1	0	0	0
SRR22211899	HIV	1	0	0	0
SRR22211833	HIV	1	28	76.8668	1.21653909951492
SRR22211821	HIV	1	27	76.5605	0.772299406955741
SRR22211938	HIV	1	43	88.5773	4.99340504597939
SRR22211979	HIV	1	0	0	0
SRR22211862	HIV	1	113	94.7843	7.55389042776612
SRR22211919	HIV	1	11	62.3203	0.196245577241441
SRR22211857	HIV	1	0	0	0
SRR22211934	HIV	1	72	98.7647	1.68788312713991
SRR22211942	HIV	1	0	0	0
SRR22212047	HIV	1	0	0	0
SRR22211816	HIV	1	4	13.7012	0.0202591617151473
SRR22211876	HIV	1	41	98.6269	1.63812035101808
SRR22212038	HIV	1	0	0	0
SRR22211888	HIV	1	41	96.2497	2.36181749232806
SRR22211867	HIV	1	40	71.1891	2.24950301002114
SRR22212019	HIV	1	0	0	0
SRR22211894	HIV	1	0	0	0
SRR22211852	HIV	1	71	72.1131	0.895900291864708
SRR22211875	HIV	1	5	17.0299	0.0702678988345523
SRR22211898	HIV	1	180	99.9430	9.49058117834424
SRR22211873	HIV	1	35	97.2904	2.0614329101909
SRR22212034	HIV	1	18	74.8832	0.18482188454824
SRR22211870	HIV	1	20	81.4623	1.13346748681497
SRR22212042	HIV	1	175	99.6353	5.42112536455309
SRR22211815	HIV	1	23	63.2484	0.727839996274651
SRR22211884	HIV	1	0	0	0
SRR22211947	HIV	1	32	89.4629	0.963593938931049
SRR22212028	HIV	1	0	0	0
SRR22211866	HIV	1	0	0	0
SRR22211849	HIV	1	179	99.6984	3.10368482674021
SRR22211981	HIV	1	270	99.9776	25.3600769883522
SRR22212059	HIV	1	214	99.6425	15.0275118673116
SRR22212043	HIV	1	0	0	0
SRR22211991	HIV	1	13	53.1748	0.141918667674745
SRR22211969	HIV	1	0	0	0
SRR22211850	HIV	1	7	33.3880	0.317649394480842
SRR22212045	HIV	1	152	92.9969	3.70040390572919
SRR22211853	HIV	1	2	4.1622	0.0662494195224044
SRR22212040	HIV	1	47	78.6201	1.27647488245774
SRR22211855	HIV	1	41	88.8321	3.36030206913014
SRR22211872	HIV	1	34	98.6148	3.87717275307349
SRR22211909	HIV	1	38	82.9203	0.28248002122227
SRR22211946	HIV	1	920	99.9092	10.4636209198252
SRR22212024	HIV	1	18	80.1497	0.319705045383947
SRR22211928	HIV	1	0	0	0
SRR22211863	HIV	1	207	92.3016	5.59633085293186
SRR22211831	HIV	1	19	95.1576	0.268581849832421
SRR22211865	HIV	1	18	64.2650	0.159643305155032
SRR22211959	HIV	1	9	38.8939	0.358895665705669
SRR22211860	HIV	1	8	22.0384	0.383043559868202
SRR22212069	HIV	1	0	0	0
SRR22211943	HIV	1	1	7.4394	0.0266371622632597
SRR22211817	HIV	1	0	0	0
SRR22211945	HIV	1	21	83.5929	0.550184127048508
SRR22211877	HIV	1	1094	100.0000	33.5074722681084
SRR22211940	HIV	1	7	96.5344	0.264156163647194
SRR22212009	HIV	1	0	0	0
SRR22211856	HIV	1	21	88.4098	1.28211929312689
SRR22212046	HIV	1	5	38.4510	0.0890116427416148
SRR22211924	HIV	1	0	0	0
Mix86	HIV	5	190	99.5953	0.954478655531557
Mix59	HIV	5	1115	100.0000	14.1178046146699
Mix99	HIV	5	1376	99.9886	5.09524643642074
Mix14	HIV	5	580	100.0000	2.93485957397785
Mix71	HIV	5	623	99.8519	1.82858072275996
Mix37	HIV	5	183	94.9883	0.570981688455282
Mix91	HIV	5	1	3.9322	0.00132878840868017
Mix51	HIV	5	122	99.3529	1.79969301611665
Mix79	HIV	5	172	100.0000	2.77928941267789
Mix45	HIV	5	106	97.9122	0.972813644865514
Mix18	HIV	5	16	50.4485	0.0403970126352195
Mix10	HIV	5	47	90.1961	0.301237481990769
Mix3	HIV	5	312	99.6668	1.63851786092
Mix62	HIV	5	1538	100.0000	4.28177503285644
Mix23	HIV	5	15	62.6994	0.0941701221591258
Mix47	HIV	5	74	98.9608	0.553452817479089
Mix84	HIV	5	42	99.4436	0.186338842526256
Mix16	HIV	5	15	66.6328	0.0411041363136631
Mix22	HIV	5	73	96.6037	0.897878064698105
Mix80	HIV	5	192	99.7766	4.77014250844712
Mix88	HIV	5	1242	100.0000	7.73341911375038
Mix63	HIV	5	472	99.4946	2.72538906501561
Mix35	HIV	5	12	44.8383	0.0621364265316656
Mix4	HIV	5	980	99.9886	3.40775051172352
Mix85	HIV	5	432	100.0000	1.66878971086832
Mix38	HIV	5	270	92.0742	0.931993276833198
Mix29	HIV	5	257	98.8034	2.04103901113123
Mix30	HIV	5	176	100.0000	0.887584048781692
Mix1	HIV	5	19	96.1569	0.140901341247889
Mix21	HIV	5	70	94.7088	0.129160051040547
Mix69	HIV	5	190	100.0000	4.40719642191712
Mix17	HIV	5	263	98.9221	1.01074774504025
Mix46	HIV	5	322	100.0000	1.74828969941704
Mix34	HIV	5	205	96.0626	1.01511325225112
Mix61	HIV	5	1191	100.0000	6.77812147474385
Mix48	HIV	5	20	71.0553	0.148482268439892
Mix40	HIV	5	280	100.0000	0.919040236005404
Mix93	HIV	5	57	88.6559	0.410170851441157
Mix53	HIV	5	625	99.6078	2.42698783310382
Mix8	HIV	5	9	50.8824	0.0597309489432734
Mix73	HIV	5	41	99.9778	0.524990287132965
Mix100	HIV	5	26	95.2651	0.110633017604412
Mix15	HIV	5	59	99.3725	1.70052199520568
Mix52	HIV	5	67	99.1483	0.382456522563255
Mix92	HIV	5	114	95.8002	0.355543189171975
Mix36	HIV	5	70	98.7587	0.280231220069446
Mix44	HIV	5	22	82.3780	0.16338589469019
Mix87	HIV	5	322	99.7813	3.49358104480779
Mix72	HIV	5	231	100.0000	0.584755934044003
Mix94	HIV	5	475	100.0000	2.08215085933663
Mix19	HIV	5	2015	99.9109	6.01724440827764
Mix67	HIV	5	28	94.2941	0.380262954491524
Mix54	HIV	5	6	15.9253	0.0122620086330473
Mix2	HIV	5	341	99.4379	1.6684080515904
Mix42	HIV	5	42	66.5959	0.120493531692158
Mix11	HIV	5	448	100.0000	1.32998422381502
Mix74	HIV	5	196	100.0000	0.90677569048387
Mix27	HIV	5	277	99.2023	1.50241498063411
Mix70	HIV	5	405	100.0000	3.83399181642712
Mix6	HIV	5	259	100.0000	2.10547037837985
Mix78	HIV	5	119	98.9738	0.527695379377147
Mix90	HIV	5	73	89.7335	0.173590692230702
Mix58	HIV	5	740	99.6179	2.73372908935514
Mix98	HIV	5	157	99.9777	0.731716382397565
Mix50	HIV	5	15	54.5979	0.0811589582949504
Mix43	HIV	5	6	65.1569	0.0609828372189623
Mix76	HIV	5	185	100.0000	2.03409275756039
Mix81	HIV	5	196	98.6999	0.730392895756985
Mix32	HIV	5	3	28.4902	0.0289664379980976
Mix96	HIV	5	413	99.9542	0.447159625492142
Mix89	HIV	5	238	99.7935	1.32322633262661
Mix56	HIV	5	622	100.0000	1.82088620397399
Mix25	HIV	5	199	100.0000	2.01785184071199
Mix65	HIV	5	284	99.4530	0.817171766925226
Mix33	HIV	5	25	89.8525	0.116744296762784
Mix24	HIV	5	772	99.9659	6.09820883371784
Mix9	HIV	5	137	99.7000	0.321209140330373
Mix5	HIV	5	232	98.9916	0.663820902980364
Mix68	HIV	5	155	100.0000	0.900751626989428
Mix83	HIV	5	462	99.7857	4.45068521312785
Mix7	HIV	5	217	98.9050	0.777513602810658
Mix60	HIV	5	456	99.9886	1.45539637885549
Mix57	HIV	5	872	99.9310	3.0878152327002
Mix31	HIV	5	183	99.9102	0.77120308997014
Mix64	HIV	5	221	100.0000	0.611123972562883
Mix97	HIV	5	1470	99.5755	2.94665390633996
Mix39	HIV	5	247	100.0000	2.98588725029825
Mix28	HIV	5	488	100.0000	1.86854675571026
Mix20	HIV	5	179	97.8050	0.594600982044902
Mix82	HIV	5	38	88.8210	0.256152658356015
Mix77	HIV	5	32	87.2481	0.261885442530019
Mix75	HIV	5	481	100.0000	5.00110902017022
Mix13	HIV	5	588	99.9546	2.50746367160678
Mix95	HIV	5	54	95.9777	0.406277045766387
Mix55	HIV	5	251	99.9761	1.06553596882447
Mix26	HIV	5	980	100.0000	2.86109797712274
Mix12	HIV	5	110	99.9885	0.965420307632979
Mix41	HIV	5	694	100.0000	2.50152263053289
Mix49	HIV	5	237	99.8519	0.88546428105002
Mix66	HIV	5	12	43.0381	0.0627827776018757
SRR3927539	Zika	1	0	0	0
SRR3927543	Zika	1	0	0	0
SRR3927548	Zika	1	0	0	0
SRR3927553	Zika	1	0	0	0
SRR3927552	Zika	1	0	0	0
SRR3927551	Zika	1	0	0	0
SRR3927542	Zika	1	0	0	0
SRR3927554	Zika	1	0	0	0
SRR3927540	Zika	1	0	0	0
SRR3927550	Zika	1	2	4.8580	0.191244846039126
SRR3927544	Zika	1	0	0	0
SRR3927367	Zika	1	11	84.0381	8.28900709219858
SRR3927547	Zika	1	1	98.9174	0.615922826565559
SRR3927549	Zika	1	0	0	0
Mix52	Zika	5	1	98.9174	0.300211173561687
Mix64	Zika	5	9	86.0461	0.349999612832287
Mix8	Zika	5	1	98.9174	0.41648185948227
Mix69	Zika	5	1	98.9174	0.296783332931676
Mix88	Zika	5	1	98.9174	0.361632216019298
Mix27	Zika	5	3	8.9849	0.0347566734008344
Mix21	Zika	5	2	6.3477	0.0192460989843735
Mix60	Zika	5	0	0	0
Mix42	Zika	5	2	6.0424	0.0208707620366479
Mix45	Zika	5	1	98.9174	0.218211282621191
Mix78	Zika	5	12	88.2113	0.287612223922413
Mix49	Zika	5	8	31.5351	0.077100239780904
Mix103	Zika	5	10	84.1677	0.350028928309077
Mix26	Zika	5	1	2.9610	0.0314379261285414
Mix32	Zika	5	10	87.2768	0.319214867803685
Mix70	Zika	5	11	85.9443	0.732530847490716
Mix97	Zika	5	1	98.9174	0.224739655063544
Mix29	Zika	5	11	83.6865	0.452462112435068
Mix72	Zika	5	1	98.9174	0.286861102780515
Mix35	Zika	5	1	98.9174	0.471314405379663
Mix63	Zika	5	1	98.9174	0.257053556303439
Mix2	Zika	5	11	89.5346	0.293045127279035
Mix12	Zika	5	1	98.9174	0.337191324995405
Mix99	Zika	5	5	16.7021	0.0632678380248513
Mix71	Zika	5	2	6.3200	0.0332554530415949
Mix28	Zika	5	0	0	0
Mix18	Zika	5	12	88.2113	0.41118587659339
Mix101	Zika	5	1	98.9174	0.247412937805196
Mix22	Zika	5	0	0	0
Mix7	Zika	5	0	0	0
Mix76	Zika	5	1	98.9174	0.362172589285533
Mix100	Zika	5	1	3.2942	0.0231230266958053
Mix30	Zika	5	11	89.2570	0.461118547793076
Mix65	Zika	5	10	83.1591	0.290138842154786
Mix85	Zika	5	11	88.5907	0.556903197104859
Mix80	Zika	5	12	89.2570	0.34678941984703
Mix6	Zika	5	7	26.1960	0.10903996801855
Mix9	Zika	5	1	3.2942	0.0134495140180975
Mix4	Zika	5	10	88.4149	0.209334618047049
Mix13	Zika	5	2	6.4403	0.0311471295927255
Mix58	Zika	5	2	5.6445	0.0295225611412241
Mix67	Zika	5	1	98.9174	0.394459598817578
Mix3	Zika	5	11	88.6925	0.525498910860294
Mix75	Zika	5	11	89.5901	0.358592956774479
Mix83	Zika	5	1	98.9174	0.287928529865899
Mix82	Zika	5	4	12.2791	0.0447786928192832
Mix33	Zika	5	1	2.9610	0.0217165513346049
Mix14	Zika	5	0	0	0
Mix25	Zika	5	1	98.9174	0.42431565536254
Mix96	Zika	5	11	88.2391	0.34193992621036
Mix37	Zika	5	0	0	0
Mix93	Zika	5	3	9.3365	0.0337962045674545
Mix31	Zika	5	11	87.5081	0.457220187925667
Mix68	Zika	5	1	98.9174	0.28663362031481
Mix87	Zika	5	0	0	0
Mix5	Zika	5	11	88.2391	0.665567983887128
Mix48	Zika	5	0	0	0
Mix61	Zika	5	1	98.9174	0.25464011671659
Mix38	Zika	5	1	98.9174	0.318090766609436
Mix92	Zika	5	0	0	0
Mix66	Zika	5	5	17.3129	0.0598724932436043
Mix86	Zika	5	1	3.1461	0.0112374192522039
Mix102	Zika	5	0	0	0
Mix95	Zika	5	1	98.9174	0.235050521382599
Mix43	Zika	5	1	98.9174	0.332677170855952
Mix84	Zika	5	11	85.6760	0.557571677869197
Mix53	Zika	5	1	98.9174	0.373733247327823
Mix23	Zika	5	4	12.2791	0.0462271848681287
Mix91	Zika	5	1	98.9174	0.279577384843633
Mix15	Zika	5	11	88.0263	0.335696125596099
Mix98	Zika	5	3	15.2771	0.0495455961043006
Mix94	Zika	5	5	17.1555	0.0606044972450749
Mix89	Zika	5	2	6.2367	0.0179278202054767
Mix74	Zika	5	1	98.9174	0.296613982360425
Mix1	Zika	5	7	22.6890	0.0691183357322449
Mix51	Zika	5	1	98.9174	0.378864904760372
Mix47	Zika	5	11	88.3872	0.479357256186072
Mix44	Zika	5	4	14.6664	0.0788937185225015
Mix62	Zika	5	2	4.8580	0.0287352174363725
Mix40	Zika	5	1	98.9174	0.233995151038595
Mix10	Zika	5	2	5.2836	0.0307737786889717
Mix41	Zika	5	2	5.2836	0.0169980032497092
Mix19	Zika	5	13	88.7203	0.348702028261779
Mix79	Zika	5	7	25.3447	0.0698410012292489
Mix54	Zika	5	3	9.4682	0.054856244745601
Mix36	Zika	5	11	89.5623	0.352212250248335
Mix59	Zika	5	1	98.9174	0.320485688073559
Mix56	Zika	5	3	7.9486	0.0362110020778669
Mix34	Zika	5	1	98.9174	0.358002643999738
Mix90	Zika	5	10	89.4235	0.259216130219565
Mix16	Zika	5	1	98.9174	0.254313440365611
Mix46	Zika	5	1	98.9174	0.251837475616688
Mix20	Zika	5	0	0	0
Mix39	Zika	5	1	98.9174	0.296391706233051
Mix73	Zika	5	11	88.6925	0.279792198411318
Mix17	Zika	5	2	6.1072	0.0197921880778396
Mix77	Zika	5	1	98.9174	0.278264076842756
Mix24	Zika	5	7	22.1986	0.113433468085564
Mix81	Zika	5	1	98.9174	0.29693284856009
Mix57	Zika	5	1	98.9174	0.354186930558467
Mix11	Zika	5	1	98.9174	0.207230430682175
Mix50	Zika	5	1	3.1091	0.0118046208766828
Mix55	Zika	5	3	7.9486	0.0488691858035442
SRR9869768	Ebola	1	0	0	0
SRR9869777	Ebola	1	0	0	0
SRR9869821	Ebola	1	0	0	0
SRR9869769	Ebola	1	0	0	0
SRR9869822	Ebola	1	19	68.6587	28.092713288765
SRR9869767	Ebola	1	0	0	0
SRR9869797	Ebola	1	7	14.2782	4.02560701309187
SRR9869778	Ebola	1	0	0	0
SRR9869809	Ebola	1	0	0	0
SRR9869795	Ebola	1	0	0	0
SRR9869782	Ebola	1	0	0	0
SRR9869800	Ebola	1	0	0	0
SRR9869770	Ebola	1	1	99.4673	10.623128395575
SRR9869815	Ebola	1	4	7.0890	2.53127577673907
SRR9869761	Ebola	1	0	0	0
SRR9869826	Ebola	1	0	0	0
SRR9869818	Ebola	1	0	0	0
SRR9869758	Ebola	1	1	99.4303	23.9436085472247
SRR9869760	Ebola	1	1	1.0866	0.415078264099007
SRR9869813	Ebola	1	1	99.5358	0.530173917362803
SRR9869771	Ebola	1	0	0	0
SRR9869762	Ebola	1	1	1.5718	0.163332576707097
Mix12	Ebola	5	1	99.4303	8.64607251927563
Mix34	Ebola	5	2	3.0434	0.223584953781108
Mix71	Ebola	5	0	0	0
Mix97	Ebola	5	1	99.4303	12.7578170256908
Mix18	Ebola	5	2	99.7046	0.480992332664367
Mix85	Ebola	5	2	99.6783	0.511955915601299
Mix41	Ebola	5	1	99.5358	0.500081055565974
Mix72	Ebola	5	1	99.4145	7.07098979675616
Mix42	Ebola	5	20	76.3753	5.06290833925972
Mix11	Ebola	5	0	0	0
Mix67	Ebola	5	3	6.0130	0.472991499862901
Mix48	Ebola	5	2	99.5358	0.499758631811273
Mix78	Ebola	5	0	0	0
Mix13	Ebola	5	19	76.0905	8.80088592011404
Mix25	Ebola	5	1	99.4303	6.74999019932785
Mix39	Ebola	5	2	99.4567	0.48195497681349
Mix46	Ebola	5	0	0	0
Mix55	Ebola	5	20	70.6419	4.67224453962595
Mix40	Ebola	5	10	16.5304	1.29085492916381
Mix76	Ebola	5	1	99.4673	6.17503723640545
Mix70	Ebola	5	2	99.4303	0.494289751296021
Mix73	Ebola	5	2	99.4409	0.49184288389326
Mix43	Ebola	5	8	14.4153	0.726218510866791
Mix10	Ebola	5	21	78.1423	4.65664272890485
Mix16	Ebola	5	1	99.4673	2.84626038781163
Mix3	Ebola	5	1	99.4673	6.73808912838936
Mix96	Ebola	5	3	6.0130	0.439734948424609
Mix84	Ebola	5	0	0	0
Mix90	Ebola	5	1	99.4673	4.98681225932373
Mix59	Ebola	5	20	68.5321	2.89646114372433
Mix35	Ebola	5	1	99.4673	5.86019306789596
Mix29	Ebola	5	2	99.5358	0.513439855159168
Mix63	Ebola	5	2	99.5569	5.9469006595141
Mix60	Ebola	5	21	70.8634	3.58091547056629
Mix66	Ebola	5	1	99.4673	4.39287232880787
Mix2	Ebola	5	1	99.5358	0.484009032107254
Mix5	Ebola	5	2	99.5358	0.516628675452241
Mix93	Ebola	5	7	14.7529	0.82143283344604
Mix68	Ebola	5	19	75.9270	11.6395523427705
Mix89	Ebola	5	1	99.4673	4.71035991191505
Mix47	Ebola	5	3	6.0130	0.640643010044459
Mix54	Ebola	5	3	6.0130	0.602668332341086
Mix77	Ebola	5	21	65.1089	3.3992433992434
Mix91	Ebola	5	5	8.5764	0.923438215216829
Mix24	Ebola	5	0	0	0
Mix62	Ebola	5	0	0	0
Mix98	Ebola	5	2	99.4303	0.5112205938193
Mix17	Ebola	5	2	99.5358	0.49556264763739
Mix61	Ebola	5	1	99.5358	0.4985194564834
Mix8	Ebola	5	1	99.4673	4.06017386986726
Mix100	Ebola	5	1	99.4145	9.67863874826957
Mix92	Ebola	5	1	99.4673	6.32986141230008
Mix22	Ebola	5	1	99.4673	4.23167319529938
Mix64	Ebola	5	1	99.4673	3.85201576259928
Mix58	Ebola	5	1	99.4303	10.3150052283025
Mix52	Ebola	5	5	7.7272	0.669544566677832
Mix83	Ebola	5	10	19.2046	1.0458695435532
Mix28	Ebola	5	2	99.7046	0.491670135847148
Mix51	Ebola	5	1	99.7046	0.485534253315498
Mix80	Ebola	5	2	3.0540	0.161616363781923
Mix86	Ebola	5	1	99.4303	6.7919386071864
Mix94	Ebola	5	1	99.4673	5.44440413045607
Mix21	Ebola	5	4	5.5066	0.38435488530926
Mix37	Ebola	5	2	99.7046	0.518453920928786
Mix88	Ebola	5	2	99.6783	0.507987770733163
Mix23	Ebola	5	5	7.7272	0.625722092831338
Mix69	Ebola	5	2	99.7046	0.500616076807278
Mix15	Ebola	5	1	99.4673	3.33895506441444
Mix9	Ebola	5	1	99.4303	10.0383726600098
Mix53	Ebola	5	2	99.4831	0.507538574349506
Mix82	Ebola	5	1	99.6783	0.490275989849781
Mix75	Ebola	5	21	70.2199	6.47118486097278
Mix99	Ebola	5	1	99.4673	5.49367846318805
Mix81	Ebola	5	20	70.0248	3.16141924120574
Mix50	Ebola	5	1	1.0866	0.208124928666859
Mix45	Ebola	5	21	71.0375	5.37228112443789
Mix56	Ebola	5	5	7.7272	0.405194044238212
Mix6	Ebola	5	0	0	0
Mix26	Ebola	5	2	99.5622	0.501287180143802
Mix20	Ebola	5	1	99.4673	4.73253757183495
Mix4	Ebola	5	1	99.4673	4.78407914994574
Mix7	Ebola	5	2	99.5358	0.499058938889172
Mix33	Ebola	5	1	99.4673	5.38916017710454
Mix65	Ebola	5	2	99.7046	0.489258962647909
Mix19	Ebola	5	0	0	0
Mix30	Ebola	5	3	4.1247	0.3624136236896
Mix36	Ebola	5	1	1.0866	0.0719646583884095
Mix1	Ebola	5	1	99.4303	8.0134050412772
Mix87	Ebola	5	3	6.0130	0.299396877615214
Mix49	Ebola	5	1	99.4673	5.5323569432455
Mix95	Ebola	5	1	99.4673	4.19200743083354
Mix79	Ebola	5	0	0	0
Mix38	Ebola	5	1	99.4303	6.61779607125137
Mix32	Ebola	5	2	99.6783	0.510112872270464
Mix14	Ebola	5	1	99.4303	6.43644099475977
Mix31	Ebola	5	1	99.4673	5.10783047568613
Mix27	Ebola	5	1	99.5358	0.500171392944954
Mix44	Ebola	5	19	65.8368	4.19283934627053
Mix57	Ebola	5	1	99.4673	6.89869597154847
Mix74	Ebola	5	20	77.5938	8.79479762150745
SAMN34566302	LASV	1	0	0	0
SAMN34550955	LASV	1	0	0	0
SAMN34509123	LASV	1	0	0	0
SAMN34574680	LASV	1	0	0	0
SAMN32238302	LASV	1	0	0	0
SAMN34441581	LASV	1	0	0	0
SAMN34496912	LASV	1	0	0	0
SAMN34507811	LASV	1	0	0	0
SAMN34472950	LASV	1	1	11.9847	0.279830863900443
SAMN34565787	LASV	1	4	100.0000	11.041259765625
SAMN34509044	LASV	1	1	7.8033	0.0148959796331333
SAMN34565788	LASV	1	0	0	0
SAMN32238269	LASV	1	1	99.5878	6.80882927895989
SAMN34552912	LASV	1	0	0	0
SAMN32238294	LASV	1	1	100.0000	13.6628362496735
SAMN34508920	LASV	1	0	0	0
SAMN32238273	LASV	1	1	97.4382	3.76588262321735
SAMN34509115	LASV	1	2	9.8827	0.0457018323404471
SAMN32238313	LASV	1	1	97.4087	7.09851386964436
SAMN34508921	LASV	1	0	0	0
SAMN34473323	LASV	1	0	0	0
SAMN34566306	LASV	1	1	9.4229	0.144668538847758
SAMN34509119	LASV	1	0	0	0
SAMN34509064	LASV	1	0	0	0
SAMN34441093	LASV	1	4	91.1072	6.8117641947956
SAMN34507810	LASV	1	0	0	0
SAMN34472951	LASV	1	0	0	0
SAMN34496916	LASV	1	1	100.0000	0.447147529456663
SAMN34472894	LASV	1	1	8.5984	0.0578046313216956
SAMN32238306	LASV	1	0	0	0
SAMN34552916	LASV	1	0	0	0
SAMN34574681	LASV	1	0	0	0
SAMN34565785	LASV	1	0	0	0
