sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R7.Test44	448	4	29806	8	99.6756	150	56	16.8740
R7.Test13	1429	1	29817	2	99.7124	190	70	6.1405
R7.Test143	111	1	29824	2	99.7358	200	70	40.4676
R7.Test126	1156	1	29820	2	99.7224	166	56	6.5619
R7.Test167	258	1	29820	2	99.7224	170	56	28.9190
R7.Test179	4153	2	29813	4	99.6990	148	53	1.2531
R7.Test180	320	1	29824	2	99.7358	155	56	23.5837
R7.Test6	162	1	29827	2	99.7458	151	56	41.6442
R7.Test41	641	1	29858	2	99.8495	145	56	13.3435
R7.Test113	85	1	29869	2	99.8863	161	56	53.8180
R7.Test82	643	20	29063	40	97.1909	76	35	12.2928
R7.Test137	1785	1	29830	2	99.7559	142	59	4.0547
R7.Test92	448	1	29827	2	99.7458	200	70	17.4603
R7.Test16	1277	1	29856	2	99.8428	161	56	5.9223
R7.Test56	223	1	29813	2	99.6990	139	53	30.8839
R7.Test183	333	1	29840	2	99.7893	170	56	24.4610
R7.Test48	13876	2	29843	4	99.7994	196	70	0.2425
R7.Test110	225	1	29809	2	99.6857	173	56	25.0391
R7.Test149	893	1	29876	2	99.9097	114	53	9.8415
R7.Test47	1049	5	29755	10	99.5051	158	56	8.7257
R7.Test173	7708	1	29813	2	99.6990	119	58	0.5698
R7.Test140	1643	3	29759	6	99.5184	161	58	5.4258
R7.Test119	244	1	29867	2	99.8796	172	56	30.4539
R7.Test100	657	2	29879	4	99.9197	164	56	13.7129
R7.Test66	296	2	29821	4	99.7258	168	56	18.6947
R7.Test109	305	1	29824	2	99.7358	200	70	21.1670
R7.Test134	266	1	29860	2	99.8562	117	53	30.0371
R7.Test29	899	8	29632	16	99.0937	143	53	6.8969
R7.Test25	985	1	29847	2	99.8127	127	53	9.1584
R7.Test122	2082	1	29867	2	99.8796	192	70	3.3212
R7.Test191	4000	1	29859	2	99.8529	169	56	1.2289
R7.Test151	788	6	29794	12	99.6355	141	59	10.9089
R7.Test63	1030	1	29815	2	99.7057	204	70	8.4548
R7.Test103	109	1	29816	2	99.7091	159	73	43.7011
R7.Test40	284	3	29771	6	99.5586	161	56	25.3822
R7.Test1	211	12	29590	24	98.9533	140	56	24.3014
R7.Test72	466	9	29751	18	99.4917	119	44	17.1186
R7.Test5	303	3	29818	6	99.7157	164	56	18.8747
R7.Test164	948	2	29817	4	99.7124	166	61	7.3700
R7.Test128	100	1	29869	2	99.8863	162	56	50.3283
R7.Test62	971	1	29837	2	99.7793	192	72	8.3603
R7.Test190	408	6	29857	12	99.8462	145	59	21.9352
R7.Test150	2493	2	29848	4	99.8161	136	59	2.5906
R7.Test101	553	1	29827	2	99.7458	151	56	13.3608
R7.Test20	104	1	29821	2	99.7258	194	70	52.2019
R7.Test162	900	2	29865	4	99.8729	147	56	8.8862
R7.Test199	1427	1	29846	2	99.8094	136	59	4.4719
R7.Test138	698	1	29856	2	99.8428	188	70	11.4110
R7.Test159	882	1	29879	2	99.9197	164	56	9.4610
R7.Test3	11704	2	29861	4	99.8595	135	61	0.2648
R7.Test73	1198	1	29881	2	99.9264	165	56	7.6373
R7.Test124	260	1	29870	2	99.8896	192	70	30.3250
R7.Test168	130	1	29819	2	99.7191	147	64	42.5417
R7.Test76	153	2	29885	4	99.9398	130	53	44.0796
R7.Test193	851	20	28778	42	96.2378	163	56	9.9732
R7.Test9	2411	1	29816	2	99.7091	132	56	1.6118
R7.Test49	226	1	29859	2	99.8529	141	62	29.1502
R7.Test153	15539	2	29858	4	99.8495	203	64	0.2267
R7.Test45	156	1	29855	2	99.8395	126	53	39.4454
R7.Test132	1617	2	29839	4	99.7860	145	56	3.8389
R7.Test8	630	1	29850	2	99.8228	167	56	12.6488
