fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads
42	34	27995	68	93.6194	152	56	92.2273	29903	0.996737564	12.80984295	7	7424
14	5	29809	10	99.6857	156	56	93.7055	29903	0.998557188	31.13433456	2	17933
0	0	0	0	0	0	0	0	29903	0.522144901	0.749382154	202	440
867	1	29833	2	99.7659	164	56	8.2192	29903	0.998400666	29.48950574	2	17167
0	0	0	0	0	0	0	0	29903	0.460065681	1.266108374	112	490
1063	2	29816	4	99.7091	155	56	4.9272	29903	0.999138688	439.0427727	2	261805
33	23	9482	46	31.7092	66	9	79.9261	29903	0.968851938	4.855344823	42	2833
0	0	0	0	0	0	0	0	29903	0.197288158	0.223445166	101	131
16	16	29106	32	97.3347	64	0	99.7573	29903	0.998900523	1607.513524	6	964677
0	0	0	0	0	0	0	0	29903	0.601597732	1.009277155	217	591
142	30	26271	64	87.8541	152	55	46.2468	29903	0.985169312	11.51349141	18	4281
30	30	28085	60	93.9203	70	0	99.7247	29903	0.995801273	62.32004062	9	36721
42	36	27362	72	91.5025	66	0	93.8474	29903	0.994121623	40.17559347	10	23612
2	2	457	4	1.5283	0	0	100	29903	0.741756345	1.847206099	195	1065
4	1	29824	2	99.7358	155	56	97.5904	29903	0.999344879	4565.303858	2	2728492
0	0	0	0	0	0	0	0	29903	0.02052139	0.02309492	8	9
38	1	29862	2	99.8629	161	56	73.8851	29903	0.999626899	405.6277516	1	157850
803	17	5281	34	17.6604	6	0	1.5178	29903	0.930770355	4.466218389	93	2537
32	32	28099	64	93.9672	76	0	99.7567	29903	0.996140318	80.01549577	10	47399
33	33	27637	66	92.4222	67	0	99.7849	29903	0.996255898	82.5398957	10	48649
138	37	17105	74	57.2016	99	45	36.4212	29903	0.934086054	4.461550198	61	1710
4	1	258	2	0.8628	0	0	23.8447	29903	0.626843752	1.596481706	204	914
15	15	29028	30	97.0739	72	0	99.7801	29903	0.998085622	1461.87665	6	877729
22	1	29845	2	99.806	159	56	82.129	29903	0.999178112	224.7112434	2	87672
58	32	28132	64	94.0775	67	0	79.2826	29903	0.996269216	89.97834646	8	53401
11	2	29854	4	99.8361	167	56	93.0712	29903	0.998563943	66.18105958	2	39031
0	0	0	0	0	0	0	0	29903	0.088264727	0.092567883	33	36
552	43	23359	86	78.1159	41	0	11.5831	29903	0.989712772	11.02238236	16	6380
33	13	29675	28	99.2375	159	56	79.5345	29903	0.998909019	189.8415038	2	112398
65	1	29829	2	99.7525	171	56	59.1086	29903	0.998283863	29.43207967	2	11077
163	47	21831	94	73.0061	138	30	22.2154	29903	0.990856325	10.10076595	19	5746
1635	23	7045	46	23.5595	5	0	1.0546	29903	0.953269418	5.090734256	72	2896
61	47	23615	94	78.972	31	2	86.0512	29903	0.990385098	12.55773962	20	7311
506	5	1261	10	4.217	9	0	0.9478	29903	0.547914833	1.022270045	135	395
2374	38	26027	76	87.0381	59	0	1.4413	29903	0.992113827	15.88004466	11	9259
272	24	10811	48	36.1536	65	27	13.3	29903	0.885337061	3.5036968	80	1341
37	24	7949	50	26.5826	55	21	71.6893	29903	0.944632602	4.1128847	78	2381
38	38	26548	76	88.7804	60	0	99.8166	29903	0.990229142	19.39995842	12	11229
0	0	0	0	0	0	0	0	29903	0.006820005	0.006820005	4	4
0	0	0	0	0	0	0	0	29903	0.032776478	0.035349148	13	14
515	2	29881	4	99.9264	165	56	18.5806	29903	0.999814886	4767.015953	1	1879973
0	0	0	0	0	0	0	0	29903	0.077644311	0.084617951	31	33
50	35	27079	70	90.5561	53	0	85.158	29903	0.994722384	27.81366124	10	16266
0	0	0	0	0	0	0	0	29903	0.129681461	0.146341463	47	57
