fragment	annotation
k141_1935	Rhodococcus
k141_596	Rhodococcus
k141_136	Rhodococcus
k141_1349	Rhodococcus
k141_1268	Rhodococcus
k141_1269	Rhodococcus
k141_1637	Rhodococcus
k141_1425	Others
k141_1087	Others
k141_1726	Rhodococcus
k141_1215	Rhodococcus
k141_570	Others
k141_989	Others
k141_1158	Rhodococcus
k141_303	Rhodococcus
k141_307	Rhodococcus
k141_67	Rhodococcus
k141_1157	Rhodococcus
k141_233	Rhodococcus
k141_2131	Rhodococcus
k141_312	Others
k141_2135	Rhodococcus
k141_1435	Rhodococcus
k141_610	Others
k141_615	Rhodococcus
k141_268	Rhodococcus
k141_1064	Rhodococcus
k141_1893	Rhodococcus
k141_281	Others
k141_1804	Rhodococcus
k141_1684	Rhodococcus
k141_1023	Rhodococcus
k141_943	Others
k141_458	Rhodococcus
k141_459	Rhodococcus
k141_1217	Rhodococcus
k141_466	Others
k141_229	Rhodococcus
k141_148	Others
k141_562	Others
k141_1527	Rhodococcus
k141_1530	Rhodococcus
k141_2238	Rhodococcus
k141_732	Rhodococcus
k141_531	Rhodococcus
k141_1965	Rhodococcus
k141_1971	Rhodococcus
k141_904	Rhodococcus
k141_1091	Others
k141_1096	Rhodococcus
k141_10	Rhodococcus
k141_16	Others
k141_1098	Rhodococcus
k141_1031	Rhodococcus
k141_1036	Rhodococcus
k141_1068	Rhodococcus
k141_501	Rhodococcus
k141_1223	Rhodococcus
k141_2264	Others
k141_1642	Rhodococcus
k141_1575	Rhodococcus
k141_1580	Rhodococcus
k141_842	Rhodococcus
k141_843	Rhodococcus
k141_195	Others
k141_867	Others
k141_995	Rhodococcus
k141_1308	Others
k141_2266	Others
k141_2013	Rhodococcus
k141_2015	Others
k141_646	Rhodococcus
k141_1687	Others
k141_395	Others
k141_1696	Rhodococcus
k141_589	Others
k141_2242	Rhodococcus
k141_1362	Rhodococcus
k141_847	Rhodococcus
k141_239	Rhodococcus
k141_242	Rhodococcus
k141_620	Rhodococcus
k141_1636	Rhodococcus
k141_374	Others
k141_381	Others
k141_1190	Rhodococcus
k141_1053	Rhodococcus
k141_2312	Rhodococcus
k141_1075	Rhodococcus
k141_2042	Rhodococcus
k141_295	Others
k141_2048	Others
k141_1384	Others
k141_1128	Rhodococcus
k141_1129	Rhodococcus
k141_2170	Rhodococcus
k141_2269	Rhodococcus
k141_1910	Rhodococcus
k141_2182	Rhodococcus
k141_532	Rhodococcus
k141_1914	Rhodococcus
k141_481	Rhodococcus
k141_2021	Rhodococcus
k141_1814	Rhodococcus
k141_322	Rhodococcus
