fragment	annotation
k141_915	Others
k141_2020	Rhodococcus
k141_1810	Rhodococcus
k141_534	Others
k141_320	Rhodococcus
k141_1813	Rhodococcus
k141_1732	Rhodococcus
k141_198	Rhodococcus
k141_203	Rhodococcus
k141_675	Others
k141_1654	Others
k141_1976	Rhodococcus
k141_1737	Rhodococcus
k141_1980	Rhodococcus
k141_1665	Rhodococcus
k141_2212	Rhodococcus
k141_1988	Rhodococcus
k141_402	Others
k141_405	Rhodococcus
k141_874	Rhodococcus
k141_1110	Rhodococcus
k141_1879	Rhodococcus
k141_950	Rhodococcus
k141_1773	Rhodococcus
k141_972	Rhodococcus
k141_2148	Rhodococcus
k141_438	Others
k141_1000	Rhodococcus
k141_954	Rhodococcus
k141_1397	Rhodococcus
k141_1281	Rhodococcus
k141_443	Rhodococcus
k141_630	Others
k141_1461	Others
k141_755	Rhodococcus
k141_624	Others
k141_204	Rhodococcus
k141_212	Rhodococcus
k141_1611	Rhodococcus
k141_592	Rhodococcus
k141_2183	Rhodococcus
k141_1135	Rhodococcus
k141_542	Rhodococcus
k141_253	Others
k141_217	Rhodococcus
k141_222	Others
k141_1830	Rhodococcus
k141_1779	Rhodococcus
k141_332	Rhodococcus
k141_690	Rhodococcus
k141_1172	Rhodococcus
k141_791	Rhodococcus
k141_1950	Rhodococcus
k141_796	Rhodococcus
k141_1841	Others
k141_1848	Others
k141_1142	Others
k141_2251	Rhodococcus
k141_2230	Others
k141_638	Rhodococcus
k141_1338	Rhodococcus
k141_371	Others
k141_1590	Rhodococcus
k141_366	Others
k141_961	Rhodococcus
k141_1404	Others
k141_1993	Others
k141_1616	Others
k141_1469	Rhodococcus
k141_1918	Others
k141_2053	Rhodococcus
k141_258	Rhodococcus
k141_2223	Rhodococcus
k141_763	Others
k141_696	Rhodococcus
k141_699	Rhodococcus
k141_2059	Rhodococcus
k141_2026	Rhodococcus
k141_799	Rhodococcus
k141_1959	Rhodococcus
k141_2325	Rhodococcus
k141_508	Rhodococcus
k141_1330	Others
k141_666	Rhodococcus
k141_2278	Rhodococcus
k141_1239	Rhodococcus
k141_2280	Others
k141_2037	Rhodococcus
k141_1412	Rhodococcus
k141_1486	Others
k141_1154	Rhodococcus
k141_1245	Rhodococcus
k141_2063	Others
k141_515	Rhodococcus
k141_1333	Rhodococcus
k141_804	Rhodococcus
k141_1479	Rhodococcus
k141_2103	Rhodococcus
k141_1254	Rhodococcus
k141_809	Others
k141_771	Rhodococcus
k141_520	Rhodococcus
k141_772	Rhodococcus
k141_669	Rhodococcus
k141_2363	Others
k141_2072	Others
k141_2330	Rhodococcus
k141_2104	Others
k141_1496	Rhodococcus
k141_154	Rhodococcus
k141_161	Others
k141_712	Rhodococcus
k141_166	Others
k141_174	Others
k141_1489	Rhodococcus
k141_711	Rhodococcus
k141_1415	Rhodococcus
k141_2118	Rhodococcus
k141_40	Rhodococcus
k141_46	Rhodococcus
k141_87	Rhodococcus
k141_1501	Rhodococcus
k141_93	Rhodococcus
k141_2118	Rhodococcus
k141_40	Rhodococcus
k141_46	Rhodococcus
k141_87	Rhodococcus
k141_1501	Rhodococcus
k141_93	Rhodococcus
k141_418	Others
k141_899	Others
k141_2188	Others
k141_2298	Rhodococcus
k141_1513	Rhodococcus
k141_1515	Rhodococcus
k141_1798	Rhodococcus
k141_1600	Rhodococcus
k141_1204	Others
k141_1551	Rhodococcus
k141_1553	Others
k141_342	Rhodococcus
k141_338	Rhodococcus
k141_1559	Rhodococcus
k141_977	Rhodococcus
k141_344	Others
k141_726	Rhodococcus
k141_786	Rhodococcus
k141_65	Others
k141_104	Rhodococcus
k141_1205	Rhodococcus
k141_1206	Rhodococcus
k141_1752	Others
k141_863	Rhodococcus
k141_1303	Rhodococcus
k141_1343	Rhodococcus
k141_58	Others
k141_2156	Others
k141_2161	Others
k141_982	Rhodococcus
k141_127	Others
k141_1931	Rhodococcus
k141_134	Rhodococcus
k141_600	Rhodococcus
k141_827	Rhodococcus
k141_140	Others
k141_2078	Rhodococcus
k141_1517	Rhodococcus
k141_1427	Rhodococcus
k141_1429	Rhodococcus
k141_1719	Rhodococcus
k141_1420	Rhodococcus
k141_574	Others
k141_2201	Others
k141_1455	Rhodococcus
k141_2129	Rhodococcus
k141_1454	Rhodococcus
k141_1450	Rhodococcus
k141_355	Rhodococcus
k141_71	Rhodococcus
k141_2134	Rhodococcus
k141_1057	Rhodococcus
k141_1567	Rhodococcus
k141_938	Rhodococcus
k141_266	Rhodococcus
k141_1557	Rhodococcus
k141_1059	Rhodococcus
k141_277	Others
k141_284	Others
k141_1680	Rhodococcus
k141_1027	Rhodococcus
k141_2011	Others
k141_110	Others
k141_463	Rhodococcus
k141_2339	Rhodococcus
k141_265	Rhodococcus
k141_566	Rhodococcus
k141_488	Others
k141_1635	Rhodococcus
k141_144	Others
k141_2307	Rhodococcus
k141_740	Rhodococcus
k141_1969	Rhodococcus
k141_2240	Others
k141_673	Rhodococcus
k141_1	Rhodococcus
k141_9	Rhodococcus
k141_1972	Rhodococcus
k141_1029	Others
k141_1822	Others
k141_27	Others
k141_34	Rhodococcus
k141_1097	Rhodococcus
k141_1070	Rhodococcus
k141_1639	Others
k141_1221	Rhodococcus
k141_788	Others
k141_1649	Others
k141_1643	Others
k141_428	Others
k141_2204	Rhodococcus
k141_1272	Rhodococcus
k141_577	Rhodococcus
k141_581	Rhodococcus
k141_2206	Others
k141_391	Rhodococcus
k141_1872	Rhodococcus
k141_1693	Rhodococcus
k141_1698	Rhodococcus
k141_2018	Rhodococcus
k141_1702	Rhodococcus
k141_1878	Rhodococcus
k141_1875	Rhodococcus
k141_2090	Rhodococcus
k141_2311	Rhodococcus
k141_2085	Rhodococcus
k141_1043	Others
k141_384	Others
k141_1191	Rhodococcus
k141_1193	Others
k141_493	Rhodococcus
k141_1165	Rhodococcus
k141_1073	Rhodococcus
k141_2043	Rhodococcus
k141_1100	Rhodococcus
k141_1388	Rhodococcus
k141_290	Others
k141_1901	Rhodococcus
k141_1906	Others
k141_2176	Rhodococcus
k141_916	Others
k141_1106	Others
k141_480	Rhodococcus
k141_1811	Rhodococcus
k141_535	Others
k141_321	Others
k141_318	Rhodococcus
k141_683	Others
k141_327	Others
k141_505	Rhodococcus
k141_676	Rhodococcus
k141_1974	Rhodococcus
k141_1660	Others
k141_1437	Rhodococcus
k141_1981	Others
k141_1666	Rhodococcus
k141_1826	Rhodococcus
k141_1989	Rhodococcus
k141_403	Rhodococcus
k141_1771	Rhodococcus
k141_1133	Rhodococcus
k141_1111	Rhodococcus
k141_1880	Rhodococcus
k141_653	Rhodococcus
k141_1774	Rhodococcus
k141_1449	Rhodococcus
k141_2149	Others
k141_439	Others
k141_1001	Rhodococcus
k141_955	Rhodococcus
k141_1398	Rhodococcus
k141_444	Rhodococcus
k141_631	Others
k141_1462	Rhodococcus
k141_756	Rhodococcus
k141_625	Others
k141_205	Others
k141_1742	Rhodococcus
k141_758	Rhodococcus
k141_547	Rhodococcus
k141_246	Others
k141_243	Rhodococcus
k141_254	Rhodococcus
k141_218	Others
k141_2349	Others
k141_216	Rhodococcus
k141_333	Others
k141_331	Rhodococcus
k141_1173	Rhodococcus
k141_656	Others
k141_2319	Others
k141_506	Rhodococcus
k141_1466	Rhodococcus
k141_1849	Rhodococcus
k141_1236	Rhodococcus
k141_1328	Rhodococcus
k141_1151	Rhodococcus
k141_452	Rhodococcus
k141_372	Others
k141_406	Rhodococcus
k141_962	Rhodococcus
k141_1405	Rhodococcus
k141_2023	Rhodococcus
k141_1617	Others
k141_1919	Rhodococcus
k141_2218	Rhodococcus
k141_1147	Others
k141_1150	Rhodococcus
k141_764	Rhodococcus
k141_2186	Rhodococcus
k141_700	Rhodococcus
k141_1181	Rhodococcus
k141_334	Rhodococcus
k141_2254	Rhodococcus
k141_1960	Rhodococcus
k141_2031	Rhodococcus
k141_1297	Rhodococcus
k141_881	Rhodococcus
k141_667	Rhodococcus
k141_2327	Rhodococcus
k141_1240	Rhodococcus
k141_890	Rhodococcus
k141_2038	Rhodococcus
k141_1745	Rhodococcus
k141_1155	Rhodococcus
k141_261	Rhodococcus
k141_2064	Rhodococcus
k141_516	Rhodococcus
k141_2100	Rhodococcus
k141_805	Others
k141_2257	Rhodococcus
k141_2067	Rhodococcus
k141_1255	Rhodococcus
k141_810	Rhodococcus
k141_2288	Rhodococcus
k141_1480	Rhodococcus
k141_773	Rhodococcus
k141_2291	Rhodococcus
k141_2364	Rhodococcus
k141_2073	Rhodococcus
k141_2331	Rhodococcus
k141_2105	Others
k141_1497	Others
k141_301	Others
k141_1792	Rhodococcus
k141_167	Rhodococcus
k141_713	Rhodococcus
k141_175	Rhodococcus
k141_1490	Others
k141_1537	Rhodococcus
k141_1416	Rhodococcus
k141_2119	Rhodococcus
k141_80	Rhodococcus
k141_47	Others
k141_50	Rhodococcus
k141_411	Others
k141_2115	Rhodococcus
k141_2119	Rhodococcus
k141_80	Rhodococcus
k141_47	Others
k141_50	Rhodococcus
k141_411	Others
k141_2115	Rhodococcus
k141_419	Others
k141_900	Rhodococcus
k141_2189	Rhodococcus
k141_2299	Rhodococcus
k141_1604	Rhodococcus
k141_1605	Rhodococcus
k141_1799	Rhodococcus
k141_2194	Rhodococcus
k141_522	Rhodococcus
k141_1004	Rhodococcus
k141_936	Rhodococcus
k141_932	Rhodococcus
k141_1560	Rhodococcus
k141_1122	Rhodococcus
k141_345	Others
k141_182	Rhodococcus
k141_2121	Rhodococcus
k141_724	Rhodococcus
k141_105	Rhodococcus
k141_1340	Rhodococcus
k141_1749	Rhodococcus
k141_2236	Rhodococcus
k141_864	Rhodococcus
k141_1264	Rhodococcus
k141_1344	Rhodococcus
k141_59	Rhodococcus
k141_179	Rhodococcus
k141_2162	Others
k141_1672	Rhodococcus
k141_1856	Rhodococcus
k141_1932	Rhodococcus
k141_135	Others
k141_601	Others
k141_141	Others
k141_1854	Others
k141_2079	Others
k141_1267	Others
k141_1944	Rhodococcus
k141_1724	Rhodococcus
k141_1424	Rhodococcus
k141_1943	Rhodococcus
k141_1716	Rhodococcus
k141_1941	Rhodococcus
k141_1869	Rhodococcus
k141_2130	Rhodococcus
k141_1866	Rhodococcus
k141_232	Rhodococcus
k141_1376	Rhodococcus
k141_72	Others
k141_314	Rhodococcus
k141_1568	Rhodococcus
k141_1556	Rhodococcus
k141_1676	Rhodococcus
k141_1436	Rhodococcus
k141_278	Others
k141_285	Rhodococcus
k141_271	Rhodococcus
k141_2005	Rhodococcus
k141_945	Rhodococcus
k141_1020	Rhodococcus
k141_464	Rhodococcus
k141_1125	Others
k141_830	Rhodococcus
k141_567	Rhodococcus
k141_489	Rhodococcus
k141_145	Others
k141_734	Rhodococcus
k141_741	Others
k141_2166	Others
k141_467	Rhodococcus
k141_907	Rhodococcus
k141_2	Others
k141_909	Rhodococcus
k141_743	Rhodococcus
k141_19	Rhodococcus
k141_23	Others
k141_28	Rhodococcus
k141_35	Others
k141_13	Rhodococcus
k141_1071	Rhodococcus
k141_1640	Rhodococcus
k141_2137	Others
k141_1646	Rhodococcus
k141_1650	Others
k141_1352	Rhodococcus
k141_429	Others
k141_993	Others
k141_1273	Rhodococcus
k141_2268	Rhodococcus
k141_1359	Rhodococcus
k141_2207	Rhodococcus
k141_648	Rhodococcus
k141_1873	Others
k141_1694	Rhodococcus
k141_1699	Rhodococcus
k141_1728	Rhodococcus
k141_398	Rhodococcus
k141_845	Rhodococcus
k141_236	Others
k141_2091	Rhodococcus
k141_1161	Rhodococcus
k141_377	Others
k141_1046	Rhodococcus
k141_1192	Others
k141_1194	Rhodococcus
k141_494	Others
k141_2314	Rhodococcus
k141_2044	Rhodococcus
k141_1101	Rhodococcus
k141_1102	Others
k141_291	Others
k141_2172	Rhodococcus
k141_1907	Others
k141_2177	Others
k141_917	Others
k141_1764	Rhodococcus
k141_1915	Rhodococcus
k141_1812	Rhodococcus
k141_536	Others
k141_1367	Rhodococcus
k141_319	Others
k141_1733	Rhodococcus
k141_199	Others
k141_1276	Others
k141_677	Others
k141_1655	Others
k141_1661	Others
k141_1738	Rhodococcus
k141_1982	Others
k141_1667	Rhodococcus
k141_1662	Rhodococcus
k141_876	Rhodococcus
k141_404	Rhodococcus
k141_1317	Rhodococcus
k141_875	Rhodococcus
k141_1112	Rhodococcus
k141_1881	Others
k141_1775	Rhodococcus
k141_973	Rhodococcus
k141_1884	Rhodococcus
k141_958	Rhodococcus
k141_960	Others
k141_2142	Rhodococcus
k141_1399	Rhodococcus
k141_445	Others
k141_1287	Rhodococcus
k141_1290	Rhodococcus
k141_757	Rhodococcus
k141_626	Rhodococcus
k141_206	Others
k141_213	Rhodococcus
k141_1293	Rhodococcus
k141_548	Others
k141_551	Rhodococcus
k141_543	Others
k141_1778	Others
k141_2344	Rhodococcus
k141_223	Others
k141_1831	Others
k141_1168	Rhodococcus
k141_923	Rhodococcus
k141_1174	Others
k141_792	Others
k141_1951	Others
k141_797	Rhodococcus
k141_1842	Rhodococcus
k141_1850	Others
k141_2215	Rhodococcus
k141_2231	Rhodococcus
k141_453	Others
k141_373	Others
k141_367	Rhodococcus
k141_963	Rhodococcus
k141_1406	Rhodococcus
k141_2024	Rhodococcus
k141_1923	Rhodococcus
k141_1920	Rhodococcus
k141_1177	Rhodococcus
k141_1148	Rhodococcus
k141_765	Rhodococcus
k141_2252	Rhodococcus
k141_701	Rhodococcus
k141_1182	Others
k141_658	Rhodococcus
k141_1442	Rhodococcus
k141_925	Rhodococcus
k141_2326	Rhodococcus
k141_801	Rhodococcus
k141_882	Rhodococcus
k141_668	Rhodococcus
k141_2279	Rhodococcus
k141_1623	Others
k141_891	Rhodococcus
k141_884	Rhodococcus
k141_1785	Rhodococcus
k141_1780	Rhodococcus
k141_262	Rhodococcus
k141_2065	Rhodococcus
k141_1474	Rhodococcus
k141_2101	Rhodococcus
k141_2287	Rhodococcus
k141_2258	Rhodococcus
k141_1246	Rhodococcus
k141_1256	Rhodococcus
k141_811	Rhodococcus
k141_1481	Others
k141_774	Others
k141_2292	Rhodococcus
k141_2365	Others
k141_2074	Rhodococcus
k141_2332	Rhodococcus
k141_2106	Others
k141_719	Rhodococcus
k141_302	Rhodococcus
k141_162	Others
k141_168	Others
k141_176	Others
k141_714	Rhodococcus
k141_1201	Rhodococcus
k141_1417	Rhodococcus
k141_38	Rhodococcus
k141_41	Others
k141_1226	Rhodococcus
k141_51	Rhodococcus
k141_94	Others
k141_2116	Others
k141_38	Rhodococcus
k141_41	Others
k141_1226	Rhodococcus
k141_51	Rhodococcus
k141_94	Others
k141_2116	Others
k141_420	Others
k141_901	Others
k141_2190	Rhodococcus
k141_892	Rhodococcus
k141_1538	Rhodococcus
k141_1606	Rhodococcus
k141_1800	Rhodococcus
k141_1601	Rhodococcus
k141_929	Others
k141_1005	Rhodococcus
k141_1013	Rhodococcus
k141_933	Rhodococcus
k141_1116	Rhodococcus
k141_978	Rhodococcus
k141_1015	Others
k141_66	Rhodococcus
k141_861	Rhodococcus
k141_856	Rhodococcus
k141_106	Rhodococcus
k141_1299	Others
k141_1207	Rhodococcus
k141_2126	Rhodococcus
k141_188	Others
k141_1304	Rhodococcus
k141_1938	Rhodococcus
k141_60	Others
k141_180	Rhodococcus
k141_2163	Others
k141_983	Others
k141_1857	Rhodococcus
k141_132	Others
k141_1937	Rhodococcus
k141_602	Rhodococcus
k141_142	Others
k141_1855	Rhodococcus
k141_2080	Rhodococcus
k141_1753	Rhodococcus
k141_457	Others
k141_1430	Rhodococcus
k141_1720	Rhodococcus
k141_1421	Rhodococcus
k141_1942	Rhodococcus
k141_1870	Rhodococcus
k141_308	Others
k141_1562	Rhodococcus
k141_1451	Rhodococcus
k141_73	Others
k141_315	Others
k141_1569	Rhodococcus
k141_611	Rhodococcus
k141_267	Rhodococcus
k141_608	Others
k141_279	Others
k141_1802	Rhodococcus
k141_272	Others
k141_2006	Others
k141_1806	Rhodococcus
k141_2337	Rhodococcus
k141_730	Rhodococcus
k141_1126	Others
k141_831	Rhodococcus
k141_485	Rhodococcus
k141_490	Rhodococcus
k141_828	Rhodococcus
k141_735	Rhodococcus
k141_2164	Others
k141_2167	Rhodococcus
k141_2342	Others
k141_674	Others
k141_3	Others
k141_2202	Rhodococcus
k141_1030	Others
k141_498	Rhodococcus
k141_1034	Rhodococcus
k141_1066	Others
k141_14	Others
k141_359	Rhodococcus
k141_1641	Rhodococcus
k141_1222	Rhodococcus
k141_1354	Rhodococcus
k141_1757	Rhodococcus
k141_1644	Others
k141_990	Rhodococcus
k141_994	Others
k141_192	Others
k141_578	Rhodococcus
k141_1312	Others
k141_2208	Rhodococcus
k141_392	Rhodococcus
k141_586	Rhodococcus
k141_1695	Rhodococcus
k141_588	Rhodococcus
k141_582	Others
k141_1877	Rhodococcus
k141_1365	Rhodococcus
k141_1876	Others
k141_848	Rhodococcus
k141_1162	Others
k141_1044	Others
k141_385	Others
k141_388	Rhodococcus
k141_1195	Rhodococcus
k141_1041	Rhodococcus
k141_1074	Rhodococcus
k141_2045	Rhodococcus
k141_2049	Rhodococcus
k141_1103	Rhodococcus
k141_292	Others
k141_1902	Rhodococcus
k141_2173	Others
k141_2178	Others
k141_918	Others
k141_1895	Rhodococcus
k141_1916	Others
k141_2139	Rhodococcus
k141_1913	Rhodococcus
k141_1583	Rhodococcus
k141_1734	Rhodococcus
k141_200	Others
k141_1277	Rhodococcus
k141_678	Rhodococcus
k141_1740	Rhodococcus
k141_2209	Rhodococcus
k141_999	Rhodococcus
k141_1704	Rhodococcus
k141_1668	Others
k141_1977	Rhodococcus
k141_877	Rhodococcus
k141_1768	Rhodococcus
k141_1368	Rhodococcus
k141_1984	Rhodococcus
k141_1777	Others
k141_1882	Others
k141_1323	Rhodococcus
k141_974	Rhodococcus
k141_431	Rhodococcus
k141_1885	Rhodococcus
k141_1389	Rhodococcus
k141_2143	Others
k141_1400	Rhodococcus
k141_446	Others
k141_632	Rhodococcus
k141_1291	Others
k141_1609	Rhodococcus
k141_1283	Rhodococcus
k141_207	Others
k141_538	Rhodococcus
k141_1294	Others
k141_549	Rhodococcus
k141_552	Rhodococcus
k141_853	Others
k141_2343	Rhodococcus
k141_219	Rhodococcus
k141_2350	Rhodococcus
k141_249	Rhodococcus
k141_654	Rhodococcus
k141_924	Rhodococcus
k141_1175	Rhodococcus
k141_793	Rhodococcus
k141_2320	Rhodococcus
k141_798	Others
k141_1843	Others
k141_1851	Others
k141_1235	Rhodococcus
k141_2232	Rhodococcus
k141_454	Others
k141_557	Others
k141_1143	Rhodococcus
k141_1997	Rhodococcus
k141_1407	Others
k141_1591	Rhodococcus
k141_1924	Rhodococcus
k141_1468	Others
k141_2219	Rhodococcus
k141_2221	Rhodococcus
k141_2217	Rhodococcus
k141_697	Rhodococcus
k141_1953	Rhodococcus
k141_260	Rhodococcus
k141_335	Others
k141_702	Rhodococcus
k141_664	Rhodococcus
k141_509	Rhodococcus
k141_883	Rhodococcus
k141_879	Rhodococcus
k141_1472	Rhodococcus
k141_1241	Rhodococcus
k141_1628	Rhodococcus
k141_885	Rhodococcus
k141_1786	Rhodococcus
k141_1781	Rhodococcus
k141_512	Rhodococcus
k141_2066	Rhodococcus
k141_1445	Rhodococcus
k141_2282	Rhodococcus
k141_770	Rhodococcus
k141_2259	Rhodococcus
k141_1247	Rhodococcus
k141_2355	Rhodococcus
k141_812	Others
k141_1482	Others
k141_775	Rhodococcus
k141_2293	Rhodococcus
k141_2366	Others
k141_778	Rhodococcus
k141_2333	Rhodococcus
k141_2107	Rhodococcus
k141_1790	Rhodococcus
k141_155	Others
k141_1793	Rhodococcus
k141_2113	Rhodococcus
k141_177	Others
k141_715	Rhodococcus
k141_1202	Others
k141_1488	Rhodococcus
k141_2120	Rhodococcus
k141_42	Others
k141_48	Rhodococcus
k141_88	Rhodococcus
k141_95	Rhodococcus
k141_1502	Rhodococcus
k141_2120	Rhodococcus
k141_42	Others
k141_48	Rhodococcus
k141_88	Rhodococcus
k141_95	Rhodococcus
k141_1502	Rhodococcus
k141_421	Rhodococcus
k141_902	Rhodococcus
k141_2191	Rhodococcus
k141_893	Rhodococcus
k141_1539	Rhodococcus
k141_1607	Rhodococcus
k141_1077	Rhodococcus
k141_1602	Rhodococcus
k141_1801	Rhodococcus
k141_1006	Rhodococcus
k141_937	Rhodococcus
k141_934	Others
k141_1117	Others
k141_979	Rhodococcus
k141_838	Others
k141_1675	Rhodococcus
k141_2122	Others
k141_783	Others
k141_107	Rhodococcus
k141_1341	Rhodococcus
k141_1208	Rhodococcus
k141_787	Rhodococcus
k141_1305	Others
k141_1345	Rhodococcus
k141_2151	Rhodococcus
k141_722	Rhodococcus
k141_781	Rhodococcus
k141_1673	Rhodococcus
k141_1930	Rhodococcus
k141_133	Others
k141_1862	Rhodococcus
k141_603	Rhodococcus
k141_263	Rhodococcus
k141_122	Rhodococcus
k141_2081	Rhodococcus
k141_1518	Rhodococcus
k141_1085	Rhodococcus
k141_1725	Rhodococcus
k141_2237	Rhodococcus
k141_1422	Rhodococcus
k141_1083	Rhodococcus
k141_304	Rhodococcus
k141_309	Rhodococcus
k141_1867	Rhodococcus
k141_352	Rhodococcus
k141_349	Rhodococcus
k141_1570	Rhodococcus
k141_605	Rhodococcus
k141_612	Rhodococcus
k141_1063	Rhodococcus
k141_1060	Others
k141_1682	Rhodococcus
k141_286	Others
k141_1681	Rhodococcus
k141_2007	Rhodococcus
k141_111	Rhodococcus
k141_1021	Rhodococcus
k141_731	Rhodococcus
k141_460	Rhodococcus
k141_559	Rhodococcus
k141_1632	Rhodococcus
k141_491	Others
k141_146	Others
k141_736	Rhodococcus
k141_2165	Rhodococcus
k141_1970	Rhodococcus
k141_529	Others
k141_908	Rhodococcus
k141_4	Rhodococcus
k141_2168	Others
k141_1065	Rhodococcus
k141_24	Others
k141_29	Others
k141_1067	Rhodococcus
k141_911	Rhodococcus
k141_360	Others
k141_1038	Rhodococcus
k141_2138	Rhodococcus
k141_1355	Others
k141_841	Rhodococcus
k141_1645	Others
k141_865	Others
k141_2205	Others
k141_2265	Rhodococcus
k141_579	Rhodococcus
k141_870	Rhodococcus
k141_644	Rhodococcus
k141_649	Rhodococcus
k141_393	Rhodococcus
k141_2241	Rhodococcus
k141_1700	Rhodococcus
k141_583	Rhodococcus
k141_2082	Rhodococcus
k141_2083	Rhodococcus
k141_1729	Others
k141_2310	Rhodococcus
k141_2086	Rhodococcus
k141_378	Others
k141_1047	Rhodococcus
k141_1051	Rhodococcus
k141_1447	Rhodococcus
k141_495	Others
k141_849	Rhodococcus
k141_2046	Rhodococcus
k141_1381	Rhodococcus
k141_1104	Rhodococcus
k141_293	Others
k141_1903	Rhodococcus
k141_2174	Rhodococcus
k141_2179	Others
k141_1457	Rhodococcus
k141_1896	Rhodococcus
k141_1917	Rhodococcus
k141_477	Others
k141_1584	Rhodococcus
k141_324	Rhodococcus
k141_201	Rhodococcus
k141_1278	Rhodococcus
k141_679	Rhodococcus
k141_1975	Others
k141_1438	Rhodococcus
k141_1705	Others
k141_1983	Rhodococcus
k141_1978	Others
k141_483	Others
k141_1769	Rhodococcus
k141_1318	Others
k141_1985	Others
k141_1113	Rhodococcus
k141_2245	Rhodococcus
k141_1776	Rhodococcus
k141_448	Others
k141_432	Others
k141_440	Others
k141_1458	Rhodococcus
k141_2144	Others
k141_1401	Rhodococcus
k141_447	Others
k141_2271	Rhodococcus
k141_1586	Rhodococcus
k141_627	Rhodococcus
k141_208	Rhodococcus
k141_759	Rhodococcus
k141_244	Rhodococcus
k141_247	Rhodococcus
k141_854	Rhodococcus
k141_1833	Others
k141_2345	Rhodococcus
k141_224	Rhodococcus
k141_1832	Others
k141_655	Others
k141_691	Rhodococcus
k141_2246	Rhodococcus
k141_794	Rhodococcus
k141_2249	Rhodococcus
k141_507	Rhodococcus
k141_2216	Rhodococcus
k141_1852	Rhodococcus
k141_1465	Others
k141_1152	Rhodococcus
k141_2226	Rhodococcus
k141_558	Others
k141_1144	Others
k141_1998	Rhodococcus
k141_1613	Rhodococcus
k141_1592	Rhodococcus
k141_1618	Rhodococcus
k141_1921	Others
k141_2054	Rhodococcus
k141_1149	Rhodococcus
k141_255	Rhodococcus
k141_2253	Others
k141_1954	Rhodococcus
k141_2185	Rhodococcus
k141_336	Others
k141_703	Rhodococcus
k141_2027	Rhodococcus
k141_2276	Rhodococcus
k141_1927	Rhodococcus
k141_2035	Rhodococcus
k141_1624	Rhodococcus
k141_1629	Rhodococcus
k141_886	Rhodococcus
k141_1197	Others
k141_1782	Rhodococcus
k141_1242	Rhodococcus
k141_1446	Rhodococcus
k141_1964	Rhodococcus
k141_2260	Others
k141_1248	Rhodococcus
k141_2356	Rhodococcus
k141_813	Rhodococcus
k141_1483	Rhodococcus
k141_776	Rhodococcus
k141_2294	Rhodococcus
k141_2367	Others
k141_779	Rhodococcus
k141_2334	Others
k141_2108	Rhodococcus
k141_1671	Others
k141_156	Others
k141_163	Others
k141_1498	Others
k141_834	Rhodococcus
k141_1493	Rhodococcus
k141_1669	Rhodococcus
k141_1418	Rhodococcus
k141_76	Others
k141_1509	Rhodococcus
k141_1227	Rhodococcus
k141_89	Rhodococcus
k141_412	Rhodococcus
k141_1503	Rhodococcus
k141_76	Others
k141_1509	Rhodococcus
k141_1227	Rhodococcus
k141_89	Rhodococcus
k141_412	Rhodococcus
k141_1503	Rhodococcus
k141_422	Others
k141_903	Others
k141_1374	Rhodococcus
k141_894	Rhodococcus
k141_1540	Rhodococcus
k141_1608	Rhodococcus
k141_1078	Rhodococcus
k141_2195	Rhodococcus
k141_930	Rhodococcus
k141_1007	Rhodococcus
k141_670	Rhodococcus
k141_339	Rhodococcus
k141_1118	Rhodococcus
k141_1818	Rhodococcus
k141_346	Others
k141_2263	Rhodococcus
k141_862	Rhodococcus
k141_784	Others
k141_108	Rhodococcus
k141_1300	Rhodococcus
k141_1209	Others
k141_99	Rhodococcus
k141_1306	Rhodococcus
k141_1939	Rhodococcus
k141_61	Rhodococcus
k141_2157	Rhodococcus
k141_2150	Rhodococcus
k141_1858	Rhodococcus
k141_1933	Rhodococcus
k141_1863	Rhodococcus
k141_226	Others
k141_264	Others
k141_123	Rhodococcus
k141_1351	Rhodococcus
k141_1519	Rhodococcus
k141_1086	Rhodococcus
k141_1431	Others
k141_455	Rhodococcus
k141_988	Others
k141_569	Rhodococcus
k141_305	Rhodococcus
k141_310	Others
k141_1563	Rhodococcus
k141_1452	Rhodococcus
k141_350	Rhodococcus
k141_316	Others
k141_1379	Rhodococcus
k141_613	Rhodococcus
k141_1677	Rhodococcus
k141_1061	Others
k141_1018	Rhodococcus
k141_1803	Rhodococcus
k141_273	Rhodococcus
k141_2008	Others
k141_112	Others
k141_1022	Others
k141_465	Rhodococcus
k141_2340	Rhodococcus
k141_560	Others
k141_1633	Rhodococcus
k141_492	Rhodococcus
k141_829	Others
k141_1220	Rhodococcus
k141_2308	Others
k141_1754	Rhodococcus
k141_468	Others
k141_1089	Rhodococcus
k141_5	Others
k141_2169	Others
k141_1820	Rhodococcus
k141_499	Rhodococcus
k141_30	Others
k141_1823	Rhodococcus
k141_912	Others
k141_361	Others
k141_1039	Others
k141_36	Rhodococcus
k141_1356	Others
k141_1758	Others
k141_1574	Rhodococcus
k141_430	Others
k141_1762	Rhodococcus
k141_193	Rhodococcus
k141_868	Rhodococcus
k141_997	Rhodococcus
k141_1310	Rhodococcus
k141_1686	Rhodococcus
k141_587	Rhodococcus
k141_1360	Rhodococcus
k141_1871	Rhodococcus
k141_399	Rhodococcus
k141_2084	Rhodococcus
k141_1730	Rhodococcus
k141_2092	Rhodococcus
k141_241	Rhodococcus
k141_379	Others
k141_1048	Rhodococcus
k141_389	Rhodococcus
k141_496	Others
