cohort	raw	host	filtered	clean
Control	21711501	21679437	9063	23001
Control	24749826	24704467	38457	6902
Control	14733131	14679020	12987	41124
Control	27752492	27725767	23509	3216
COVID	32935097	30019616	2289624	625857
Control	15199683	15144016	4810	50857
Control	33440693	25114683	6515119	1810891
COVID	31341856	30932246	269682	139928
Control	15959821	15635446	117442	206933
Control	29376950	28493337	403282	480331
Control	36513463	35772451	119066	621946
Control	15139834	15074906	60843	4085
Control	45631101	45251491	323760	55850
Control	55731046	54994921	224886	511239
Control	27529488	27426196	46548	56744
Control	6309026	6283415	8731	16880
Control	21151245	19536238	808808	806199
Control	36280015	36189329	10541	80145
Control	51466649	50940670	119852	406127
Control	53327480	51026018	938175	1363287
Control	13497032	11997537	700007	799488
Control	27193846	27110422	23942	59482
Control	17241614	17190459	10729	40426
Control	8535444	8498209	5121	32114
Control	40578604	39009759	1001905	566940
COVID	11294954	11259456	30453	5045
Control	32994752	32908425	73303	13024
Control	2047545	2036160	2557	8828
Control	18682830	17314430	634538	733862
Control	14165570	14030353	47283	87934
Control	12261344	12186584	28439	46321
Control	32760132	32557198	166053	36881
Control	28937867	28737843	100354	99670
Control	37112811	36729155	340606	43050
Control	41334028	41043057	140066	150905
COVID	44346885	44178009	4899	163977
Control	23837979	15399543	7685169	753267
Control	17717455	16416454	473403	827598
Control	20183683	19737653	173531	272499
Control	14963978	14899161	20891	43926
Control	32976758	32976342	1	415
Control	58060857	57111428	165638	783791
Control	30657687	29978475	231280	447932
COVID	16259784	11907069	346926	4005789
Control	19321446	17840550	1125718	355178
Control	7172889	7141607	4424	26858
Control	20612194	20480475	15933	115786
Control	42367570	41688557	271233	407780
Control	49558249	49041279	380983	135987
Control	28753458	28650416	6235	96807
Control	20375230	20324182	12759	38289
Control	23776327	23084739	336268	355320
Control	25327217	25322362	3268	1587
Control	30344987	30100932	199800	44255
COVID	29968293	24177179	950196	4840918
COVID	10380024	10269306	29743	80975
Control	26150618	25784678	78795	287145
Control	25473919	25308392	7580	157947
Control	19056331	19009904	19476	26951
Control	28509623	27883918	485511	140194
COVID	22367615	12978250	2534944	6854421
Control	47597497	46917283	380961	299253
Control	23335991	22247675	322998	765318
Control	36871602	34806574	1607999	457029
Control	58872485	58723676	19991	128818
Control	12187074	12147973	10814	28287
Control	12145829	11732486	229526	183817
Control	18550529	18478483	8647	63399
Control	25928913	25234165	296662	398086
COVID	51099271	49670526	458484	970261
COVID	76006381	75019234	266827	720320
Control	43835829	43341217	75134	419478
Control	45110714	41919002	2552524	639188
Control	22389106	22185412	175559	28135
Control	7412669	7337153	45012	30504
COVID	2350920.768	2342554.768	1628	6738
Control	23939355	23853953	24459	60943
Control	29709546	29365898	98934	244714
Control	46951071	42980401	2410262	1560408
Control	14712346	12965760	881721	864865
Control	12997573	12640867	232621	124085
COVID	9902669	9870948	29045	2676
Control	68349613	67771805	238230	339578
Control	41258224	40847080	322223	88921
COVID	10316221	10123953	138354	53914
Control	35160925	34727445	114793	318687
Control	47154029	24739497	20899353	1515179
COVID	34929095	34191699	478275	259121
COVID	77779025	76440050	171842	1167133
Control	22969930	22210110	157575	602245
COVID	12222669	11938138	37985	246546
COVID	27023368	26542328	377181	103859
COVID	26643881	24714878	1292894	636109
Control	28774982	28715748	14228	45006
Control	20618040	20523999	13879	80162
Control	15050442	14696916	24461	329065
Control	39455449	39051622	124642	279185
COVID	25928306	24120008	1263025	545273
Control	18873383	18839061	6644	27678
Control	24172544	24124869	37818	9857
Control	30563116	28672488	1487555	403073
Control	22878986	22704666	108582	65738
COVID	24601620	23719919	611684	270017
Control	54297387	53882742	277263	137382
Control	13938363	12303042	815165	820156
Control	22954047	22394284	389649	170114
COVID	22469460	22433495	6319	29646
COVID	37748330	37230443	114455	403432
Control	26421708	25549240	717051	155417
Control	22177906	21684789	422450	70667
Control	2288344	2288296	0	48
Control	32631866	32344346	235465	52055
Control	31150483	30783956	126200	240327
Control	43840231	43790866	10768	38597
Control	22193726	21883828	126425	183473
Control	23813669	23730469	21873	61327
Control	2790388	2778279	1736	10373
Control	29192147	29120789	59526	11832
Control	21668277	21416950	219152	32175
Control	21164849	20452372	152986	559491
Control	20754914	20631588	26574	96752
Control	36404188	35617446	333122	453620
Control	16699692	16325711	314699	59282
Control	5178441	5155362	21088	1991
Control	22836808	22704536	33209	99063
Control	20140700	19858851	165284	116565
Control	15059760	14870383	121328	68049
COVID	23758911	22631926	855913	271072
COVID	15702138	15174616	67784	459738
Control	40052116	40047781	688	3647
Control	15636376	14434296	408935	793145
Control	29725267	29121911	295952	307404
Control	40430598	34180733	3757236	2492629
Control	6564703	6536452	23900	4351
COVID	30501515	29663661	669643	168211
Control	30648106	26939233	3072090	636783
COVID	18545825	11584016	6245197	716612
Control	27060972	27004912	5028	51032
Control	32738315	31892456	188303	657556
Control	48153387	38558481	3216911	6377995
Control	58437112	58130113	185306	121693
Control	11919977	11799043	52886	68048
Control	6197086	6128217	27676	41193
Control	34598614	34344638	138759	115217
COVID	49569901	48359968	123409	1086524
Control	25912197	25434699	369927	107571
Control	31520493	31158738	153788	207967
Control	13236121	13199545	3864	32712
Control	50779244	38567189	4658484	7553571
