cohort	raw	host	filtered	clean
Control	47726071	44810750	2693039	222282
COVID	12945258	12873428	4946	66884
Control	24098925	23757519	290801	50605
COVID	40694038	33988558	2179505	4525975
Control	20858960	20769234	23357	66369
COVID	57588047	56957813	140752	489482
Control	25394701	25014699	201279	178723
Control	22491472	22423672	47059	20741
COVID	20669521	19380403	348963	940155
Control	32161107	31538390	183487	439230
Control	19369861	19249084	50965	69812
COVID	25379301	25107253	48266	223782
Control	44789785	44418945	223407	147433
Control	19297873	19260907	4280	32686
Control	37047470	33686360	2764964	596146
COVID	50000001	49005776	25283	968942
Control	27613868	26888850	506079	218939
Control	21871968	21552887	143504	175577
COVID	48426879	47841464	433135	152280
Control	33076116	32705270	134970	235876
Control	24242987	24150652	9436	82899
Control	22480781	22298408	14605	167768
Control	24446367	22949614	1102584	394169
Control	57764140	54170144	1350292	2243704
Control	23536199	22971483	274144	290572
Control	25704010	23885006	1000449	818555
COVID	17654693	17326842	75113	252738
COVID	27331933	18206010	1129132	7996791
COVID	28603205	25577514	2065421	960270
COVID	23063192	18641283	2328061	2093848
Control	39415695	36627433	2107923	680339
Control	21549849	19286945	1824969	437935
COVID	11382897	10996632	111616	274649
COVID	16183687	16128269	7766	47652
Control	36016375	35739526	147853	128996
Control	60372218	58940935	163721	1267562
Control	27044418	26274886	595443	174089
COVID	46185669	45611119	206927	367623
Control	54082690	53193232	215441	674017
Control	16541608	16336990	177914	26704
COVID	29537948	28763381	498164	276403
Control	22823207	22518247	22739	282221
Control	47051652	46494897	151043	405712
Control	36920160	36701609	52387	166164
Control	22897460	22556441	62655	278364
COVID	26538865	26029031	345363	164471
Control	4249849	4190980	40120	18749
Control	19551881	19477388	26659	47834
Control	18852462	18739034	15215	98213
Control	22183490	21120975	923190	139325
Control	14477068	14428011	36551	12506
Control	32006972	29378695	2357423	270854
Control	18717732	18356180	69724	291828
Control	22098271	21988686	42831	66754
Control	26464746	25149037	656021	659688
Control	31843843	31739509	22126	82208
Control	13863062	13826500	5203	31359
Control	19768404	16823287	2560447	384670
Control	21961292	21870639	13785	76868
Control	31562134	31488225	9005	64904
Control	32183000	31895986	231534	55480
Control	92087415	88868635	417285	2801495
Control	37773956	37098626	204212	471118
COVID	10026383	9948075	48644	29664
Control	58368355	57339621	318505	710229
COVID	25241586	25124109	10082	107395
COVID	27337210	27125702	62556	148952
COVID	20103346	19832355	46553	224438
Control	13919858	13838576	24613	56669
Control	25772823	24733890	888080	150853
Control	19671243	19587848	30801	52594
COVID	8309321	7622113	327388	359820
Control	44876597	43789039	799283	288275
Control	22663096	22599134	19953	44009
COVID	41509401	34701993	2717201	4090207
Control	57143447	53793169	1445769	1904509
Control	17965263	17900060	5739	59464
Control	77701258	76109267	257856	1334135
Control	10565996	10462689	86318	16989
Control	29662419	29363485	142971	155963
Control	15237706	15153902	8835	74969
Control	39482197	39053312	48961	379924
COVID	21234086	19293984	59411	1880691
Control	31960128	31735260	120624	104244
Control	12930233	12844520	5972	79741
COVID	9359927	9208580	44715	106632
Control	17242146	17172894	9237	60015
Control	29249027	29219040	21648	8339
Control	17763881	17763195	5	681
COVID	26844147	25744117	846613	253417
Control	32413978	32238961	21739	153278
Control	21309558	21307680	39	1839
Control	27334121	25605871	1371282	356968
COVID	46331408	44431969	145075	1754364
Control	23691738	23564263	7830	119645
Control	29263708	28958661	261422	43625
Control	25447589	23306449	906221	1234919
Control	56709762	56052739	271589	385434
Control	12106653	12038139	46054	22460
Control	15343253	10784796	3974600	583857
COVID	22737062	18871692	1951378	1913992
Control	16737421	15143645	836256	757520
COVID	19204220	18961432	77193	165595
Control	25911755	25790333	60182	61240
COVID	22254511	22005807	206671	42033
Control	5891199	5666753	174333	50113
Control	24101347	24040670	50302	10375
Control	27293769	27129088	7679	157002
COVID	20327085	20268440	47780	10865
COVID	26223869	22711244	3026527	486098
Control	46441194	44888137	1182025	371032
COVID	39439450	38361404	165764	912282
Control	49371912	49114512	41045	216355
Control	20376198	20354069	16905	5224
COVID	27073230	26400362	84615	588253
COVID	19851092	19239961	157444	453687
Control	17389900	17079483	47918	262499
COVID	22892430	20963220	213465	1715745
Control	19014688	18991580	20637	2471
COVID	22998172	22666281	43126	288765
Control	43832968	43444952	97194	290822
Control	22492908	22411550	7705	73653
Control	15345761	15218797	15923	111041
Control	39442229	37523772	1338819	579638
Control	21699508	20384081	175370	1140057
COVID	50699052	49708344	717385	273323
Control	4554600	4491371	16410	46819
COVID	4568647	4463430	90232	14985
Control	30114440	30083560	25316	5564
Control	16930000	16911828	14951	3221
Control	16577830	13867448	1099086	1611296
COVID	19578601	19373944	74915	129742
Control	12265102	10762022	823700	679380
Control	39687475	35203124	4156391	327960
Control	23903533	19780424	2549343	1573766
Control	20112763	19977681	12349	122733
Control	42032866	41905025	12292	115549
COVID	20587900	7583903	10444618	2559379
Control	27394916	25614349	1184202	596365
Control	21734383	21678425	8020	47938
Control	20680646	20647643	3718	29285
Control	37061628	36300554	48258	712816
Control	35312937	29518664	5077817	716456
Control	33603152	32814199	617338	171615
Control	35183926	34967129	161397	55400
Control	49627258	49503115	23257	100886
Control	24071650	23815438	40759	215453
Control	37004910	36581417	64171	359322
Control	2630946	2580440	11781	38725
Control	37797383	35592906	1921844	282633
Control	14376118	14324766	9357	41995
Control	16127678	16078940	15303	33435
Control	29870548	29637734	12670	220144
COVID	53441903	52668030	247955	525918
COVID	7736571	7235312	216618	284641
Control	27886528	26795484	133968	957076
COVID	24621465	24049284	427979	144202
Control	74523784	73836628	370982	316174
Control	17326963	17318180	6905	1878
Control	6481943	6424885	23607	33451
COVID	50000001	48881069	10896	1108036
COVID	23312571	19048743	2301957	1961871
COVID	35749428	29639092	4797884	1312452
COVID	33785120	33326728	175820	282572
COVID	48622364	48146026	356370	119968
COVID	22579204	21038932	833478	706794
Control	35645027	33743943	1266930	634154
Control	28611754	26485088	1145322	981344
Control	19127026	18599121	175870	352035
Control	11706417	11490548	21058	194811
COVID	52598352	50994474	330219	1273659
Control	23604660	23579381	19527	5752
Control	49218558	48494466	423105	300987
Control	27872025	27758982	21296	91747
COVID	13395106	10731275	1191457	1472374
Control	22931505	22224323	288771	418411
Control	14736584	14694825	5287	36472
Control	21202121	19814889	799615	587617
Control	42847163	42432593	344003	70567
COVID	16412374	16359043	13094	40237
COVID	13182350	10737357	1261378	1183615
Control	11677404	11571905	102208	3291
Control	25450347	24011407	1297059	141881
Control	50362436	50344580	13496	4360
Control	13320967	12739437	80619	500911
Control	41935343	39568319	1551466	815558
Control	30484953	29116596	1062265	306092
Control	41208789	41012304	13970	182515
Control	15826434	15767101	23542	35791
COVID	8904367	7737104	447011	720252
Control	42865968	42440516	225641	199811
Control	16104574	16045786	5222	53566
Control	27819104	27580464	28872	209768
Control	17222774	16798241	330758	93775
Control	22058448	22058071	6	371
COVID	25384556	24872613	274288	237655
Control	19377981	18235916	535771	606294
Control	13835842	13772098	29224	34520
Control	34254057	27592090	537336	6124631
Control	76171328	74732732	766206	672390
COVID	17575823	17443893	5850	126080
Control	77284210	77270861	312	13037
Control	107775376	105332260	134083	2309033
Control	103089955	101834186	758331	497438
Control	42022945	41284985	294879	443081
Control	39806100	39612857	139783	53460
Control	28367186	28125587	72125	169474
Control	18605687	18558690	5264	41733
Control	12192110	12062288	51370	78452
Control	8891270	8891256	2	12
Control	12730140	12460775	152161	117204
Control	20826949	19670400	634874	521675
Control	26412550	26400072	10308	2170
Control	45259959	45201516	54428	4015
Control	26484985	26027543	312727	144715
Control	12374313	12321450	6808	46055
Control	18623504	16329292	2120809	173403
Control	10813166	10809492	30	3644
COVID	9629588	9430689	101115	97784
Control	27923262	27614435	200057	108770
Control	7493735	7492877	574	284
Control	16276596	16121800	121378	33418
Control	44295388	43033370	186752	1075266
Control	49624234	49580899	35059	8276
Control	43164943	42939946	45780	179217
Control	8766468	8388329	29045	349094
Control	20575863	20205077	319475	51311
Control	16682737	16468613	34709	179415
COVID	20890633	20664480	65870	160283
COVID	15190732	15110370	8816	71546
Control	31994684	31537312	338640	118732
Control	17771447	9841949	4934605	2994893
Control	13213542	12940394	16960	256188
Control	33831527	33260773	328020	242734
Control	9951297	9858131	25584	67582
Control	20312886	18934090	664658	714138
Control	59943096	55411028	3616520	915548
Control	77575522	76717345	600072	258105
Control	25387026	25110373	151590	125063
Control	20781055	20766052	11380	3623
Control	59141352	58482830	270844	387678
COVID	52704300	51551597	926459	226244
Control	15976771	15967341	1560	7870
Control	30298021	30082001	38465	177555
Control	17189798	17071389	10643	107766
Control	11135128	11074543	23689	36896
Control	28724684	27975523	97036	652125
COVID	20220420	18829572	813442	577406
Control	38479362	37957930	19053	502379
Control	22377558	22277168	30997	69393
Control	23306241	21091059	2074984	140198
Control	26597883	26528366	9421	60096
Control	23856664	23207485	79015	570164
Control	38414191	36462289	1277569	674333
COVID	35189099	34455789	204029	529281
COVID	15641481	15548391	25927	67163
Control	14371421	14370778	6	637
Control	6362804	6321941	9163	31700
COVID	20513853	20101831	324895	87127
Control	10055657	9963178	968	91511
