case.cutoff	control.cutoff	mean_asmCov	mean_Signal	success_rate	asmCov_norm	Signal_norm	success_norm	tradeoff_score
2	0	51.764481123314	57.9315895860143	0.705384615384615	0.616137651167949	0.747271513794093	0.730538922155689	0.69798269570591
2	1	71.7625861400887	69.7427330678923	0.864615384615385	0.964833814142476	1	0.978443113772455	0.981092309304977
2	2	72.6271181233655	68.4808428378063	0.87	0.979908191693974	0.972998752568117	0.986826347305389	0.97991109718916
2	3	73.2411264101606	67.1844906137002	0.871538461538461	0.990614322772916	0.945260105950991	0.989221556886227	0.975031995203378
2	4	73.7008273649436	65.8196324636091	0.875384615384615	0.998629880192686	0.916055606430044	0.995209580838323	0.969965022487018
2	5	73.7714380657182	64.6915119321765	0.876153846153846	0.99986108086917	0.891916690955502	0.996407185628742	0.962728319151138
2	6	73.7714380657182	63.759150419159	0.876153846153846	0.99986108086917	0.871966521512289	0.996407185628742	0.956078262670067
2	7	73.7714380657182	62.6426790295305	0.876153846153846	0.99986108086917	0.848076868099311	0.996407185628742	0.948115044865741
2	8	73.7756319046661	61.6444735842359	0.876153846153846	0.999934206575233	0.826717805659772	0.996407185628742	0.941019732621249
2	9	73.7794052292897	60.8773877987699	0.878461538461539	1	0.810304117209679	1	0.936768039069893
2	10	73.7794052292897	60.073287351661	0.878461538461539	1	0.793098408967532	1	0.931032802989177
3	0	41.6413773997798	51.969394035977	0.592307692307692	0.439626555600212	0.619695664924216	0.554491017964072	0.537937746162833
3	1	61.0280432360969	65.3756096285819	0.755384615384615	0.777661383616303	0.906554644977037	0.808383233532934	0.830866420708758
3	2	61.8578694210587	65.5572074154052	0.764615384615385	0.792130614895429	0.910440376602651	0.822754491017964	0.841775160838681
3	3	62.47117682151	65.3391962161692	0.768461538461538	0.802824524997503	0.905775490392151	0.82874251497006	0.845780843453238
3	4	62.8808111216361	64.7583354829134	0.772307692307692	0.809967097184064	0.893346545299963	0.834730538922156	0.846014727135394
3	5	62.9341420529998	64.2839401238644	0.773076923076923	0.810896999848281	0.88319568893796	0.835928143712575	0.843340277499605
3	6	62.9341420529998	63.72766579602	0.773076923076923	0.810896999848281	0.871292830505411	0.835928143712575	0.839372658022089
3	7	62.9341420529998	63.0978757717979	0.773076923076923	0.810896999848281	0.857816922800671	0.835928143712575	0.834880688787175
3	8	62.957228682588	62.5471577241476	0.773076923076923	0.811299548947142	0.84603295465885	0.835928143712575	0.831086882439522
3	9	62.957228682588	62.2360605989115	0.773076923076923	0.811299548947142	0.839376265944115	0.835928143712575	0.828867986201277
3	10	62.957228682588	61.8469815096765	0.773076923076923	0.811299548947142	0.831050961168365	0.835928143712575	0.826092884609361
4	0	27.55795803768	40.5348520665507	0.44	0.194061573867888	0.375025495027041	0.317365269461078	0.295484112785336
4	1	45.5204511127224	54.1310770289478	0.595384615384615	0.507263870158958	0.665950193226983	0.559281437125749	0.577498500170563
4	2	46.2279841022202	54.5213795535496	0.603076923076923	0.519600740997912	0.674301676413713	0.57125748502994	0.588386634147188
4	3	46.5618266531119	54.5924839576721	0.606153846153846	0.525421773362525	0.675823130153057	0.576047904191617	0.5924309359024
4	4	46.9464420377273	54.5029059560338	0.61	0.532128104223567	0.673906388324789	0.582035928143713	0.596023473564023
4	5	46.9714825709646	54.3534444485993	0.610769230769231	0.532564722485715	0.670708291495475	0.583233532934132	0.595502182305107
4	6	46.9971932537244	54.1142663782138	0.610769230769231	0.533013025783367	0.665590487977557	0.583233532934132	0.593945682231685
4	7	46.9971932537244	53.8693171303169	0.610769230769231	0.533013025783367	0.660349195911869	0.583233532934132	0.592198584876456
4	8	47.0013870926724	53.636079186065	0.610769230769231	0.533086151489431	0.655358496013339	0.583233532934132	0.590559393478967
4	9	47.0013870926724	53.5219084524295	0.610769230769231	0.533086151489431	0.652915532152557	0.583233532934132	0.58974507219204
4	10	47.0013870926724	53.3707354230669	0.610769230769231	0.533086151489431	0.649680813098929	0.583233532934132	0.588666832507497
5	0	16.4283152540452	23.0082170693472	0.236153846153846	0	0	0	0
5	1	30.7370463381679	36.4519770705601	0.376153846153846	0.249493620614692	0.287662335085089	0.217964071856287	0.251706675852023
5	2	31.2988777122283	37.1626909904319	0.384615384615385	0.259289971029356	0.302869808719648	0.231137724550898	0.264432501433301
5	3	31.5027689030048	37.2575444007866	0.386153846153846	0.262845111670353	0.304899430902056	0.233532934131737	0.267092492234715
5	4	31.8873842876202	37.4878298681332	0.39	0.269551442531395	0.309826955290107	0.239520958083832	0.272966451968445
5	5	31.8873842876202	37.4501381158472	0.39	0.269551442531395	0.309020447477184	0.239520958083832	0.272697616030804
5	6	31.8873842876202	37.4096115780075	0.39	0.269551442531395	0.308153282449926	0.239520958083832	0.272408561021718
5	7	31.8873842876202	37.3690131501767	0.39	0.269551442531395	0.307284579159364	0.239520958083832	0.272118993258197
5	8	31.8915781265681	37.3274087358565	0.39	0.269624568237458	0.30639435031177	0.239520958083832	0.271846625544354
5	9	31.8915781265681	37.2366356945414	0.39	0.269624568237458	0.304452037668201	0.239520958083832	0.271199187996497
5	10	31.8915781265681	37.2248554767732	0.39	0.269624568237458	0.304199970913758	0.239520958083832	0.271115165745016
