prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p2	COVID	1	0.7993	5.0927	0.120695408	22	3474	2892	PE
p2	COVID	7	8.8386	73.5807	0.488189237	130	15934	12659	PE
p2	COVID	8	99.5385	58.7336	0.996197515	4557	39659	33919	PE
p2	COVID	5	99.475	34.9736	0.998541816	2348	42472	34775	PE
p2	COVID	1	99.8462	90.0575	0.998947519	7746	19776	17036	PE
p2	COVID	2	99.8595	67.2183	0.999031131	5902	101549	88739	PE
p2	COVID	18	94.0039	6.8277	0.977265169	1517	143191	130518	PE
p2	COVID	1	99.8562	5.8211	0.998995715	11582	307568	66982	PE
p2	COVID	27	85.3593	85.525	0.955463555	732	42988	8272	PE
p2	COVID	1	99.8729	97.8194	0.998764361	4328	11785	10422	PE
p2	COVID	0	0	0	0.055679882	15	917270	895534	PE
p2	COVID	5	6.5612	0.2905	0.387000596	104	586947	50666	PE
p2	COVID	0	0	0	0.008024072	3	1127307	1041904	PE
p2	COVID	0	0	0	0	0	1363935	731502	PE
p2	COVID	24	41.6915	0.1246	0.80610198	426	1366259	500413	PE
p2	COVID	0	0	0	0	0	1311628	327740	PE
p2	COVID	0	0	0	0.004380392	1	1149384	959016	PE
p2	COVID	0	0	0	0.004313516	1	1324485	568501	PE
p2	COVID	2	2.2372	0.0266	0.242491768	76	313114	219879	PE
p2	COVID	0	0	0	0.003310373	2	1394103	1302503	PE
p2	COVID	0	0	0	0	0	1556510	916043	PE
p2	COVID	16	26.0609	0.0722	0.693360398	435	1734824	889186	PE
p2	COVID	0	0	0	0	0	1368287	400236	PE
p2	COVID	0	0	0	0	0	1288140	1136749	PE
p2	COVID	0	0	0	0	0	1651960	656017	PE
p2	COVID	0	0	0	0.008994249	2	1375268	390581	PE
p2	COVID	17	25.9606	0.0599	0.707931947	296	1220264	508186	PE
p2	COVID	7	11.0792	0.0193	0.607544934	175	1173147	782220	PE
p2	COVID	0	0	0	0	0	1190394	785612	PE
p2	COVID	0	0	0	0.001237086	2	1331904	447234	PE
p2	COVID	1	1.1905	0.0049	0.154823012	53	1291557	885707	PE
p2	COVID	0	0	0	0.02503677	4	1425684	602512	PE
p2	COVID	30	76.7047	0.6558	0.912548982	558	1055564	274060	PE
p2	COVID	0	0	0	0.00210646	10	1324115	597834	PE
p2	COVID	0	0	0	0.003310373	1	1340221	998292	PE
p2	COVID	0	0	0	0.070302585	11	1246975	483956	PE
