sample	cohort	date
S297	Control	20211119
S298	Control	20211120
S299	Control	20211122
S300	Control	20211124
S301	Control	20211126
S302	Control	20211201
S303	Control	20211202
S304	Control	20211203
S305	Control	20211204
S306	Control	20211209
S307	Control	20211210
S308	Control	20211211
S309	Control	20211211
S310	Control	20211211
S311	Control	20211214
S312	Control	20211215
S313	Control	20211216
S314	Control	20211217
S315	Contamination	20211217
S316	Control	20211221
S317	Control	20211221
S318	Control	20211221
S319	Control	20211222
S320	Control	20211222
S321	Control	20211223
S322	Control	20211223
S323	Control	20211223
S324	Control	20211225
S325	Control	20211225
S326	Control	20211227
S327	Control	20211227
S328	Control	20211227
S329	Control	20211228
S330	Control	20211231
S331	Control	20220104
S332	Control	20220105
S333	Control	20220106
S334	Control	20220108
S335	Control	20220110
S336	Control	20220110
S337	Control	20220110
S338	Control	20220111
S339	Control	20220114
S340	Control	20220118
S341	Control	20220119
S342	Control	20220119
S343	Control	20220120
S344	Control	20220122
S345	Control	20220123
S346	Control	20220124
S347	Control	20220125
S348	Control	20220126
S349	Control	20220126
S350	Control	20220126
S351	Control	20220127
S352	Control	20220128
S353	Control	20220128
S354	Control	20220131
S355	Control	20220202
S356	Control	20220202
S357	Control	20220203
S358	Control	20220205
S359	Control	20220205
S360	Control	20220205
S361	Control	20220208
S362	Control	20220211
S363	Control	20220213
S364	Control	20220215
S365	Control	20220217
S366	Control	20220218
S367	Control	20220219
S368	Control	20220221
S369	Control	20220221
S370	Control	20220221
S371	Control	20220222
S372	Control	20220223
S373	Control	20220223
S374	Control	20220224
S375	Control	20220225
S376	Control	20220225
S377	Control	20220226
S378	Control	20220227
S379	Control	20220303
S380	Control	20220304
S381	Control	20220305
S382	Control	20220309
S383	Control	20220309
S384	Control	20220316
S385	Control	20220318
S386	Control	20220319
S387	Control	20220319
S388	Control	20220319
S389	Control	20220321
S390	Control	20220321
S391	Control	20220321
S392	Control	20220323
S393	Control	20220324
S394	Control	20220325
S395	Control	20220327
S396	Control	20220330
S397	Control	20220330
S398	Control	20220331
S399	Control	20220401
S400	Control	20220401
S401	Control	20220401
S402	Control	20220402
S403	Control	20220402
S404	Control	20220407
S405	Control	20220407
S406	Control	20220407
S407	Control	20220409
S408	Control	20220411
S409	Control	20220411
S410	Control	20220411
S411	Control	20220414
S412	Control	20220415
S413	Control	20220415
S414	Control	20220419
S415	Control	20220419
S416	Control	20220420
S417	Control	20220422
S418	Control	20220422
S419	Control	20220422
S420	Control	20220423
S421	Control	20220425
S422	Control	20220502
S423	Control	20220502
S424	Control	20220502
S425	Control	20220508
S426	Control	20220509
S427	Control	20220510
S428	Control	20220511
S429	Control	20220517
S430	Control	20220517
S431	Control	20220519
S432	Control	20220520
S433	Control	20220521
S434	Control	20220522
S435	Control	20220523
S436	Control	20220523
S437	Control	20220524
S438	Control	20220525
S439	Control	20220527
S440	Control	20220527
S441	Control	20220527
S442	Control	20220603
S443	Control	20220605
S444	Control	20220605
S445	Control	20220606
S446	Control	20220606
S447	Control	20220607
S448	Control	20220607
S449	Control	20220608
S450	Control	20220609
S451	Control	20220611
S452	Control	20220611
S453	Control	20220613
S454	Control	20220613
S455	Control	20220613
S456	Control	20220614
S457	Control	20220614
S458	Control	20220620
S459	Control	20220620
S460	Control	20220621
S461	Control	20220621
S462	Control	20220621
S463	Control	20220623
S464	Control	20220623
S465	Control	20220625
S466	Control	20220627
S467	Control	20220629
S468	Control	20220629
S469	Control	20220705
S470	Control	20220707
S471	Control	20220708
S472	Control	20220709
S473	Control	20220710
S474	Control	20220711
S475	Control	20220712
S476	Control	20220713
S477	Control	20220720
S478	Control	20220721
S479	Control	20220722
S480	Control	20220723
S481	Control	20220725
S482	Control	20220725
S483	Control	20220726
S484	Control	20220727
S485	Control	20220729
S486	Control	20220730
S487	Control	20220731
S488	Control	20220801
S489	Control	20220809
S490	Control	20220810
S491	Control	20220812
S492	Control	20220812
S493	Control	20220812
S494	Control	20220813
S495	Control	20220815
S496	Control	20220824
S497	Control	20220824
S498	Control	20220825
S499	Control	20220826
S500	Control	20220829
S501	Control	20220906
S502	Control	20220907
S503	Control	20220910
S504	Control	20220916
S505	Control	20220919
S506	Control	20220924
S507	Control	20220924
S508	Control	20220925
S509	Control	20220927
S510	Control	20220928
S511	Control	20220929
S512	Control	20220930
S513	Control	20220930
S514	Control	20221003
S515	Control	20221003
S516	Control	20221005
S517	Control	20221007
S518	Control	20221007
S519	Control	20221011
S520	Control	20221014
S521	Control	20221014
S522	Control	20221015
S523	Control	20221017
S524	Control	20221019
S525	Control	20221113
S526	Control	20221118
S527	Control	20221130
S528	Control	20221205
S529	Control	20221213
S530	Control	20230103
S531	Control	20230105
S532	Control	20230106
S533	Control	20230106
S534	Control	20230107
S535	Control	20230107
S536	Control	20230107
S537	Control	20230107
S538	Control	20230108
S539	Control	20230108
S540	Control	20230109
S541	Control	20230109
S542	Control	20230109
S543	Control	20230110
S544	Control	20230110
S545	Control	20230110
S546	Control	20230110
S547	Control	20230110
S548	Control	20230110
S549	Control	20230110
S550	Control	20230110
S551	Control	20230111
S552	Control	20230111
S553	Control	20230111
S554	Control	20230112
S555	Control	20230113
S556	Control	20230113
S557	Control	20230116
S558	Control	20230116
S559	Control	20230117
S560	Control	20230118
S561	Control	20230118
S562	Control	20230118
S563	Control	20230119
S564	Control	20230124
S565	Control	20230127
S566	Control	20230127
S567	Control	20230128
S568	Control	20230129
S569	Control	20230130
S570	Control	20230130
S571	Control	20230131
S572	Control	20230131
S573	Control	20230201
S574	Control	20230201
S575	Control	20230202
S576	Control	20230203
S577	Control	20230203
S578	Control	20230204
S579	Control	20230204
S580	Control	20230206
S581	Control	20230206
S582	Control	20230206
S583	Control	20230207
S584	Control	20230208
S585	Control	20230210
S586	Control	20230210
S587	Control	20230211
S588	Control	20230211
S589	Control	20230211
S590	Control	20230213
S591	Control	20230214
S592	Control	20230214
S593	Control	20230214
S594	Control	20230215
S595	Control	20230217
S596	Control	20230217
S597	Control	20230218
S598	Control	20230218
S599	Control	20230218
S600	Control	20230218
S601	Control	20230218
S602	Control	20230219
S603	Control	20230220
S604	Control	20230221
S605	Control	20230222
S606	Control	20230222
S607	Control	20230223
S608	Control	20230223
S609	Control	20230224
S610	Control	20230224
S611	Control	20230225
S612	Control	20230226
S613	Control	20230227
S614	Control	20230228
S615	Control	20230228
S616	Control	20230302
S617	Control	20230303
S618	Control	20230306
S619	Control	20230308
S620	Control	20230308
S621	Control	20230309
S622	Control	20230310
S623	Control	20230310
S624	Control	20230310
S625	Control	20230311
S626	Control	20230311
S627	Control	20230311
S628	Control	20230311
S629	Control	20230311
S630	Control	20230311
S631	Control	20230313
S632	Control	20230313
S633	Control	20230314
S634	Control	20230315
S635	Control	20230315
S636	Control	20230315
S637	Control	20230317
S638	Control	20230317
S639	Control	20230317
S640	Control	20230317
S641	Control	20230318
S642	Control	20230318
S643	Control	20230318
S644	Control	20230319
S645	Control	20230319
S646	Control	20230320
S647	Control	20230320
S648	Control	20230321
S649	Control	20230321
S650	Control	20230321
S651	Control	20230321
S652	Control	20230322
S653	Control	20230322
S654	Control	20230322
S655	Control	20230323
S656	Control	20230323
S657	Control	20230323
S658	Control	20230324
S659	Control	20230324
S660	Control	20230324
S661	Control	20230325
S662	Control	20230325
S663	Control	20230325
S664	Control	20230326
S665	Control	20230326
S666	Control	20230327
S667	Control	20230328
S668	Control	20230328
S669	Control	20230328
S670	Control	20230328
