cohort	others	otherVirus	fungi	unclassified	bacteria	covid
Control	747	3392	12	168555	1260	0
COVID	193	28	22	126857	5718	366
Control	1	26	144	73	9483	0
COVID	1995	1	2	254160	414271	10
Control	21	26	108	203	1476	9
Control	395	4979	7	242685	652	0
Control	4894	0	58	58465	3553	0
COVID	2752	10655	409	517916	1370	35
Control	3249	58	2166	67421	777	0
COVID	11592	1976	7	85381	5036	52038
Control	287	20965	803	15448	22295	0
Control	287	244	142	122050	204	0
Control	842	63	216	248047	24393	0
COVID	1208	4	2	39148	493	53
Control	1004	10	1498	6824	111502	0
Control	343	91	45	211724	2334	0
Control	39	1	77	484	4792	0
COVID	13636	8113	1825	7725	28223	164531
Control	284	0	30	67783	167	0
Control	1484	37	110	36336	21211	0
Control	5116	52	13	79496	185125	0
COVID	1599	268	155877	13606	72471	5625
Control	3932	393	7	64780	145868	0
Control	142	23	2	18704	2536	0
Control	141	10544	1	136331	423	0
Control	72	0	40	99261	616	0
COVID	18325	986	9716	4412402	248841	64
Control	6043	613	137	1409991	17170	0
Control	0	0	18	1	29	0
COVID	125	7	16	105022	148	3
Control	111	3	478	466	7143	0
Control	928	31	14	60004	44410	0
COVID	3849	253	309039	343894	69295	4178
Control	6819	421	4	43788	126	0
Control	1981	10	2	33569	560	0
Control	147	7	298	102936	1938	0
Control	262	386	4	113370	6908	0
Control	146	15973	9	55972	2261	0
COVID	19678	14126	244	12209	7258	321285
COVID	5143	2160	1011	86569	580875	52508
Control	302	6386	0	5555	1185580	0
Control	299	5	42	230353	1868	0
Control	4847	3	34	65240	42	0
Control	1724	277	34	102929	59712	0
Control	352	3	7	39587	895	0
COVID	13544	3669	672	520168	85359	2
Control	65	533	43	100997	247	0
Control	67	0	14	163514	564	2
Control	289	138391	2	108903	953	0
COVID	258394	27611	92	441586	36263	1721038
Control	526	5	106	59527	54159	1
Control	224	2	0	43477	6656	0
Control	12831	632	22326	190265	76100	0
Control	11	1	140	288	2356	0
Control	124	0	28	106763	2940	0
Control	3680	94	1800	295981	135325	0
Control	84	159	455	1070	8050	0
Control	0	1	135	15	50	0
Control	79	191	725	29800	236	0
Control	50	2	8	66911	761	0
Control	5951	112	1161	155806	47429	0
Control	822	1211	5	44447	13	0
COVID	72	1	8	96360	730	1
Control	301	29	29	119781	10011	0
COVID	5632	146	4	201170	226	3409
Control	7413	4406	920163	469354	139689	0
COVID	113	1	16	67275	1513	9
Control	63	0	194	350	6216	0
COVID	4569	1997	268	921	4371	41824
Control	671	4	4	24903	1427	0
Control	787	142	5	51692	9551	0
Control	73	4	365	1003	8190	0
Control	162	1	14	140019	2197	0
Control	81	134	7	116490	128	0
Control	510	55633	1	160388	366	14
Control	107	1	3	18430	59	0
Control	554	421	5	144188	2402	0
Control	403	2807	5	59564	650	0
Control	977	349911	3	121076	647	0
Control	773	4	24	65693	8399	0
Control	249	12	151	118594	2260	0
Control	8795	84	2	95999	645	0
Control	42	12	2	32399	91	0
COVID	18840	8662	8199	115481	918	183177
Control	145	0	1	6948	41	0
Control	134	0	166	338	3473	0
Control	713	176	390	66029	36825	0
Control	728	0	7	18164	14	0
Control	2920	16	62	34951	868	0
COVID	265	40	12	46571	1067	845
Control	113	4	10	53957	190	0
Control	1600	2	225809	11838	6530	1
COVID	11592	19852	10	4929	715	127135
Control	3900	6	24	138726	83693	0
Control	1391	191	192	41505	971	0
Control	95	6	5	47777	2393	1
COVID	776	107	54	177784	14581	2827
Control	262	92620	10	144302	1331	0
COVID	1564	650	69	4294	27531	14282
Control	1241	18203	3813	389397	1561	0
Control	3163	242	2833	362381	62183	0
Control	197	0	6	31910	596	0
COVID	421	31	688	1996	11641	771
Control	20	19	54	22270	137	1
Control	1439	145	35	352318	34083	0
Control	6768	3348	73	9214	690158	14
Control	47786	12824	3649	452442	450636	0
Control	3721	1365	33	628094	20265	0
COVID	7098	151	956	491868	126269	27
COVID	135	8	7	469	14200	122
Control	306	19	1323	2136	29564	0
Control	763	0	66	66955	48964	0
Control	115	11726	390	8149	2705	0
Control	130	0	6	143227	2437	0
COVID	4601	62	127	233430	96496	732
Control	373	343	10	110043	7842	0
COVID	4031	65379	24	24434	7236	59547
COVID	518	219	763	538	5192	5263
Control	2181	142	327	123393	19677	1
COVID	927	111	18286	72500	33134	88
Control	2	1	43	11	90	0
COVID	2292	1515	25	122014	4334	31525
COVID	1647	11	460	118465	59437	2
COVID	60344	16035	37	271959	3543	396820
Control	530	6	2468	234895	4240	0
Control	1450	5	2	27087	1167	0
Control	3427	572	7	14986	929	0
COVID	2691	5927	33	33476	861312	8378
Control	61	447	49	980	10971	0
Control	4302	283	20336	222503	123355	0
Control	5657	82	26	233623	427	3
COVID	861	44	4	192169	21905	780
Control	32	17928	1	23685	123	0
Control	157	10	5	115846	241	11
Control	375	9206	348	10284	295880	0
Control	819	2	8	49377	5173	0
Control	2123	0	3	36792	133	0
COVID	313	10	9	222679	2827	2
Control	214	1	2	50424	988	0
Control	56	0	4	77764	316	0
Control	508	20	106	28764	54	0
COVID	351	8	67	189131	5797	98
Control	173	20	249	68915	1643	0
Control	144	8	111	96148	1916	1
Control	57	0	330	389	3963	0
Control	2257	11	8	39699	396	0
Control	916	24	22	119974	6796	0
Control	386	57	66	37421	50274	0
COVID	3320	33	149	317734	48272	687
Control	798	11743	62	195841	4982	0
Control	2244	180	53	258634	92340	0
Control	589	5	3	21960	272	0
Control	5268	11	2	186176	259	0
Control	1207	477	581	106670	5462	0
COVID	502	6	1411	72817	1625	56
Control	2928	70	1102	285969	110443	0
COVID	502	149	8	95451	1038	2704
