cohort	others	otherVirus	fungi	unclassified	bacteria	covid
Control	20819	2655325	14232	4370401	34891	2
Control	45	2	0	1482	129447	0
Control	2658	40996	1185803	557852	6914	0
Control	1075	582	7	26932	135	0
Control	1062	530	2702	160016	3584	0
Control	360	4	1427	168593	6102	3
COVID	68	7	6	43174	297	146
Control	1783	51	9	363661	250221	0
Control	49	1	185	533	3553	2
Control	769	2	114921	3058	8727	0
Control	988	17057	1072	31983	151159	0
Control	1869	189	6	80008	114603	0
Control	3770	139	1116	1387576	492752	0
COVID	729	324	399	789	7353	7474
Control	764	1	21	70678	351	0
Control	2851085	9953	2046	3154663	261791	0
Control	118	41	733	93404	1239	0
Control	219	45	57	120256	885	0
Control	82580	24	369	215763	62822	0
Control	1441	38	197	111153	118574	0
Control	2834	91	2755	199777	209510	1
Control	185	7562	11	113443	143	0
Control	1147	524020	21	170051	2089	0
Control	529	658283	7	132490	781	0
Control	447	1120	55	92346	17738	0
Control	65	1	35	45837	1451	0
Control	2025	8	165	216800	1881	0
Control	452	85	18	25449	1074	0
Control	3998	71	33	48413	303	0
Control	939	48	78	17947	2993	0
Control	18985	41	7760	692647	467083	0
Control	25	7	24458	3595	56857	0
Control	866	2937	429	201248	5999	0
Control	1193	21	458	203974	14389	0
COVID	188	2	11	119432	235	95
Control	381	38	1099	224391	4907	0
Control	395	5	8	100994	62793	0
Control	4582	2	2	27477	215	0
Control	703	37	356	36429	32724	0
Control	2267	120	95	280811	80261	0
COVID	2335	1830	0	129826	83	44473
COVID	1039	14	45	244994	72672	510
Control	330	0	2	28929	11	0
Control	2538	56	141	74614	46180	0
Control	92	6	280	376	5439	0
Control	150	4	20	64360	3311	0
Control	2	0	19	44	655	0
Control	8735	1343	25	610939	123818	0
Control	9115	3	18	104965	8140	0
Control	407	0	2	21718	156	0
Control	446	48	2	15778	16685	0
Control	670	75	521	6555	78792	13
Control	4734	2707	9	24797	1107543	0
COVID	1625	216	8	39025	42548	1
Control	1746	104	265	179480	244797	0
COVID	9768	1671	17	72970	54	73637
Control	1065	2	1140	32818	10641	0
Control	20603	195	56	727781	731495	0
Control	40	1	5	32865	55	0
COVID	22781	35763	673	245841	404	115137
COVID	594	248	490	4647	37484	6617
Control	1611	273162	24	121222	55407	0
Control	109	9	39	101085	1683	0
Control	821	6304	156	186617	18964	0
Control	200	376	2539	6833	53560	1
Control	84	6	92	33689	4198	0
Control	911	0	14	149655	105	0
Control	4013	292	0	132847	157	0
Control	1672	357	151	44273	99687	0
Control	463	1	4	132908	49626	0
Control	105	16438	26	92985	242	0
Control	1958	66	764	171520	183412	0
COVID	15646	10676	8	163287	6692	232873
Control	536	2983	17	99367	2813	0
COVID	101	1	6	84656	363	3
Control	367	7454	6	299424	2697	0
Control	1482	135	115	192094	94302	0
Control	353	3	1093	81968	253	0
Control	2928	31	0	78069	649	0
Control	178	48536	1347	4313	11920	2
Control	662	10	74	78106	2509	1
Control	617	0	1	13452	35	0
COVID	879	417	24	156	1276	9895
COVID	42976	3464	18	130490	697	74861
COVID	3650	843	7	224389	1409	21749
Control	4401	1214	132	518168	12423	0
Control	96	2048	15	31816	246	0
COVID	1838	904	18	2879	27371	20955
COVID	1309	11	2	19694	2561	30
Control	184	345	264	13562	10617	0
COVID	214	5	1	22165	333	24
Control	127	39120	7	64819	112	0
Control	503	3455	4	157735	9669	0
Control	3771	140	82	36657	116085	0
COVID	1874	87	178	149352	10892	312
Control	6846	1367	180	118344	37164	0
Control	770	15	833	208674	187	0
Control	103	20	15	33600	7336	0
Control	147	15307	745	9250	2774	0
Control	82	2	21	80498	439	0
Control	3637	87	328	82445	78465	0
COVID	120	1	10	116530	458	15
Control	1895	30	572	58770	60830	0
Control	1018	4	13	209441	1257	0
Control	256	7	277	22976	13462	0
Control	1	0	0	4	6	0
COVID	3883	316	29	65653	3890	22636
Control	698	12	698	20288	164911	0
Control	52	2	18	46215	2707	0
Control	97	13	1067	479	10249	0
Control	13313	1	22	144126	541	0
Control	2138	49	17	87972	1988	0
Control	276	76	22	234809	2984	0
Control	761	1	18	68568	753	0
Control	1976	1	3	45153	948	1
COVID	318818	59630	151	536831	25915	1213263
Control	1344	2	4	35681	29888	0
COVID	11630	8697	79	9232	17981	177191
Control	47	1	0	2932	328	0
Control	348	1	4	50098	97	0
Control	106	0	9	143844	178	0
Control	194	2	6	12952	63	0
COVID	6432	62	20	286558	310	1376
Control	554	4	237	31945	12187	0
COVID	115	6	12	106520	963	101
Control	300	31	223	72866	3744	0
Control	4631	44	4	145468	23527	1
Control	3373	63	275	32807	238654	0
Control	349	2	410	39294	165	0
Control	510	9	52	114704	47326	0
COVID	113	0	2823	148127	220	5
COVID	831905	212617	12	1255054	33791	5387557
COVID	75211	38332	232	38029	476	731164
Control	616	55	20	52494	16655	0
Control	69	27	29	84071	2298	0
Control	176	0	490	1319	13260	21
Control	402	73532	27	24847	480	26
Control	235	27	5	156092	9887	12
Control	96	1	50	140461	328	1
Control	11	0	95	95	1292	0
Control	620	4	8	63338	341	0
Control	1743	8	488	17655	124756	4
COVID	11042	5698	5029	7272	48810	125630
Control	1316	13	33	70944	20386	0
Control	197	141	223	96088	2900	0
Control	3007	122	48	316342	3014	0
Control	1886	10	5741	42467	105	0
Control	0	4	150	657	5070	0
Control	433	2	105	48096	2220	0
Control	20	20	28	80	589	0
Control	65	56	6	109676	424	0
COVID	1353	24	66	19903	237623	11
Control	314	1	5	49617	53	0
Control	35	205	33	252	3501	0
Control	1378	239	351	90619	14933	0
Control	75	4	10	43845	990	0
Control	107	3	72	2221	10236	0
Control	93	40616	15	5760	4916	0
COVID	369	174	20099	215	1357	3324
Control	4721	244	460	1717675	512581	0
Control	422	4	158	46793	144	0
Control	1	0	2	197	3447	0
Control	187	13594	3	122579	286	0
Control	1274	10464	46	133445	14733	0
COVID	220415	38952	129	1011417	6125	1555956
Control	42	2	4	8374	222	0
COVID	62883	15477	20	575445	14213	601085
Control	293	3	4366	90211	24351	0
Control	517	1392	1	45481	4111	0
COVID	14517	1678	21	427842	1756	72798
Control	3	0	18	3	25	0
Control	191	12220	1416	142247	426	0
Control	434	110	5	212380	5390	0
COVID	60439	50211	174	48121	1138	950161
Control	1241	29	6	46751	141	0
Control	382	862	7	218421	72	0
Control	1	7	0	348	3288	0
Control	157	0	168	917	13225	0
COVID	677	28	87	59912	5857	2
Control	726	1	0	45529	678	0
Control	0	0	0	0	6	0
Control	3074	1279	25	531239	25137	0
Control	1385	187	15	350430	330567	0
COVID	414	54962	10	159419	11054	110
Control	491	22	76	69865	16586	0
Control	673	213	263	18210	20633	0
Control	1196	5435	5	187265	443369	0
Control	202	29	17	61506	464	3
Control	81	6	16	94008	634	0
Control	3771	121	3	94300	68151	1
Control	2123	9	8	103665	8144	0
Control	521	54925	10	150496	248	0
Control	168	7219	74	145759	1907	0
Control	610	23	174	382893	182	0
COVID	270	13	13	110725	13853	365
Control	150	2	27	82470	2968	1
Control	967	115	16	43910	3501	0
COVID	134	5	161	66887	524	19
COVID	4257	35	1455	1831	13842	445
Control	234	2	966	724	7497	0
Control	208	4	66	6205	43608	0
Control	746	2	14	148075	45008	0
Control	2015	44	2460	297455	87676	0
Control	608	316557	6	217483	2079	0
Control	22	2	4	26148	390	0
COVID	285	18	1	53799	51	463
Control	4172	34	10227	73288	171812	0
Control	611	402	46	123643	13590	0
Control	649	1142	51	754564	217	0
Control	945	2	4	53145	903	0
Control	594	0	12	57114	1972	0
Control	2412	11531	1537	361341	45152	0
Control	258	1	98	25645	2088	15
Control	257	65	5	34994	899	0
COVID	633	17	130	27503	1068	8
Control	22	0	18	403	2749	0
COVID	4191	23	20	215383	4369	1
Control	985	433668	2579	63945	1173	0
COVID	560	1047	33	192567	642	1921
Control	1278	4	15	204484	77148	0
Control	863	2	9	237327	565	0
Control	393	3	18	147468	9612	5
COVID	10884	731	258	363431	26109	404
Control	1142	47000	7	157254	30064	0
Control	244	21826	68	90198	1458	0
Control	492	1138	6	67623	14702	0
Control	1782	6	9	10276	2527	0
Control	162	58228	150	9733	11605	0
Control	547	8	23	191829	11	0
Control	280	715	27	125258	4883	0
Control	38	1	14	32566	353	0
Control	970	119	19	156643	21280	7
Control	1924	105	674	207361	224817	0
Control	3981	19384	111	107709	94678	0
Control	1938	26	2	38233	263	0
Control	6	0	0	595	12004	0
Control	486	1	15	326510	76	0
Control	20690	19	38	134231	11345	0
Control	152	9732	6	32657	159	0
Control	5439	7891	154	98172	55771	0
Control	3284	24	14	202403	134152	0
Control	43	5	465	387	4292	0
Control	3064	11	259	60683	252469	0
Control	364	8	51	2489	23758	0
COVID	13592	2517	20	166248	11069	53558
COVID	1159	203	11	91317	63217	3495
COVID	1678	3	11	77120	2099	5
Control	6953	1131	1402	471072	87737	0
Control	121	12	182	66284	1026	0
Control	1792	458392	21	54320	250657	0
Control	124	20948	307	57884	518	0
COVID	3461	1978	2587	3712	38530	47596
Control	382	66	83	148755	2622	0
Control	1998	637	63	95314	50147	0
COVID	32	4	326	151	1333	80
Control	387	1	13	186576	192	0
COVID	239	6	26	84456	818	97
COVID	4225	5	0	37494	143	1
COVID	475	40	1677	99551	17102	12
Control	1673	23	4	40321	25465	0
Control	2385	511	354	119482	61315	0
Control	7371	1694	2452	347629	110123	2
Control	1059	60	13442	71288	16187	0
Control	276	1	4	28412	193	0
COVID	374	1512	62	7299	31636	1111
Control	0	0	0	18	242	0
Control	125	3	4	87327	59	0
Control	376	4779	48	56693	730	0
Control	489	6018	382	52794	87397	3
Control	20	4	68	121	1277	1
Control	113	7	61	125639	5392	0
Control	583	621	24	272472	139176	0
Control	32	2	26	226	1892	0
COVID	2801	137	515850	4418	656	2479
Control	123	64	0	4707	55937	0
