sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
MDL001.Q24C22520012L.RNA.D19.20221224	LA_SARS2_2024	1	19	NA	0	0	0	0	SARS-CoV-2	94251	49730
MDL001.Q24C23090080L.RNA.D27.20230225	LA_SARS2_2024	1	102	NA	0	0	0	0	SARS-CoV-2	125457	272024
CF236C0325.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	7311	COVID	61	47	79.3298235867034	86.1928638907056	SARS-CoV-2	50154	665394
M117RE0134.R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	4676922	26872482
ZDH23061600041R	LA_SARS2_2024	1	395	COVID	507	5	4.41765027755749	0.991369606003752	SARS-CoV-2	1961809	324489
CF236B0251.8D6AXX1LXF1.N002KX2P	LA_SARS2_2024	1	2896	COVID	1651	23	23.6230387508872	1.05244024898615	SARS-CoV-2	527468	349602
CF231C0481.8B6AXX1LXF1.N002J019	LA_SARS2_2024	1	115109	COVID	29	29	94.8466726249822	100	SARS-CoV-2	121831	407
E218YF0385.R	LA_SARS2_2024	1	23	NA	0	0	0	0	SARS-CoV-2	130624	307661
MDL001.Q11C23030029L.RNA.B19.20230110	LA_SARS2_2024	1	2034	COVID	14	14	13.1859441400304	100	SARS-CoV-2	71531	60184
CF236G0177.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	9259	COVID	2382	38	87.4628066008376	1.44262909969442	SARS-CoV-2	912234	3276952
N117RN0117.R	LA_SARS2_2024	1	6920	COVID	50	33	36.3542558498896	72.925471255115	SARS-CoV-2	525640	635335
ZDH23060600022R	LA_SARS2_2024	1	87672	COVID	22	1	99.6755783548333	82.1758429599405	SARS-CoV-2	817863	366313
MAX120701	LA_SARS2_2024	1	440	NA	0	0	0	0	SARS-CoV-2	607166	10144901
E218YF0488.R	LA_SARS2_2024	1	28055	COVID	17	16	97.4550684895744	99.2304549169164	SARS-CoV-2	367623	826104
ZDH230101391R	LA_SARS2_2024	1	6	NA	0	0	0	0	SARS-CoV-2	960009	134211
CF239E0315.8D6BXX1LXF1.N002JQ84	LA_SARS2_2024	1	101571	COVID	172	32	92.619447085365	34.058461122247	SARS-CoV-2	156260	1737095
MDL001.Q09C23030031L.RNA.A07.20230110	LA_SARS2_2024	1	1765	COVID	32	11	10.8551	30.4760116420993	SARS-CoV-2	125996	86574
X22JS062829	LA_SARS2_2024	1	6833629	COVID	12	3	99.4113873718875	93.2260795935648	SARS-CoV-2	7996789	13897080
CF232N0139.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	89	NA	0	0	0	0	SARS-CoV-2	1949	10433
ZZMAX127746.1R.1L.UDB.125	LA_SARS2_2024	1	14	NA	0	0	0	0	SARS-CoV-2	87124	153427
N218YF0176.R	LA_SARS2_2024	1	1455	COVID	19	7	6.34380288562434	33.7124577927848	SARS-CoV-2	727630	664361
ZZ24JS11864.AD.1R.1L.UDB.164	LA_SARS2_2024	1	1739	COVID	5610	7	7.38390257104195	0.0988850353979764	SARS-CoV-2	1401869	0
ZZ24JS04646.AD.1R.1L.UDB.112	LA_SARS2_2024	1	615869	COVID	36	1	99.6220666510209	73.5228787205686	SARS-CoV-2	940109	0
ZDH23061100011R	LA_SARS2_2024	1	11077	COVID	68	1	99.6187342016159	58.4441828526584	SARS-CoV-2	1389753	273006
CF236V0321.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	205174	COVID	33	28	93.1177587946944	95.3106281020024	SARS-CoV-2	224438	190795
MDL001.Q24C23030034T.RNA.D21.20230114	LA_SARS2_2024	1	5	NA	0	0	0	0	SARS-CoV-2	60715	32539
CF235K0129.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	964677	COVID	16	16	97.8129128117914	100	SARS-CoV-2	968942	421898
CF237Q0499.8B6BXX2IXF1.N002KX2P	LA_SARS2_2024	1	58211	COVID	2246	31	93.6729161420442	3.19902696405934	SARS-CoV-2	728278	7897925
PB23660369.8D6AXX1LXF1.N002KX2P	LA_SARS2_2024	1	914	COVID	4	1	0.8628	23.8447319778189	SARS-CoV-2	15623	1573
MDL001.Q24C23080011L.RNA.A09.20230217	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	83620	138771
CF230K0037.8D6BXX1PXF1.N002JQ84	LA_SARS2_2024	1	15912	COVID	2935	39	90.9640857646099	2.04592019399424	SARS-CoV-2	961907	3590178
X21JS942954	LA_SARS2_2024	1	22	NA	0	0	0	0	SARS-CoV-2	577949	15276921
CF230C0039.8D6BXX1NXF1.N002JQ84	LA_SARS2_2024	1	147	NA	0	0	0	0	SARS-CoV-2	2676	4940
MDL001.Q24C22520013L.RNA.D20.20221224	LA_SARS2_2024	1	1895	COVID	55	19	18.7038493939394	31.4496176338282	SARS-CoV-2	107340	112981
M118HM0325.R	LA_SARS2_2024	1	21	NA	0	0	0	0	SARS-CoV-2	124798	444286
ZZ22JS047632.1R.1L.UDB.142	LA_SARS2_2024	1	12238	COVID	45	45	79.4669903642426	100	SARS-CoV-2	76099	0
M118YJ0170.R	LA_SARS2_2024	1	151	NA	0	0	0	0	SARS-CoV-2	319164	476597
CF24220285.8D6BXX1P1F1.N002JQ84	LA_SARS2_2024	1	2264	COVID	1	1	0.7357	100	SARS-CoV-2	5044	3327
S118YF0150.R	LA_SARS2_2024	1	2227707	COVID	109	1	99.7291090189502	49.7588974354696	SARS-CoV-2	2564626	1159445
E218YF0411.R	LA_SARS2_2024	1	1029	COVID	11	3	2.5014511627907	21.7378668991572	SARS-CoV-2	453670	418319
MDL001.Q24C22520006L.RNA.D11.20221223	LA_SARS2_2024	1	1238	COVID	1	1	1.36440287769784	100	SARS-CoV-2	112679	50383
M217RT0158.R	LA_SARS2_2024	1	462	NA	0	0	0	0	SARS-CoV-2	140734	572886
M118HM0342.R	LA_SARS2_2024	1	7208985	COVID	21	1	99.6756278012189	84.1906053159337	SARS-CoV-2	7737367	554116
M118HM0283.R	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	318921	615661
ZZ22JS022631.1R.1L.UDB.189	LA_SARS2_2024	1	23	NA	0	0	0	0	SARS-CoV-2	103856	4093765
M217RT0115.R	LA_SARS2_2024	1	3591	COVID	47	24	26.9873078918118	54.9353301565691	SARS-CoV-2	1167127	1153142
ZDH23062200081R	LA_SARS2_2024	1	1879973	COVID	516	2	100	18.6054030528181	SARS-CoV-2	5396281	382903
S218YF0405.R	LA_SARS2_2024	1	23	NA	0	0	0	0	SARS-CoV-2	1754328	1732352
N217RE0285.R	LA_SARS2_2024	1	49	NA	0	0	0	0	SARS-CoV-2	357780	520406
CF231D0159.8B6AXX1LXF1.N002L001	LA_SARS2_2024	1	3760	COVID	71	44	48.4900918952532	65.3624233681933	SARS-CoV-2	25592	3096
M117RT0327.R	LA_SARS2_2024	1	1046	COVID	112	3	2.44122814814815	1.81981353143541	SARS-CoV-2	514921	747458
ZDH230100411R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	1471430	89710
ZDH221200291R	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	1728361	119148
ZDH230101721R	LA_SARS2_2024	1	86586	COVID	132	2	100	44.9599255545883	SARS-CoV-2	4525842	94297
CF23600154.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	6380	COVID	555	43	78.4636911554433	11.5675872881272	SARS-CoV-2	249649	5737
M117RE0443.R	LA_SARS2_2024	1	2449	COVID	20	14	12.0422894530154	58.4009082062926	SARS-CoV-2	300071	627772
ZDH23053000011R	LA_SARS2_2024	1	157850	COVID	39	1	99.7458548757618	73.5724328457611	SARS-CoV-2	720243	98156
M117RN0125.R	LA_SARS2_2024	1	15561	COVID	41	40	88.8974699397887	99.2495519713262	SARS-CoV-2	121197	542353
M118HM0273.R	LA_SARS2_2024	1	16	NA	0	0	0	0	SARS-CoV-2	246544	446515
E217RT0460.R	LA_SARS2_2024	1	483	COVID	3	2	1.4681	64.3695014662757	SARS-CoV-2	152262	469161
ZDH230100321R	LA_SARS2_2024	1	11073	COVID	136	2	99.4648990764684	45.9869814617252	SARS-CoV-2	1388282	149011
ZZ22JS062796.AD.1R.1L.UDB.183	LA_SARS2_2024	1	4051	COVID	42	32	45.9786468416079	49.4354954695815	SARS-CoV-2	168209	1464710
E217RE0715.R	LA_SARS2_2024	1	6259	COVID	25	25	28.1810820163488	100	SARS-CoV-2	288758	0
ZZ22JS023191.1R.1L.UDB.176	LA_SARS2_2024	1	99446	COVID	32	3	99.220848490966	79.514391381251	SARS-CoV-2	249360	8312057
ZDH23053100102R	LA_SARS2_2024	1	9	NA	0	0	0	0	SARS-CoV-2	1909558	869505
ZZ22JS055866.AD.1R.1L.UDB.153	LA_SARS2_2024	1	17933	COVID	14	5	99.9365110805461	93.8184786362352	SARS-CoV-2	545273	10797547
M117RE0246.R	LA_SARS2_2024	1	1116	NA	0	0	0	0	SARS-CoV-2	59164	442181
MDL001.Q09C22520017N.RNA.A04.20221221	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	283906	56842
MDL001.Q24C23030015L.RNA.C19.20230113	LA_SARS2_2024	1	1325	COVID	5	1	1.0501	22.9197080291971	SARS-CoV-2	222587	637756
ZZ22JS109636.AD.1R.1L.UDB.165	LA_SARS2_2024	1	4494	COVID	105	39	68.7355567857317	46.6341463414634	SARS-CoV-2	303467	0
MBX112038	LA_SARS2_2024	1	117	NA	0	0	0	0	SARS-CoV-2	468854	510334
E218YF0321.R	LA_SARS2_2024	1	512919	COVID	8	1	99.5117278703921	93.1565601227186	SARS-CoV-2	793266	0
N218HM0249.R	LA_SARS2_2024	1	24	NA	0	0	0	0	SARS-CoV-2	970261	1637568
N218HM0251.R	LA_SARS2_2024	1	128537	COVID	27	8	99.4281351267738	75.9593275765163	SARS-CoV-2	973500	1658754
ZZ22JS021652.1R.1L.UDB.184	LA_SARS2_2024	1	801	COVID	17	2	1.3544	8.88547608600263	SARS-CoV-2	271072	303387
E217RT0353.R	LA_SARS2_2024	1	91	NA	0	0	0	0	SARS-CoV-2	965962	847709
M118HM0160.R	LA_SARS2_2024	1	11	NA	0	0	0	0	SARS-CoV-2	384571	555398
M118HM0358.R	LA_SARS2_2024	1	31	NA	0	0	0	0	SARS-CoV-2	190157	356915
ZDH230401551R	LA_SARS2_2024	1	1780017	COVID	426	2	99.8461468374351	18.4314984350789	SARS-CoV-2	6854126	208283
S118HM0188.R	LA_SARS2_2024	1	3091	COVID	189	43	64.1975333298539	34.3195795194508	SARS-CoV-2	489480	1361219
CF236N0107.8D6BXX1NXF1.N002KX2P	LA_SARS2_2024	1	16266	COVID	51	36	92.0409601825714	85.4831195452992	SARS-CoV-2	48369	734605
ZZMAX139638.AD.1R.1L.UDB.145	LA_SARS2_2024	1	261805	COVID	1072	2	99.7157882948752	4.91849789358045	SARS-CoV-2	927903	20928503
ZZMAX154277.AD.1R.1L.UDB.183	LA_SARS2_2024	1	112398	COVID	33	13	100	80.7648265026231	SARS-CoV-2	826377	229092
ZDH23061700052R	LA_SARS2_2024	1	1341	COVID	272	24	37.2036629358986	13.7205086146295	SARS-CoV-2	3641017	156411
CF231F0200.8B6AXX1KXF1.N002J019	LA_SARS2_2024	1	8398	COVID	47	46	87.0481383650234	99.1165943187876	SARS-CoV-2	17052	711
ZZ22JS06247101.AD.1R.1L.UDB.133	LA_SARS2_2024	1	784	NA	0	0	0	0	SARS-CoV-2	239447	698756
MDL001.Q24C23040031L.RNA.A37.20230120	LA_SARS2_2024	1	3	NA	0	0	0	0	SARS-CoV-2	67120	29762
CF231C0483.8B6AXX1LXF1.N002J019	LA_SARS2_2024	1	11	NA	0	0	0	0	SARS-CoV-2	882	325
ZDH221200141R	LA_SARS2_2024	1	724622	COVID	206	1	99.8261287684531	32.8415516975818	SARS-CoV-2	4090071	325739
ZDH23062200101R	LA_SARS2_2024	1	33	NA	0	0	0	0	SARS-CoV-2	1472286	105111
ZDH23051800051R	LA_SARS2_2024	1	490	COVID	85	1	0.832730263157895	0.783634933123525	SARS-CoV-2	1760851	362439
ZZ22JS052085.AD.1R.1L.UDB.164	LA_SARS2_2024	1	2728492	COVID	4	1	99.6120666107833	97.6526898993542	SARS-CoV-2	3213314	387277
ZZ22JS117088.AD.1R.1L.UDB.189	LA_SARS2_2024	1	15	NA	0	0	0	0	SARS-CoV-2	270000	316033
ZZ22JS022625.1R.1L.UDB.108	LA_SARS2_2024	1	629	NA	0	0	0	0	SARS-CoV-2	339746	20978243
ZZ22JS062828.AD.1R.1L.UDB.158	LA_SARS2_2024	1	293875	COVID	5	1	99.6087278332552	96.9785765448981	SARS-CoV-2	621491	10274681
CF238W0015.8D6BXX1PXF1.N002JQ84	LA_SARS2_2024	1	1134	NA	0	0	0	0	SARS-CoV-2	6738	142463
X22JS062974	LA_SARS2_2024	1	5	NA	0	0	0	0	SARS-CoV-2	576375	1458036
X22JS055863	LA_SARS2_2024	1	17167	COVID	874	1	99.6521990446821	8.19358404342195	SARS-CoV-2	1312009	24181449
E218YF0623.R	LA_SARS2_2024	1	78313	COVID	155	5	97.9935026883188	40.5521727096596	SARS-CoV-2	493547	657714
ZDH23062100091R	LA_SARS2_2024	1	14	NA	0	0	0	0	SARS-CoV-2	2093586	205728
ZDH23062400122R	LA_SARS2_2024	1	57	NA	0	0	0	0	SARS-CoV-2	520661	124221
CF238H0204.8D6BXX1QXF1.N002JQ84	LA_SARS2_2024	1	146978	COVID	65	33	94.201210037268	52.4953410361536	SARS-CoV-2	163977	12565
MDL001.Q18C23050052L.RNA.A44.20230126	LA_SARS2_2024	1	533	NA	0	0	0	0	SARS-CoV-2	55145	36017
MDL001.Q09C23040039L.RNA.C48.20230117	LA_SARS2_2024	1	9	NA	0	0	0	0	SARS-CoV-2	29604	15824
CF230K0225.8D6BXX1PXF1.N002JQ84	LA_SARS2_2024	1	66582	COVID	61	34	94.4320105451296	44.4091466675054	SARS-CoV-2	160283	68294
N218HM0219.R	LA_SARS2_2024	1	76655	COVID	27	5	99.3378251882227	83.2959452638663	SARS-CoV-2	893472	1214037
CF23660366.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	877729	COVID	15	15	97.3079902921317	100	SARS-CoV-2	881164	941
CF239A0326.8D6BXX1VXF1.N002JQ84	LA_SARS2_2024	1	617980	COVID	29	18	97.4116705959352	88.5999330839188	SARS-CoV-2	630821	8536
ZDH221200431R	LA_SARS2_2024	1	362	COVID	238	3	2.6318	0.652797823454271	SARS-CoV-2	970289	370598
CF234R0252.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	41725	COVID	33	33	93.9571084850666	100	SARS-CoV-2	46468	5128
ZZ22JS022628.1R.1L.UDB.186	LA_SARS2_2024	1	12	NA	0	0	0	0	SARS-CoV-2	54670	18040688
CF243F0058.8F6AXXJ41F1.N008JQ84	LA_SARS2_2024	1	13	NA	0	0	0	0	SARS-CoV-2	259121	1932178
M118HM0288.R	LA_SARS2_2024	1	1127415	COVID	4	1	99.5385277824352	97.7504105090312	SARS-CoV-2	1273656	514768
N217RE0120.R	LA_SARS2_2024	1	17573	COVID	34	30	89.8337803689705	93.0352566322643	SARS-CoV-2	413191	940062
M118HM0214.R	LA_SARS2_2024	1	5	NA	0	0	0	0	SARS-CoV-2	129741	217135
MDL001.Q11C23020193L.RNA.D48.20230109	LA_SARS2_2024	1	53	NA	0	0	0	0	SARS-CoV-2	47644	205078
CF23660320.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	53401	COVID	58	32	95.0640229098535	79.4782900438952	SARS-CoV-2	97784	778902
ZZMAX120304.1R.1L.UDB.104	LA_SARS2_2024	1	3	NA	0	0	0	0	SARS-CoV-2	118662	20608622
ZZ22JS021585.1R.1L.UDB.181	LA_SARS2_2024	1	86354	COVID	87	3	99.7190990252236	48.4153271635006	SARS-CoV-2	253416	1490762
M118HM0326.R	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	119968	457033
ZDH23060600052R	LA_SARS2_2024	1	1710	COVID	138	37	58.0978308564747	36.9292577161806	SARS-CoV-2	3603592	291458
M117TA0317.R	LA_SARS2_2024	1	16	NA	0	0	0	0	SARS-CoV-2	373101	894376
ZZ22JS052116.1R.1L.UDB.110	LA_SARS2_2024	1	7424	COVID	42	34	94.9804678978389	93.069436707409	SARS-CoV-2	625839	2329296
ZDH23080500081R	LA_SARS2_2024	1	37	NA	0	0	0	0	SARS-CoV-2	359778	107256
E218YJ0353.R	LA_SARS2_2024	1	331862	COVID	1	1	99.5351278873239	100	SARS-CoV-2	588251	575390
CF23BS0175.8D6BXX1NXF1.N002JQ84	LA_SARS2_2024	1	27828	COVID	394	37	91.5827506170111	13.652588338518	SARS-CoV-2	142457	9251549
CF231K0254.8B6AXX1PXF1.N002J019	LA_SARS2_2024	1	100420	COVID	34	30	95.5756960361761	95.662069888874	SARS-CoV-2	106632	395
MAX143318	LA_SARS2_2024	1	2833	COVID	33	23	31.9332578358996	80.2032588610785	SARS-CoV-2	636109	209899
CF236V0277.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	70216	COVID	34	34	94.5222606217616	100	SARS-CoV-2	80975	12037
S118HM0195.R	LA_SARS2_2024	1	155063	COVID	111	3	99.3947277856135	38.7540094401127	SARS-CoV-2	587108	646551
CF230K0227.8D6BXX1PXF1.N002JQ84	LA_SARS2_2024	1	1246	NA	0	0	0	0	SARS-CoV-2	42032	77135
X22JS062980	LA_SARS2_2024	1	1525	COVID	104	5	4.63830286532951	3.93497503404448	SARS-CoV-2	485904	24055260
E217RE0131.R	LA_SARS2_2024	1	82534	COVID	159	4	99.3679612215384	38.851479452413	SARS-CoV-2	829569	660732
ZZ22JS062765.AD.1R.1L.UDB.191	LA_SARS2_2024	1	4	NA	0	0	0	0	SARS-CoV-2	746690	20779019
M118HM0208.R	LA_SARS2_2024	1	7	NA	0	0	0	0	SARS-CoV-2	602014	881141
S217RN0396.R	LA_SARS2_2024	1	3473	COVID	29	27	29.3883760192948	95.1906412478336	SARS-CoV-2	148951	269667
E218YF0474.R	LA_SARS2_2024	1	1742684	COVID	6	1	99.4549447947411	95.510308947267	SARS-CoV-2	2227902	622696
ZDH23050900052R	LA_SARS2_2024	1	10472	COVID	105	2	99.5251729030958	52.5664123216052	SARS-CoV-2	1027656	212138
M118YF0291.R	LA_SARS2_2024	1	170	NA	0	0	0	0	SARS-CoV-2	460288	1100632
ZZ22JS062855.AD.1R.1L.UDB.191	LA_SARS2_2024	1	237619	COVID	28	1	99.829481939329	75.8146031746032	SARS-CoV-2	486557	3404825
CF236K0198.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	11229	COVID	38	38	89.3589373361459	100	SARS-CoV-2	12641	135441
ZZMAX83650.1R.1L.UDB.169	LA_SARS2_2024	1	2275	COVID	14	9	11.289854705365	73.5832606800349	SARS-CoV-2	429375	12935477
ZDH221200131R	LA_SARS2_2024	1	475	COVID	727	4	7.63131728931364	1.01476342938456	SARS-CoV-2	4911410	3318192
X22JS023195	LA_SARS2_2024	1	6	NA	0	0	0	0	SARS-CoV-2	248684	384078
M118HM0143.R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	320107	1176466
M118HM0322.R	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	244710	1001715
CF23030059.8D6BXX1NXF1.N002JQ84	LA_SARS2_2024	1	22096	COVID	41	37	90.6799108628459	96.0198300283286	SARS-CoV-2	29664	4015
CF23630148.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	47399	COVID	32	32	94.8400224919036	100	SARS-CoV-2	51919	52781
M217RT0156.R	LA_SARS2_2024	1	3668	COVID	35	24	27.8299811841627	68.8907284768212	SARS-CoV-2	273319	505378
N117RE0115.R	LA_SARS2_2024	1	919	COVID	193	1	0.933	0.403033586132178	SARS-CoV-2	529232	1298685
ZZ24JS11713.AD.1R.1L.UDB.183	LA_SARS2_2024	1	13	NA	0	0	0	0	SARS-CoV-2	716317	0
ZZ22JS022632.1R.1L.UDB.107	LA_SARS2_2024	1	5095	COVID	875	32	41.4773972809424	4.57293917249821	SARS-CoV-2	598089	16832996
CF234D0113.8D6AXX1MXF1.N002J019	LA_SARS2_2024	1	1579	COVID	4	2	1.3477	45.4340473506201	SARS-CoV-2	10865	29104
M117RN0124.R	LA_SARS2_2024	1	123	NA	0	0	0	0	SARS-CoV-2	836675	756441
N218YJ0223.R	LA_SARS2_2024	1	48	NA	0	0	0	0	SARS-CoV-2	1086524	707375
MDL001.Q09C23030037T.RNA.A08.20230110	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	4005558	2095552
ZZMAX136576.AD.1R.1L.UDB.106	LA_SARS2_2024	1	39031	COVID	12	2	100	92.825682382134	SARS-CoV-2	706794	1837422
E218YF0563.R	LA_SARS2_2024	1	42	NA	0	0	0	0	SARS-CoV-2	431769	488517
ZZ22JS062906.AD.1R.1L.UDB.157	LA_SARS2_2024	1	824649	COVID	2961	2	99.7793297703269	2.08094606083474	SARS-CoV-2	2558241	23498956
ZDH23063000082R	LA_SARS2_2024	1	1	NA	0	0	0	0	SARS-CoV-2	2147173	318040
CF238P0421.8D6BXX1ZXF1.N002JQ84	LA_SARS2_2024	1	5950	COVID	49	49	64.5587807461518	100	SARS-CoV-2	12516	319466
E218YJ0464.R	LA_SARS2_2024	1	34041	COVID	44	40	81.3129361180879	93.9855436589231	SARS-CoV-2	279149	280602
CF235U0224.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	1065	COVID	2	2	1.5283	100	SARS-CoV-2	4474	780288
ZZMAX173346.AD.1R.1L.UDB.134	LA_SARS2_2024	1	859131	COVID	2189	1	98.8596755879967	2.73287492673691	SARS-CoV-2	1899057	0
M117RT0292.R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	459528	1123102
CF234U0105.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	137573	COVID	48	33	95.328274712603	87.6622178485762	SARS-CoV-2	165595	60521
ZDH23052200112R	LA_SARS2_2024	1	4281	COVID	143	30	89.4659791138518	46.485725704158	SARS-CoV-2	2163619	421806
ZZMAX127430.1R.1L.UDB.179	LA_SARS2_2024	1	1583781	COVID	3	1	99.6689071354428	98.3890136009507	SARS-CoV-2	1715744	401691
X22JS032996	LA_SARS2_2024	1	56454	COVID	11	2	99.8227207237393	93.5648685076639	SARS-CoV-2	577406	12703548
ZZ22JS022633.1R.1L.UDB.105	LA_SARS2_2024	1	40	NA	0	0	0	0	SARS-CoV-2	685614	15851014
CF235M0129.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	591	NA	0	0	0	0	SARS-CoV-2	70808	3218
ZZ22JS109657.AD.1R.1L.UDB.133	LA_SARS2_2024	1	184	NA	0	0	0	0	SARS-CoV-2	144202	0
MAX138984	LA_SARS2_2024	1	131	NA	0	0	0	0	SARS-CoV-2	622561	17035048
E218HM0175.R	LA_SARS2_2024	1	15	NA	0	0	0	0	SARS-CoV-2	227605	347369
CF231B0440.8B6AXX1VXF1.N002J019	LA_SARS2_2024	1	16814	COVID	38	37	92.3653475151427	99.2703878086475	SARS-CoV-2	36044	928
CF24370096.8F6AXXJ41F1.N008JQ84	LA_SARS2_2024	1	1103638	COVID	14	14	95.0272477914759	100	SARS-CoV-2	1108036	111764
CF23630127.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	48649	COVID	33	33	93.271613424033	100	SARS-CoV-2	54367	32102
CF235S0122.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	36721	COVID	30	30	94.7463037066049	100	SARS-CoV-2	40237	1275208
X22JS062715	LA_SARS2_2024	1	5746	COVID	164	47	74.6046028537401	22.5238777941562	SARS-CoV-2	1203401	406757
ZZMAX91082.1R.1L.UDB.110	LA_SARS2_2024	1	123	NA	0	0	0	0	SARS-CoV-2	164470	3843000
X21JS942944	LA_SARS2_2024	1	1587366	COVID	9	1	99.5919954189008	91.9564009139752	SARS-CoV-2	1802963	13542776
WHMAX12180001.1R.1L.UDB.170	LA_SARS2_2024	1	4481	COVID	86	26	29.1876855799013	29.3664412368359	SARS-CoV-2	226237	0
ZZ22JS06607401.AD.1R.1L.UDB.140	LA_SARS2_2024	1	226	NA	0	0	0	0	SARS-CoV-2	458514	11963657
CF23820402.8D6BXX1LXF1.N002J019	LA_SARS2_2024	1	144639	COVID	40	33	93.5491128354978	93.2187010563498	SARS-CoV-2	204345	2625695
ZZ22JS021543.1R.1L.UDB.161	LA_SARS2_2024	1	107	NA	0	0	0	0	SARS-CoV-2	4839734	356453
MAX153830	LA_SARS2_2024	1	2381	COVID	37	24	26.6762360296893	71.7162635979502	SARS-CoV-2	1063049	18800884
S217RT0481.R	LA_SARS2_2024	1	559	COVID	1542	1	0.7625	0.0465833750472474	SARS-CoV-2	453599	435470
E218YF0152.R	LA_SARS2_2024	1	294412	COVID	26	2	99.7792846416611	82.0328824370395	SARS-CoV-2	2330394	848616
M118LA0126.R	LA_SARS2_2024	1	1230798	COVID	3	1	99.7525207282725	65.5092897614969	SARS-CoV-2	1880691	357900
E218YF0257.R	LA_SARS2_2024	1	130110	COVID	8	4	99.4983459103877	95.690348309909	SARS-CoV-2	282571	360850
ZZ22JS032998.AD.1R.1L.UDB.108	LA_SARS2_2024	1	27	NA	0	0	0	0	SARS-CoV-2	331177	12649270
CF231B0298.8B6AXX1LXF1.N002J019	LA_SARS2_2024	1	19663	COVID	37	37	94.2714907878701	100	SARS-CoV-2	20785	1877
N217RT0132.R	LA_SARS2_2024	1	29417	COVID	23	5	99.2241234203875	86.2554144015814	SARS-CoV-2	139926	412242
ZDH230401031R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	2046138	397978
CF23620301.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	2537	COVID	814	17	17.6838089755728	1.51022716238369	SARS-CoV-2	276391	6160
S117RN0150.R	LA_SARS2_2024	1	9961	COVID	95	17	97.6323612138016	58.7247309665091	SARS-CoV-2	403424	1312122
MDL001.Q09C22520009L.RNA.D34.20221220	LA_SARS2_2024	1	1168	NA	0	0	0	0	SARS-CoV-2	51271	61659
CF23550199.8D6AXX1ZXF1.N002KX2P	LA_SARS2_2024	1	365163	COVID	26	25	96.3515480662598	99.1227164826091	SARS-CoV-2	373984	20352
E218YF0627.R	LA_SARS2_2024	1	11691	COVID	38	35	88.4526695091908	96.7623925370404	SARS-CoV-2	237589	385809
ZZMAX119816.1R.1L.UDB.178	LA_SARS2_2024	1	6357	COVID	66	20	22.2787453448016	32.1122144027764	SARS-CoV-2	730928	293399
CF23100190.8B6AXX1ZXF1.N002L001	LA_SARS2_2024	1	189641	COVID	27	26	94.3918633506734	99.2266047950503	SARS-CoV-2	223782	2392
N117RN0130.R	LA_SARS2_2024	1	963	COVID	21	2	2.16030290076336	5.71479122434536	SARS-CoV-2	300707	239111
MDL001.Q18C22530029L.RNA.D28.20221229	LA_SARS2_2024	1	29	NA	0	0	0	0	SARS-CoV-2	23017	29951
ZZ24JS08815.AD.1R.1L.UDB.165	LA_SARS2_2024	1	6	NA	0	0	0	0	SARS-CoV-2	341415	0
E218YF0175.R	LA_SARS2_2024	1	74396	COVID	12	4	98.4716900600264	91.7806938253904	SARS-CoV-2	317355	0
RNA.1233184390	LA_SARS2_2024	1	30514	COVID	71	2	99.8361541593989	60.6394215144621	SARS-CoV-2	1963439	350395
S218HM0124.R	LA_SARS2_2024	1	97728	COVID	6	6	98.7693755961441	100	SARS-CoV-2	252738	402999
CF237H0187.8D6BXX1ZXF1.N002J019	LA_SARS2_2024	1	527	NA	0	0	0	0	SARS-CoV-2	22314	272648
