sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix4.rand.20	Zhang_Dengue_2021	4	25471	q	1337	5	97.8858903840601	1.23717044553033	Dengue	1365268	0
Zhang_Dengue_2021.Mix7.rand.47	Zhang_Dengue_2021	7	66254	q	2067	3	100	0.648087163656019	Dengue	3929402	0
Zhang_Dengue_2021.Mix4.rand.27	Zhang_Dengue_2021	4	82119	q	1545	2	100	0.959542133271923	Dengue	2177252	0
Zhang_Dengue_2021.Mix6.rand.69	Zhang_Dengue_2021	6	136550	q	1555	1	100	0.996410544547789	Dengue	3035326	0
Zhang_Dengue_2021.Mix7.rand.37	Zhang_Dengue_2021	7	94275	q	1353	2	100	1.29222142336723	Dengue	2779034	0
Zhang_Dengue_2021.Mix2.rand.17	Zhang_Dengue_2021	2	16250	q	662	6	98.746451962111	3.02059994219769	Dengue	268030	0
Zhang_Dengue_2021.Mix9.rand.39	Zhang_Dengue_2021	9	190913	q	1981	1	100	0.678787512024398	Dengue	4153529	0
Zhang_Dengue_2021.Mix10.rand.60	Zhang_Dengue_2021	10	233555	q	2031	1	100	0.644387580458683	Dengue	4738947	0
Zhang_Dengue_2021.Mix4.rand.48	Zhang_Dengue_2021	4	84638	q	1601	2	100	0.892127434947316	Dengue	1555352	0
Zhang_Dengue_2021.Mix7.rand.44	Zhang_Dengue_2021	7	190797	q	1163	2	100	1.44896651736052	Dengue	2501982	0
Zhang_Dengue_2021.Mix6.rand.97	Zhang_Dengue_2021	6	187456	q	682	1	100	2.82218798312777	Dengue	1811097	0
Zhang_Dengue_2021.Mix2.rand.24	Zhang_Dengue_2021	2	82754	q	268	1	100	6.67044866559856	Dengue	634729	0
Zhang_Dengue_2021.Mix5.rand.16	Zhang_Dengue_2021	5	92349	q	1542	2	100	0.969021352667319	Dengue	1714132	0
Zhang_Dengue_2021.Mix9.rand.4	Zhang_Dengue_2021	9	224804	q	1752	1	100	0.844604678197213	Dengue	3582291	0
Zhang_Dengue_2021.Mix3.rand.52	Zhang_Dengue_2021	3	49208	q	310	5	100	6.56149529968339	Dengue	508761	0
Zhang_Dengue_2021.Mix6.rand.36	Zhang_Dengue_2021	6	184571	q	1757	1	100	0.752027473622734	Dengue	2352173	0
Zhang_Dengue_2021.Mix2.rand.45	Zhang_Dengue_2021	2	19349	q	286	4	99.72870865756	7.38797799060304	Dengue	424217	0
Zhang_Dengue_2021.Mix6.rand.38	Zhang_Dengue_2021	6	212872	q	1313	1	100	1.17321709225723	Dengue	2329103	0
Zhang_Dengue_2021.Mix5.rand.47	Zhang_Dengue_2021	5	106195	q	1626	5	100	0.884204523731609	Dengue	1937179	0
Zhang_Dengue_2021.Mix3.rand.43	Zhang_Dengue_2021	3	81997	q	775	2	100	2.31039592389032	Dengue	821486	0
Zhang_Dengue_2021.Mix2.rand.50	Zhang_Dengue_2021	2	12922	q	952	2	97.5023	1.73307084257538	Dengue	773989	0
Zhang_Dengue_2021.Mix7.rand.60	Zhang_Dengue_2021	7	96906	q	1552	3	100	1.02077955055229	Dengue	2991423	0
Zhang_Dengue_2021.Mix5.rand.74	Zhang_Dengue_2021	5	205696	q	1632	1	100	0.859666229289804	Dengue	2268030	0
Zhang_Dengue_2021.Mix2.rand.47	Zhang_Dengue_2021	2	71473	q	678	2	99.9251814692879	2.36759572228071	Dengue	320473	0
Zhang_Dengue_2021.Mix3.rand.83	Zhang_Dengue_2021	3	124364	q	1010	1	100	1.712199240051	Dengue	1526194	0
Zhang_Dengue_2021.Mix6.rand.100	Zhang_Dengue_2021	6	111164	q	1610	1	99.6913089062353	0.930919598665947	Dengue	2439369	0
Zhang_Dengue_2021.Mix5.rand.95	Zhang_Dengue_2021	5	30697	q	1634	2	100	0.866606758277696	Dengue	2324943	0
Zhang_Dengue_2021.Mix7.rand.29	Zhang_Dengue_2021	7	190010	q	980	3	100	1.86036245671188	Dengue	2705287	0
Zhang_Dengue_2021.Mix5.rand.43	Zhang_Dengue_2021	5	105444	q	1106	3	100	1.53899186032326	Dengue	1749831	0
Zhang_Dengue_2021.Mix6.rand.76	Zhang_Dengue_2021	6	99717	q	1130	2	100	1.55431167122688	Dengue	2876482	0
Zhang_Dengue_2021.Mix8.rand.33	Zhang_Dengue_2021	8	53313	q	1702	5	100	0.776346774929098	Dengue	3734556	0
Zhang_Dengue_2021.Mix6.rand.5	Zhang_Dengue_2021	6	77135	q	1811	2	99.7286816029315	0.695555387373657	Dengue	2933416	0
Zhang_Dengue_2021.Mix7.rand.84	Zhang_Dengue_2021	7	178816	q	1744	3	100	0.811244250559653	Dengue	2230707	0
